"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","0.0","0.007","0","118"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","100.219","3351.794","0","14"
"Vancouver,  Canada","Vancouver"," Canada","Vancouver, District of North Vancouver, British Columbia, Canada","49.2608724","-123.1139529","242.514","8110.835","0","21"
"Bellingham,  United States","Bellingham"," United States","Bellingham, Whatcom County, Washington, United States","48.7544012","-122.4788361","291.804","9759.329","0","38"
"Pierre,  United States","Pierre"," United States","Pierre, Hughes County, South Dakota, 57501, United States","44.3683644","-100.3511367","644.598","3459.191","1","0"
"Little Rock,  United States","Little Rock"," United States","Little Rock, Pulaski County, Arkansas, United States","34.7464809","-92.2895948","1046.488","5732.167","1","0"
"Bismarck,  United States","Bismarck"," United States","Bismarck, Burleigh County, North Dakota, United States","46.808327","-100.783739","1215.539","6499.229","2","0"
"Dover,  United States","Dover"," United States","Dover, Kent County, Delaware, United States","39.158168","-75.5243682","1271.474","7670.963","1","0"
"Augusta,  United States","Augusta"," United States","Augusta, Kennebec County, Maine, 04330, United States","44.310545","-69.7792759","1324.729","8001.042","1","0"
"Bogota,  Colombia","Bogota"," Colombia","Bogota, Bogota Capital District, 11001, Colombia","4.6533326","-74.083652","2168.98","13233.724","1","0"
"Jackson,  United States","Jackson"," United States","Jackson, Hinds County, Mississippi, United States","32.2990021","-90.1847691","2324.17","12764.126","2","0"
"Waterloo,  Canada","Waterloo"," Canada","Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, Canada","43.4652699","-80.5222961","2365.12","12994.35","2","0"
"Hamilton,  Canada","Hamilton"," Canada","Hamilton, Golden Horseshoe, Ontario, Canada","43.2560802","-79.8728583","2405.974","13224.031","2","0"
"Carson City,  United States","Carson City"," United States","Carson City, Nevada, United States","39.1649125","-119.7666496","2568.808","11529.718","6","0"
"Vilnius,  Lithuania","Vilnius"," Lithuania","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","54.6870458","25.2829111","2693.578","16485.192","1","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","2741.948","16784.992","1","0"
