"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","0.0","0.0","0","24"
"Epping,  Australia","Epping"," Australia","Epping, Cooper Street, Epping, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia","-37.652392","145.0315514376506","996.628","5451.852","1","0"
"Swinburne University of Technology (Hawthorn Campus),  Australia","Swinburne University of Technology (Hawthorn Campus)"," Australia","Swinburne University of Technology (Hawthorn Campus), John Street, Hawthorn, Hawthorn East, Melbourne, City of Boroondara, Victoria, 3122, Australia","-37.8206176","145.03862087720475","1994.816","10912.471","2","0"
"Coimbatore,  India","Coimbatore"," India","Coimbatore, Coimbatore North, Coimbatore District, Tamil Nadu, 641001, India","11.0018115","76.9628425","2072.709","12637.032","1","0"
"Sjanghai,  China","Sjanghai"," China","Sjanghai, Huangpu District, Shanghai, 200001, China","31.2322758","121.4692071","2308.95","14101.262","1","0"
"Hefei City,  China","Hefei City"," China","Hefei City, Anhui, China","31.8228094","117.2218033","2322.612","14185.939","1","0"
"Nanjing,  China","Nanjing"," China","Nanjing, Nanjing City, Jiangsu, 210008, China","32.0609736","118.7916458","2332.842","14249.347","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","2514.965","15378.149","1","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","2555.871","15631.684","1","0"
"Makhanda (Grahamstown),  South Africa","Makhanda (Grahamstown)"," South Africa","Makhanda (Grahamstown), Makana Local Municipality, Sarah Baartman District Municipality, Eastern Cape, 6139, South Africa","-33.3070589","26.5272648","2639.165","16147.939","1","0"
"Sutherland,  South Africa","Sutherland"," South Africa","Sutherland, Karoo Hoogland Local Municipality, Namakwa District Municipality, Northern Cape, South Africa","-32.393889","20.661111","2810.049","17207.081","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","4420.03","27185.774","1","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","4420.832","27190.746","1","0"
"Canberra,  Australia","Canberra"," Australia","Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","-35.2975906","149.1012676","4498.449","24685.551","4","0"
"Granada,  Spain","Granada"," Spain","Granada, Comarca de la Vega de Granada, Granada, Andalusia, Spain","37.183054","-3.6021928","4724.091","29070.346","1","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","4731.469","29116.074","1","0"
"Cheshire,  United Kingdom","Cheshire"," United Kingdom","Cheshire, England, United Kingdom","53.2141028","-2.471770086071205","4758.629","29284.414","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","5675.169","34965.144","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","5988.866","32913.518","5","0"
"New Brunswick,  United States","New Brunswick"," United States","New Brunswick, Middlesex County, New Jersey, United States","40.4862174","-74.4518173","6065.358","37383.546","1","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","7836.737","47943.281","3","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","9129.65","56166.431","2","0"
"Chaoyang City,  China","Chaoyang City"," China","Chaoyang City, Liaoning, 122000, China","41.5754767","120.4390738","10705.684","65515.41","4","0"
"Cagliari,  Italy","Cagliari"," Italy","Cagliari, Sardinia, Italy","39.2169525","9.1128513","17588.165","108173.152","4","0"
"Dwingeloo,  Netherlands","Dwingeloo"," Netherlands","Dwingeloo, Westerveld, Drenthe, Netherlands","52.8333065","6.3669419","22837.669","140500.02","5","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","31243.797","191343.438","11","0"
