"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","0.0","0.0","0","7"
"Los Alamos National Laboratory,  United States","Los Alamos National Laboratory"," United States","Los Alamos National Laboratory, Los Alamos, Los Alamos County, New Mexico, United States","35.81831485","-106.26542797989916","287.73","1179.899","1","0"
"Laramie,  United States","Laramie"," United States","Laramie, Albany County, Wyoming, United States","41.311367","-105.591101","464.742","2236.004","1","0"
"San Jose,  United States","San Jose"," United States","San Jose, Santa Clara County, California, United States","37.3361905","-121.890583","471.389","2293.093","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","484.162","2402.79","1","0"
"Lawrence,  United States","Lawrence"," United States","Lawrence, Douglas County, Kansas, 66044, United States","38.9719384","-95.2359496","601.02","3211.209","1","0"
"Riverside,  United States","Riverside"," United States","Riverside, Riverside County, California, United States","33.9533546","-117.3961623","604.739","2513.097","2","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","659.915","2801.993","2","0"
"Jefferson City,  United States","Jefferson City"," United States","Jefferson City, Cole County, Missouri, United States","38.577359","-92.1724265","683.563","3680.932","1","0"
"Baton Rouge,  United States","Baton Rouge"," United States","Baton Rouge, East Baton Rouge Parish, Louisiana, United States","30.4459596","-91.18738","699.924","3774.037","1","0"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, United States","33.6856969","-117.8259819","942.849","3956.78","3","0"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","967.399","5287.522","1","0"
"Statesboro,  United States","Statesboro"," United States","Statesboro, Bulloch County, Georgia, United States","32.4490141","-81.7832912","999.525","5468.138","1","0"
"Charlottesville,  United States","Charlottesville"," United States","Charlottesville, Virginia, United States","38.029306","-78.4766781","1097.357","6018.154","1","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","1140.327","4664.128","4","0"
"Greenbelt,  United States","Greenbelt"," United States","Greenbelt, Good Luck Road, New Carrollton, Prince George's County, Maryland, 20706, United States","38.9937333","-76.883065797021","1148.51","6305.743","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","1224.994","6820.492","1","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","1241.824","7337.618","1","0"
"Austin,  United States","Austin"," United States","Austin, Travis County, Texas, United States","30.2711286","-97.7436995","1504.283","7653.208","3","0"
"Columbia,  United States","Columbia"," United States","Columbia, Boone County, Missouri, United States","38.951883","-92.3337366","1701.189","9250.815","2","0"
