"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bamberg,  Germany","Bamberg"," Germany","Bamberg, Bavaria, Germany","49.8916044","10.8868478","0.0","0.0","0","9"
"Coburg,  Germany","Coburg"," Germany","Coburg, Bavaria, 96450, Germany","50.258112","10.964463","2.459","82.257","0","1"
"Tautenburg,  Germany","Tautenburg"," Germany","Tautenburg, Verwaltungsgemeinschaft Dornburg-Camburg, Saale-Holzland-Kreis, Thuringia, Germany","50.9915287","11.7157817","8.113","271.324","0","1"
"Sonneberg,  Germany","Sonneberg"," Germany","Sonneberg, Landkreis Sonneberg, Thuringia, 96515, Germany","50.3575412","11.1691714","9.971","333.491","0","3"
"Aschaffenburg,  Germany","Aschaffenburg"," Germany","Aschaffenburg, Bavaria, Germany","49.9740542","9.1493636","14.913","498.778","0","2"
"Ondřejov,  Czechia","Ondřejov"," Czechia","Ondřejov, okres Praha-východ, Central Bohemia, 25165, Czechia","49.9045659","14.7831213","16.687","558.095","0","1"
"Bornheim,  Germany","Bornheim"," Germany","Bornheim, Rhein-Sieg-Kreis, North Rhine-Westphalia, 53332, Germany","50.7627913","6.9890508","17.528","586.236","0","1"
"Innsbruck,  Austria","Innsbruck"," Austria","Innsbruck, Tyrol, Austria","47.2654296","11.3927685","17.604","588.756","0","1"
"Darmstadt,  Germany","Darmstadt"," Germany","Darmstadt, Hesse, Germany","49.872775","8.651177","19.159","640.773","0","2"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","19.934","666.686","0","2"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","20.33","679.935","0","1"
"Jülich,  Germany","Jülich"," Germany","Jülich, Kreis Düren, North Rhine-Westphalia, 52428, Germany","50.9220931","6.3611015","20.363","681.034","0","1"
"Marburg,  Germany","Marburg"," Germany","Marburg, Landkreis Marburg-Biedenkopf, Hesse, Germany","50.8117327","8.7757742","21.693","725.52","0","2"
"Liège,  Belgium","Liège"," Belgium","Liège, Wallonia, 4000, Belgium","50.6451381","5.5734203","23.127","773.487","0","1"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, Belgium","50.8465573","4.351697","28.425","950.675","0","1"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","30.523","1020.848","0","2"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","37.436","1252.028","0","2"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","48.186","1611.581","0","4"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","73.801","2468.273","0","3"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","151.883","5079.699","0","8"
"Bruges,  Belgium","Bruges"," Belgium","Bruges, Brugge, West Flanders, Flanders, Belgium","51.2085526","3.226772","276.435","1120.76","1","0"
"Tatranská Lomnica,  Slovakia","Tatranská Lomnica"," Slovakia","Tatranská Lomnica, District of Poprad, Region of Prešov, Eastern Slovakia, 059 60, Slovakia","49.1655267","20.2791933","322.971","1364.415","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","349.935","1505.596","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","366.225","1590.889","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","405.342","1795.698","1","0"
"Riga,  Latvia","Riga"," Latvia","Riga, Vidzeme, Latvia","56.9493977","24.1051846","477.426","2344.936","1","0"
"Tartu,  Estonia","Tartu"," Estonia","Tartu, Tartu linn, Tartu maakond, Estonia","58.3801207","26.72245","529.576","2783.938","1","0"
"Kyiv,  Ukraine","Kyiv"," Ukraine","Kyiv, Ukraine","50.4500336","30.5241361","530.561","2791.756","1","0"
"Odesa,  Ukraine","Odesa"," Ukraine","Odesa, Одеський район, Odesa Oblast, Ukraine","46.4873195","30.7392776","569.035","3029.193","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","581.577","3100.561","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","703.197","3792.66","1","0"
"Akhaltsikhe,  Georgia","Akhaltsikhe"," Georgia","Akhaltsikhe, Samtskhe-Javakheti, 0800, Georgia","41.6395128","42.9859225","962.238","5258.507","1","0"
"Belfast,  United Kingdom","Belfast"," United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","54.5964411","-5.9302761","993.172","5018.981","2","0"
"Byurakan,  Armenia","Byurakan"," Armenia","Byurakan, Ashtarak region, Aragatsotn Province, Armenia","40.338002","44.2714773","1022.26","5595.957","1","0"
"Tehran,  Iran","Tehran"," Iran","Tehran, بخش مرکزی شهرستان تهران, Tehran County, Iran","35.6892523","51.3896004","1232.326","7211.979","1","0"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","2048.851","12489.16","1","0"
"Kathmandu,  Nepal","Kathmandu"," Nepal","Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, Kathmandu, Bagmati Pradesh, 46600, Nepal","27.708317","85.3205817","2166.013","13215.335","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","2190.473","13366.941","1","0"
"East Lansing,  United States","East Lansing"," United States","East Lansing, Ingham County, Michigan, United States","42.7320307","-84.4721678","2246.029","13711.277","1","0"
"Lexington,  United States","Lexington"," United States","Lexington, Virginia, United States","37.7840208","-79.4428157","2267.28","13842.992","1","0"
"High Point,  United States","High Point"," United States","High Point, Guilford County, North Carolina, United States","35.9556924","-80.0053176","2324.285","14196.307","1","0"
"Dhaka,  Bangladesh","Dhaka"," Bangladesh","Dhaka, Chanpara Bazar, Dhaka District, Dhaka Division, 1230, Bangladesh","23.810651","90.4126466","2381.246","14549.354","1","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","2509.186","15342.324","1","0"
"Saanich,  Canada","Saanich"," Canada","Saanich, Capital Regional District, British Columbia, Canada","48.4594315","-123.3764946","2691.916","16474.891","1","0"
"Santa Barbara,  United States","Santa Barbara"," United States","Santa Barbara, Santa Barbara County, California, United States","34.4221319","-119.7026673","3084.885","18910.52","1","0"
"Andijan,  Uzbekistan","Andijan"," Uzbekistan","Andijan, Andijon Tumani, Andijan Region, 170100, Uzbekistan","40.7833471","72.3506746","3145.783","19078.312","2","0"
"Bandung,  Indonesia","Bandung"," Indonesia","Bandung, West Java, 40252, Indonesia","-6.9344694","107.6049539","3608.364","22155.053","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","5606.528","34330.058","2","0"
