location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Monterey, United States",Monterey,United States,"Monterey, California, United States",36.5927060695375,-121.886725472201,0,0,0,0
"Milpitas,  United States",Milpitas, United States,"Milpitas, Santa Clara County, California, United States",37.4282724,-121.9066238,8.476,283.486,0,1
"Woodside,  United States",Woodside, United States,"Woodside, San Mateo County, California, United States",37.4299388,-122.2538557,9.255,309.517,0,1
"Hayward,  United States",Hayward, United States,"Hayward, Alameda County, California, United States",37.6688205,-122.080796,10.295,344.298,0,1
"Oakland,  United States",Oakland, United States,"Oakland, Alameda County, California, United States",37.8044557,-122.2713563,11.514,385.087,0,1
"Moffett Field Historical Society Museum,  United States",Moffett Field Historical Society Museum, United States,"Moffett Field Historical Society Museum, Building 126, Cummins Avenue, Ames Research Center, Santa Clara County, California, 94035-0016, United States",37.41129325,-122.054169803106,17.321,579.306,0,2
"Palo Alto,  United States",Palo Alto, United States,"Palo Alto, Santa Clara County, California, United States",37.4443293,-122.1598465,18.202,608.754,0,2
"Menlo Park,  United States",Menlo Park, United States,"Menlo Park, San Mateo County, California, United States",37.4519671,-122.1779927,18.38,614.709,0,2
"Turlock,  United States",Turlock, United States,"Turlock, Stanislaus County, California, United States",37.4946568,-120.8465941,26.795,896.169,0,3
"Livermore,  United States",Livermore, United States,"Livermore, Alameda County, California, 94550, United States",37.6820583,-121.7680531,29.728,994.261,0,3
"Santa Cruz County,  United States",Santa Cruz County, United States,"Santa Cruz County, California, United States",37.050096,-121.9905908,38.224,1278.4,0,6
"University of California,  United States",University of California, United States,"University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States",37.8753497,-122.239633649188,59.401,1986.658,0,5
"Stanford,  United States",Stanford, United States,"Stanford, Palo Alto, Santa Clara County, California, United States",37.4265407,-122.170292584092,99.234,3318.851,0,11
"Acton,  United States",Acton, United States,"Acton, California, United States",34.4807415,-118.186837863866,196.197,697.954,1,0
"Los Angeles,  United States",Los Angeles, United States,"Los Angeles, California, United States",34.0536909,-118.242766,205.836,748.179,1,0
"Redondo Beach,  United States",Redondo Beach, United States,"Redondo Beach, California, 90278, United States",33.8455911,-118.3886766,208.115,760.049,1,0
"Reno,  United States",Reno, United States,"Reno, Washoe County, Nevada, United States",39.5261206,-119.8126581,212.871,784.834,1,0
"Long Beach,  United States",Long Beach, United States,"Long Beach, California, United States",33.7690164,-118.191604,215.391,797.963,1,0
"Chino Hills,  United States",Chino Hills, United States,"Chino Hills, San Bernardino County, California, United States",33.9926803,-117.760056,220.675,825.494,1,0
"Irvine,  United States",Irvine, United States,"Irvine, Orange County, California, United States",33.6856969,-117.8259819,227.308,860.053,1,0
"Fallbrook,  United States",Fallbrook, United States,"Fallbrook, San Diego County, California, 92028, United States",33.3764196,-117.2511466,250.587,985.423,1,0
"San Diego,  United States",San Diego, United States,"San Diego, San Diego County, California, United States",32.7174202,-117.1627728,272.237,1098.78,1,0
"Kirkland,  United States",Kirkland, United States,"Kirkland, King County, Washington, United States",47.6859573,-122.1920249,501.612,2552.653,1,0
"Santa Fe,  United States",Santa Fe, United States,"Santa Fe, Santa Fe County, New Mexico, United States",35.6876096,-105.9384569,529.177,2780.776,1,0
