"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","0.0","0.0","0","69"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","21.513","719.507","0","3"
"Muttil,  India","Muttil"," India","Muttil, Vythiri, Wayanad, Kerala, 673122, India","11.6383766","76.1111092","369.013","1605.484","1","0"
"Tirupati,  India","Tirupati"," India","Tirupati, Tirupati (Urban), Andhra Pradesh, 517500, India","13.6316368","79.4231711","370.193","1611.664","1","0"
"Thodupuzha,  India","Thodupuzha"," India","Thodupuzha, Idukki, Kerala, India","9.883035249999999","76.76444289215709","439.674","2020.718","1","0"
"Thiruvananthapuram,  India","Thiruvananthapuram"," India","Thiruvananthapuram, Kerala, India","8.576970549999999","77.05012463730725","474.132","2316.655","1","0"
"KHORDHA -JATNI ROAD,  India","KHORDHA -JATNI ROAD"," India","KHORDHA -JATNI ROAD, Jatani, Khordha, Odisha, 752050, India","20.1656508","85.694441","496.718","2510.624","1","0"
"Nainital,  India","Nainital"," India","Nainital, India","29.2031392","79.4176945","510.624","2630.05","1","0"
"Sahibzada Ajit Singh Nagar,  India","Sahibzada Ajit Singh Nagar"," India","Sahibzada Ajit Singh Nagar, S.A.S. Nagar (Mohali) Tahsil, Sahibzada Ajit Singh Nagar, Punjab, 160059, India","30.7047049","76.7178146","527.848","2770.226","1","0"
"Ahmedabad,  India","Ahmedabad"," India","Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India","23.0216238","72.5797068","780.329","3105.843","3","0"
"Indore,  India","Indore"," India","Indore, Madhya Pradesh, 452001, India","22.7203616","75.8681996","1031.439","4094.002","4","0"
"Chaoyang City,  China","Chaoyang City"," China","Chaoyang City, Liaoning, 122000, China","41.5754767","120.4390738","1673.871","10165.028","1","0"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","1994.048","12149.495","1","0"
"Nagoya,  Japan","Nagoya"," Japan","Nagoya, Aichi Prefecture, Japan","35.1851045","136.8998438","2104.229","12832.396","1","0"
