"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Quy Nhơn,  Vietnam","Quy Nhơn"," Vietnam","Quy Nhơn, Bình Định Province, Vietnam","13.770409","109.232667","0.0","0.0","0","2"
"Singapore, Singapore","Singapore","Singapore","Singapore","1.357107","103.8194992","565.05","3006.512","1","0"
"Hefei City,  China","Hefei City"," China","Hefei City, Anhui, China","31.8228094","117.2218033","797.962","4331.934","1","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","911.758","4319.781","2","0"
"Hiroshima,  Japan","Hiroshima"," Japan","Hiroshima, Hiroshima Prefecture, Japan","34.3916058","132.4518156","1190.799","6543.494","1","0"
"Nagpur,  India","Nagpur"," India","Nagpur, Nagpur District, Maharashtra, India","21.1498134","79.0820556","1199.292","6591.244","1","0"
"Toyama,  Japan","Toyama"," Japan","Toyama, Toyama Prefecture, Japan","36.6957569","137.2136215","1257.109","7539.825","1","0"
"Tsukuba,  Japan","Tsukuba"," Japan","Tsukuba, Ibaraki Prefecture, Japan","36.0833877","140.0765098","1307.619","7894.992","1","0"
"Sendai,  Japan","Sendai"," Japan","Sendai, Miyagi Prefecture, Japan","38.2677554","140.8691498","1368.154","8270.193","1","0"
"Rawalpindi,  Pakistan","Rawalpindi"," Pakistan","Rawalpindi, Saddar, Rawalpindi District, Punjab, 23451, Pakistan","33.5914237","73.0535122","1408.152","8518.099","1","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","1690.166","10266.025","1","0"
"Rehovot,  Israel","Rehovot"," Israel","Rehovot, Rehovot Subdistrict, Center District, Israel","31.8930644","34.80340932920801","2534.328","15498.158","1","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","2988.694","18314.327","1","0"
"Jena,  Germany","Jena"," Germany","Jena, Thuringia, Germany","50.9281717","11.5879359","3050.234","18695.751","1","0"
"Liège,  Belgium","Liège"," Belgium","Liège, Wallonia, 4000, Belgium","50.6451381","5.5734203","3183.703","19522.993","1","0"
"Versoix,  Switzerland","Versoix"," Switzerland","Versoix, Grand Genève, Geneva, 1290, Switzerland","46.2767572","6.168958","3221.4","19756.644","1","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","3244.395","19899.165","1","0"
"Villeurbanne,  France","Villeurbanne"," France","Villeurbanne, Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69100, France","45.7733124","4.886899","3257.518","19980.505","1","0"
"Gif-sur-Yvette,  France","Gif-sur-Yvette"," France","Gif-sur-Yvette, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91190, France","48.7018823","2.134529","3282.905","20137.85","1","0"
