"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Cordoba,  Argentina","Cordoba"," Argentina","Cordoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina","-31.4173391","-64.183319","0.0","0.0","0","84"
"San Juan,  Argentina","San Juan"," Argentina","San Juan, Argentina","-30.7054363","-69.1988222","86.866","2905.207","0","3"
"Pereyra,  Argentina","Pereyra"," Argentina","Pereyra, Gualeguaychu, Distrito Costa Uruguay Norte, Departamento Gualeguaychú, Entre Ríos Province, Argentina","-33.0854139","-58.2661475","286.389","1172.877","1","0"
"La Serena,  Chile","La Serena"," Chile","La Serena, Provincia de Elqui, Coquimbo Region, Chile","-29.902631","-71.2520253","328.485","1393.287","1","0"
"General Roca,  Argentina","General Roca"," Argentina","General Roca, Municipio de General Roca, Departamento General Roca, Río Negro Province, R8332, Argentina","-39.0266276","-67.5754863","406.27","1800.558","1","0"
"Mendoza,  Argentina","Mendoza"," Argentina","Mendoza, Argentina","-34.787093049999996","-68.43818677312292","541.352","2181.209","2","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","1238.201","5176.584","4","0"
"La Plata,  Argentina","La Plata"," Argentina","La Plata, Partido de La Plata, Buenos Aires, Argentina","-34.9206797","-57.9537638","1974.695","8379.533","6","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","2219.254","13545.325","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","2592.918","15861.302","1","0"
"Autonomous City of Buenos Aires,  Argentina","Autonomous City of Buenos Aires"," Argentina","Autonomous City of Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina","-34.6075682","-58.4370894","2769.881","11563.169","9","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","3299.734","20242.156","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","3443.95","21136.014","1","0"
"Hilo,  United States","Hilo"," United States","Hilo, Hawaiʻi County, Hawaii, United States","19.7073734","-155.0815803","3652.696","22429.821","1","0"
"County Durham,  United Kingdom","County Durham"," United Kingdom","County Durham, North East England, England, United Kingdom","54.666667","-1.75","3670.447","22539.844","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","3862.163","23728.105","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","3885.231","23871.078","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","4038.37","24820.24","1","0"
"Rourkela,  India","Rourkela"," India","Rourkela, Sundargarh, Odisha, India","22.253999399999998","84.8577520139704","5452.246","33583.463","1","0"
"Puebla,  Mexico","Puebla"," Mexico","Puebla, Mexico","18.833333","-98.0","6540.181","39907.202","3","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","7564.455","46465.32","2","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","7743.058","47572.306","2","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","7866.86","48339.637","2","0"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","11338.044","69644.443","3","0"
