"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","0.0","0.0","0","4"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","6.444","215.508","0","1"
"Sheffield,  United Kingdom","Sheffield"," United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","53.3806626","-1.4702278","10.186","340.677","0","1"
"Didcot,  United Kingdom","Didcot"," United Kingdom","Didcot, South Oxfordshire, Oxfordshire, South East England, England, United Kingdom","51.6121773","-1.2439778415871414","13.762","460.266","0","2"
"Canterbury,  United Kingdom","Canterbury"," United Kingdom","Canterbury, Kent, South East England, England, United Kingdom","51.2800275","1.0802533","14.455","483.46","0","2"
"Milton Keynes,  United Kingdom","Milton Keynes"," United Kingdom","Milton Keynes, Buckinghamshire, South East England, England, MK9 3AF, United Kingdom","52.0429797","-0.7589607","19.041","636.821","0","5"
"Hull,  United Kingdom","Hull"," United Kingdom","Hull, Kingston upon Hull, Yorkshire and the Humber, England, HU1 3RA, United Kingdom","53.7435722","-0.3394758","20.914","699.47","0","2"
"London,  United Kingdom","London"," United Kingdom","London, Westminster, England, SW1A 2DX, United Kingdom","51.5073219","-0.1276474","37.751","1262.574","0","8"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","50.36","1684.287","0","4"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","177.057","5921.638","0","10"
"Radboud,  Netherlands","Radboud"," Netherlands","Radboud, Schelfhorst, Almelo, Overijssel, Netherlands, 7608JK, Netherlands","52.3784106","6.6707204","232.888","889.125","1","0"
"Belfast,  United Kingdom","Belfast"," United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","54.5964411","-5.9302761","246.699","965.067","1","0"
"Cologne,  Germany","Cologne"," Germany","Cologne, North Rhine-Westphalia, Germany","50.938361","6.959974","250.153","983.148","1","0"
"University of Strathclyde,  United Kingdom","University of Strathclyde"," United Kingdom","University of Strathclyde, Macleod Street, Townhead, Glasgow, Glasgow City, Scotland, G4 0RB, United Kingdom","55.8618812","-4.241956565778082","252.483","995.349","1","0"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","256.673","1017.287","1","0"
"Marseilles,  France","Marseilles"," France","Marseilles, Marseilles-lès-Aubigny, Bourges, Cher, Centre-Loire Valley, Metropolitan France, 18320, France","47.0706778","3.0029271","293.907","1212.243","1","0"
"Jena,  Germany","Jena"," Germany","Jena, Thuringia, Germany","50.9281717","11.5879359","369.111","1605.997","1","0"
"Cergy,  France","Cergy"," France","Cergy, Pontoise, Val-d'Oise, Ile-de-France, Metropolitan France, France","49.0527528","2.0388736","411.952","1497.815","2","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","417.557","1859.656","1","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","468.096","1790.34","2","0"
"Wrocław,  Poland","Wrocław"," Poland","Wrocław, Trzebnica County, Lower Silesian Voivodeship, Poland","51.1263106","16.97819633051261","475.661","2329.783","1","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","481.229","2377.598","1","0"
"Gdansk,  Poland","Gdansk"," Poland","Gdansk, Pomeranian Voivodeship, Poland","54.3482908","18.6540231","495.555","2500.638","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","517.062","2684.642","1","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","523.182","2733.201","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4979937","19.0403594","545.377","2894.561","1","0"
"Coimbra,  Portugal","Coimbra"," Portugal","Coimbra, Centro, Portugal","40.2111931","-8.4294632","558.495","2969.211","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","559.75","1943.595","3","0"
"Belgrade,  Serbia","Belgrade"," Serbia","Belgrade, Stari Grad Urban Municipality, City of Belgrade, Central Serbia, 11000, Serbia","44.8178131","20.4568974","633.738","3397.392","1","0"
"Helsinki,  Finland","Helsinki"," Finland","Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.1674881","24.9427473","654.23","3514.008","1","0"
"Orsay,  France","Orsay"," France","Orsay, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91400, France","48.699184","2.187457","664.755","2490.705","3","0"
"Bern,  Switzerland","Bern"," Switzerland","Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland","46.9482713","7.4514512","725.093","3143.254","2","0"
"Iași,  Romania","Iași"," Romania","Iași, Iași Metropolitan Area, Iași, Romania","47.1615341","27.5836142","753.232","4077.39","1","0"
