"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","0.0","0.0","0","8"
"Noordwijk,  Netherlands","Noordwijk"," Netherlands","Noordwijk, South Holland, Netherlands","52.2410856","4.4461969","2.019","67.517","0","1"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, Belgium","50.8465573","4.351697","10.392","347.563","0","1"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","25.719","860.164","0","1"
"Southampton,  United Kingdom","Southampton"," United Kingdom","Southampton, South East England, England, United Kingdom","50.9025349","-1.404189","55.513","1856.633","0","2"
"Caen,  France","Caen"," France","Caen, Calvados, Normandy, Metropolitan France, 14000, France","49.1813403","-0.3635615","258.021","1024.344","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","492.943","2478.2","1","0"
"Palma,  Spain","Palma"," Spain","Palma, Balearic Islands, Spain","39.5695818","2.6500745","540.704","2867.97","1","0"
"Salento,  Italy","Salento"," Italy","Salento, Salerno, Campania, Italy","40.248604","15.190058","584.815","3118.99","1","0"
"Saint Petersburg,  Russia","Saint Petersburg"," Russia","Saint Petersburg, Northwestern Federal District, 190000, Russia","59.938732","30.316229","658.601","3538.877","1","0"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","692.014","3729.023","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","918.052","4373.837","2","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","1158.154","6359.961","1","0"
"Haverford,  United States","Haverford"," United States","Haverford, Lower Merion Township, Montgomery County, Pennsylvania, 19003, United States","40.0131672","-75.2943516","1968.524","11991.296","1","0"
"Athens,  United States","Athens"," United States","Athens, Athens County, Ohio, 45701, United States","39.3289242","-82.1012479","2122.699","12946.871","1","0"
"Bloomington,  United States","Bloomington"," United States","Bloomington, Monroe County, Indiana, United States","39.1670396","-86.5342881","2214.065","13513.162","1","0"
"Knoxville,  United States","Knoxville"," United States","Knoxville, Knox County, Tennessee, United States","35.9603948","-83.9210261","2244.831","13703.85","1","0"
"Edmonton,  Canada","Edmonton"," Canada","Edmonton, Edmonton (city), Alberta, Canada","53.535411","-113.507996","2270.33","13861.892","1","0"
"College Station,  United States","College Station"," United States","College Station, Brazos County, Texas, United States","30.5955289","-96.3071042","2634.498","16119.012","1","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","5424.041","32989.348","3","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","6015.248","36863.313","2","0"
"East Lansing,  United States","East Lansing"," United States","East Lansing, Ingham County, Michigan, United States","42.7320307","-84.4721678","6253.618","38131.077","3","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","10746.294","66186.419","2","0"
