"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","0.0","0.0","0","37"
"Ferrara,  Italy","Ferrara"," Italy","Ferrara, Emilia-Romagna, Italy","44.766764249999994","11.827938995640167","5.852","195.712","0","2"
"Capodimonte,  Italy","Capodimonte"," Italy","Capodimonte, Viterbo, Lazio, Italy","42.546527","11.904755","13.228","442.415","0","1"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","13.839","462.833","0","1"
"Teramo,  Italy","Teramo"," Italy","Teramo, Abruzzo, Italy","42.65811795","13.69787458752063","16.662","557.258","0","1"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","17.692","591.707","0","1"
"Pisa,  Italy","Pisa"," Italy","Pisa, Tuscany, Italy","43.7159395","10.4018624","20.555","687.446","0","3"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","23.123","773.337","0","1"
"Osservatorio astrofisico di Arcetri,  Italy","Osservatorio astrofisico di Arcetri"," Italy","Osservatorio astrofisico di Arcetri, Via Guglielmo Righini, Pian dei Giullari, Quartiere 3, Florence, Metropolitan City of Florence, Tuscany, 50125, Italy","43.75018505","11.254173557851482","24.813","829.853","0","5"
"Split,  Croatia","Split"," Croatia","Split, Grad Split, Split-Dalmatia County, Croatia","43.5116383","16.4399659","25.233","843.926","0","1"
"Tübingen,  Germany","Tübingen"," Germany","Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany","48.5236164","9.0535531","28.768","962.157","0","1"
"Nova Gorica,  Slovenia","Nova Gorica"," Slovenia","Nova Gorica, Slovenia","45.9580549","13.6474706","29.069","972.198","0","2"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","29.7","993.324","0","1"
"Naples,  Italy","Naples"," Italy","Naples, Napoli, Campania, Italy","40.8359336","14.2487826","56.327","1883.851","0","2"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","59.129","1977.572","0","9"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","84.103","2812.795","0","7"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","100.104","3347.971","0","4"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","107.207","3585.51","0","4"
"Brera,  Italy","Brera"," Italy","Brera, Cascina Ronco, Vedano Olona, Varese, Lombardy, 21043, Italy","45.7706425","8.8829619","128.934","4312.18","0","9"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","163.373","5463.965","0","9"
"Dolní Břežany,  Czechia","Dolní Břežany"," Czechia","Dolní Břežany, okres Praha-západ, Central Bohemia, Czechia","49.9633609","14.4581344","311.411","1303.888","1","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","315.08","1323.098","1","0"
