"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Santa Barbara,  United States","Santa Barbara"," United States","Santa Barbara, Santa Barbara County, California, United States","34.4221319","-119.7026673","0.0","0.0","0","6"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, United States","33.6856969","-117.8259819","11.44","382.599","0","1"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","17.506","585.495","0","2"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","178.222","604.299","1","0"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","199.58","715.581","1","0"
"Moffett Field Historical Society Museum,  United States","Moffett Field Historical Society Museum"," United States","Moffett Field Historical Society Museum, Building 126, Cummins Avenue, Ames Research Center, Santa Clara County, California, 94035-0016, United States","37.41129325","-122.05416980310586","213.506","788.14","1","0"
"Boise,  United States","Boise"," United States","Boise, Ada County, Idaho, United States","43.6166163","-116.200886","452.613","2131.843","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","557.575","2963.974","1","0"
"Vancouver,  Canada","Vancouver"," Canada","Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada","49.2608724","-123.1139529","624.904","3347.12","1","0"
"Dahlonegah Mountain,  United States","Dahlonegah Mountain"," United States","Dahlonegah Mountain, Adair County, Oklahoma, United States","35.7228659","-94.7002233","835.858","4547.591","1","0"
"Ames,  United States","Ames"," United States","Ames, Story County, Iowa, United States","42.0267703","-93.6170554","887.393","4837.726","1","0"
"Baton Rouge,  United States","Baton Rouge"," United States","Baton Rouge, East Baton Rouge Parish, Louisiana, United States","30.4459596","-91.18738","988.571","5406.554","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","1016.364","5562.807","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","1060.635","5811.704","1","0"
"Country Inn & Suites by Radisson,  United States","Country Inn & Suites by Radisson"," United States","Country Inn & Suites by Radisson, Nashville, 210, Rudy Circle, Nashville, Davidson County, Tennessee, 37214, United States","36.2206081","-86.69563733154433","1089.457","5973.743","1","0"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","1195.519","6570.032","1","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","1271.507","7671.172","1","0"
"Bethlehem,  United States","Bethlehem"," United States","Bethlehem, Northampton County, Pennsylvania, United States","40.6178915","-75.3786521","1301.065","7854.372","1","0"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","1321.441","7980.66","1","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","1342.444","8110.84","1","0"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","1365.172","8251.706","1","0"
"Hanover,  United States","Hanover"," United States","Hanover, Grafton County, New Hampshire, United States","43.703622","-72.288666","1376.8","8323.779","1","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","1411.888","8541.256","1","0"
"Lofts Oasis of Gainsville,  United States","Lofts Oasis of Gainsville"," United States","Lofts Oasis of Gainsville, Gainesville, Alachua County, Florida, United States","29.61941755","-82.36011793561752","2444.929","14163.032","2","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","2460.256","14365.794","2","0"
"Keele,  United Kingdom","Keele"," United Kingdom","Keele, Newcastle-under-Lyme, Staffordshire, West Midlands, England, United Kingdom","53.0038078","-2.2877425","2800.923","17150.516","1","0"
"Birmingham,  United Kingdom","Birmingham"," United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4796992","-1.9026911","2819.646","17266.566","1","0"
"Exeter,  United Kingdom","Exeter"," United Kingdom","Exeter, Devon, South West England, England, United Kingdom","50.725562","-3.5269108","2833.923","17355.056","1","0"
"Porto,  Portugal","Porto"," Portugal","Porto, North, Portugal","41.1494512","-8.6107884","2956.794","18116.608","1","0"
"Liège,  Belgium","Liège"," Belgium","Liège, Wallonia, 4000, Belgium","50.6451381","5.5734203","2984.7","18289.572","1","0"
"Saarbrücken,  Germany","Saarbrücken"," Germany","Saarbrücken, Regionalverband Saarbrücken, Saarland, Germany","49.234362","6.996379","3044.261","18658.729","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","3044.44","18659.839","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","3075.36","18851.481","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","3897.964","23949.996","1","0"
"Kensington,  Australia","Kensington"," Australia","Kensington, Sydney, Randwick City Council, New South Wales, 2033, Australia","-33.9117191","151.2195058","3898.907","23955.841","1","0"
"District of Weston Creek,  Australia","District of Weston Creek"," Australia","District of Weston Creek, Australian Capital Territory, Australia","-35.343397","149.0477964","3979.969","24458.266","1","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","4231.784","25599.716","3","0"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","5236.014","31614.301","4","0"
"Aarhus,  Denmark","Aarhus"," Denmark","Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark","56.1496278","10.2134046","5804.49","35557.026","2","0"
"Honolulu,  United States","Honolulu"," United States","Honolulu, Honolulu County, Hawaii, United States","21.304547","-157.855676","7938.414","47944.52","6","0"
"Coventry,  United Kingdom","Coventry"," United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4081812","-1.510477","8483.252","51950.388","3","0"
