"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Aveiro,  Portugal","Aveiro"," Portugal","Aveiro, Centro, Portugal","40.640496","-8.6537841","0.0","0.0","0","13"
"Leiria,  Portugal","Leiria"," Portugal","Leiria, Centro, Portugal","39.7437902","-8.8071119","6.013","201.112","0","1"
"Coimbra,  Portugal","Coimbra"," Portugal","Coimbra, Centro, Portugal","40.2111931","-8.4294632","9.217","308.245","0","3"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","13.565","453.669","0","4"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","91.609","3063.859","0","7"
"Cheshire,  United Kingdom","Cheshire"," United Kingdom","Cheshire, England, United Kingdom","53.2141028","-2.471770086071205","554.578","2946.92","1","0"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","578.661","3083.969","1","0"
"Strasbourg,  France","Strasbourg"," France","Strasbourg, Bas-Rhin, Grand Est, Metropolitan France, France","48.584614","7.7507127","586.857","3130.609","1","0"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","618.141","3308.636","1","0"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","650.085","3490.416","1","0"
"Tunis City, Tunisia","Tunis City","Tunisia","Tunis City, Ariana, 2094, Tunisia","36.900303","10.123001","625.945","3353.048","1","0"
"Dwingeloo,  Netherlands","Dwingeloo"," Netherlands","Dwingeloo, Westerveld, Drenthe, Netherlands","52.8333065","6.3669419","657.787","3534.25","1","0"
"Leipzig,  Germany","Leipzig"," Germany","Leipzig, Saxony, Germany","51.3406321","12.3747329","740.258","4003.561","1","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.9971534","898.927","4902.568","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","994.904","5033.848","2","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","1042.377","5434.775","2","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","1250.873","7457.335","1","0"
"Cairo,  Egypt","Cairo"," Egypt","Cairo, Cairo Governorate, Egypt","30.0443879","31.2357257","1256.921","7537.34","1","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","1259.941","6751.905","2","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","1343.41","7226.901","2","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","1347.646","7251.007","2","0"
"Nsukka,  Nigeria","Nsukka"," Nigeria","Nsukka, Enugu, 410001, Nigeria","6.8561","7.3927","1350.63","8161.576","1","0"
"Udaipur,  India","Udaipur"," India","Udaipur, Rajasthan, 313001, India","24.578721","73.6862571","2499.641","15283.169","1","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","2662.388","16291.875","1","0"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","2830.781","15064.041","5","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","3389.786","20800.301","1","0"
"Winnipeg,  Canada","Winnipeg"," Canada","Winnipeg, Winnipeg (city), Manitoba, Canada","49.8955367","-97.1384584","4320.479","26359.104","2","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","4884.691","30065.748","1","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","5710.498","34974.463","2","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","5754.906","35459.36","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","5869.856","36171.822","1","0"
