"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","0.0","0.0","0","38"
"Quebec City,  Canada","Quebec City"," Canada","Quebec City, Québec (Agglomération), Capitale-Nationale, Quebec, Canada","46.8259601","-71.2352226","70.302","2351.232","0","5"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","253.755","1002.008","1","0"
"Hamilton,  Canada","Hamilton"," Canada","Hamilton, Golden Horseshoe, Ontario, Canada","43.2560802","-79.8728583","274.919","1112.82","1","0"
"London,  Canada","London"," Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","42.9836747","-81.2496068","318.041","1338.603","1","0"
"Halifax,  Canada","Halifax"," Canada","Halifax, Nova Scotia, Canada","44.648618","-63.5859487","365.02","1584.58","1","0"
"Windsor,  Canada","Windsor"," Canada","Windsor, Southwestern Ontario, Ontario, N9A 3A8, Canada","42.317099","-83.0353434","380.591","1666.107","1","0"
"Massachusetts,  United States","Massachusetts"," United States","Massachusetts, United States","42.3788774","-72.032366","407.786","1476.106","2","0"
"Moncton,  Canada","Moncton"," Canada","Moncton, Moncton Parish, Westmorland County, New Brunswick, Canada","46.097995","-64.80011","648.773","2743.655","2","0"
"Waterloo,  Canada","Waterloo"," Canada","Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, Canada","43.4652699","-80.5222961","866.492","3556.984","3","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","944.464","5158.583","1","0"
"Newark,  United States","Newark"," United States","Newark, New Castle County, Delaware, United States","39.6852191","-75.7508289","1272.51","5356.221","4","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","1312.769","7926.914","1","0"
"Kinston,  United States","Kinston"," United States","Kinston, Lenoir County, North Carolina, United States","35.2626635","-77.5816353","1922.582","9490.363","4","0"
"Strasbourg,  France","Strasbourg"," France","Strasbourg, Bas-Rhin, Grand Est, Metropolitan France, France","48.584614","7.7507127","1928.556","11743.572","1","0"
"Montpellier,  France","Montpellier"," France","Montpellier, Hérault, Occitania, Metropolitan France, France","43.6112422","3.8767337","1935.277","11785.229","1","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","1947.109","11858.565","1","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","3913.448","24045.968","1","0"
"Innsbruck,  Austria","Innsbruck"," Austria","Innsbruck, Tyrol, Austria","47.2654296","11.3927685","4055.982","24719.747","2","0"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","7897.432","48109.814","4","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","11285.819","68691.792","6","0"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","16250.035","96795.646","13","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","18112.269","110163.642","10","0"
"Hilo,  United States","Hilo"," United States","Hilo, Hawaiʻi County, Hawaii, United States","19.7073734","-155.0815803","66389.889","406034.758","26","0"
