"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","0.0","0.0","0","14"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","15.548","519.994","0","1"
"Charlottesville,  United States","Charlottesville"," United States","Charlottesville, Virginia, United States","38.029306","-78.4766781","28.358","948.437","0","3"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","102.872","3440.551","0","30"
"Detroit,  United States","Detroit"," United States","Detroit, Wayne County, Michigan, United States","42.3315509","-83.0466403","304.884","1269.712","1","0"
"Huntsville,  United States","Huntsville"," United States","Huntsville, Madison County, Alabama, United States","34.729847","-86.5859011","429.654","1934.668","1","0"
"Gainesville,  United States","Gainesville"," United States","Gainesville, Alachua County, Florida, United States","29.6519684","-82.3249846","469.003","2272.606","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","564.901","1970.435","3","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","725.737","3920.931","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","853.679","3820.994","2","0"
"Denver,  United States","Denver"," United States","Denver, Denver County, Colorado, United States","39.7392364","-104.9848623","879.39","4792.728","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","1143.58","6278.028","1","0"
"Phoenix,  United States","Phoenix"," United States","Phoenix, Maricopa County, Arizona, United States","33.4484367","-112.0741417","1159.098","6365.27","1","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","1239.445","7306.156","1","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","2199.142","13420.671","1","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","2332.652","14248.166","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","2350.099","14356.302","1","0"
"Palermo,  Italy","Palermo"," Italy","Palermo, Sicily, Italy","38.1112268","13.3524434","2454.249","15001.825","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","4046.719","24662.33","2","0"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","4451.228","27169.484","2","0"
"Honolulu,  United States","Honolulu"," United States","Honolulu, Honolulu County, Hawaii, United States","21.304547","-157.855676","5083.08","31085.718","2","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","6041.15","37233.506","1","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","6400.171","26651.471","21","0"
"San Francisco,  United States","San Francisco"," United States","San Francisco, California, United States","37.7790262","-122.419906","6491.788","39187.954","5","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4938203","11.3426327","6870.758","41956.121","3","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","11166.852","68164.089","5","0"
