"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","0.0","0.0","0","10"
"Lund,  Sweden","Lund"," Sweden","Lund, Lund Municipality, Skåne County, Sweden","55.7029296","13.1929449","29.709","993.629","0","1"
"Oslo,  Norway","Oslo"," Norway","Oslo, Norway","59.9133301","10.7389701","49.905","1669.05","0","2"
"Gothenburg,  Sweden","Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, 41106, Sweden","57.7072326","11.9670171","71.278","2383.882","0","3"
"Kongens Lyngby,  Denmark","Kongens Lyngby"," Denmark","Kongens Lyngby, Lyngby-Taarbæk Municipality, Capital Region of Denmark, 2800, Denmark","55.7718649","12.5051413","259.402","1031.573","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","371.891","1620.553","1","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","432.619","1960.134","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","475.022","2324.298","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","496.902","2512.2","1","0"
"County Durham,  United Kingdom","County Durham"," United Kingdom","County Durham, North East England, England, United Kingdom","54.666667","-1.75","507.397","2602.338","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Westminster, England, SW1A 2DX, United Kingdom","51.5073219","-0.1276474","540.244","2865.349","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","579.146","3086.73","1","0"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","580.459","3094.203","1","0"
"Saclay,  France","Saclay"," France","Saclay, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91400, France","48.7305162","2.172576","585.83","3124.764","1","0"
"Brera,  Italy","Brera"," Italy","Brera, Cascina Ronco, Vedano Olona, Varese, Lombardy, 21043, Italy","45.7706425","8.8829619","608.423","3253.336","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","731.321","3952.704","1","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","784.019","3125.165","3","0"
"Reykjavik,  Iceland","Reykjavik"," Iceland","Reykjavik, Capital Region, Iceland","64.145981","-21.9422367","787.033","4269.741","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","1014.303","5200.453","2","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","1020.407","5252.875","2","0"
