location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Nafplio, Greece",Nafplio,Greece,"Nafplio, Greece",37.5703286566,22.80469909,0,0,0,0
"Athens,  Greece",Athens, Greece,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece",37.9839412,23.7283052,16.697,558.444,0,3
"Beirut,  Lebanon",Beirut, Lebanon,"Beirut, Beirut Governorate, Lebanon",33.8959203,35.47843,486.912,2426.407,1,0
"Bologna,  Italy",Bologna, Italy,"Bologna, Emilia-Romagna, Italy",44.4937577,11.3430308,490.795,2459.753,1,0
"Krakow,  Poland",Krakow, Poland,"Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland",50.0469432,19.9971534358,532.949,2810.706,1,0
"Milan,  Italy",Milan, Italy,"Milan, Lombardy, Italy",45.4668,9.1905,539.562,2861.469,1,0
"Prague,  Czechia",Prague, Czechia,"Prague, Czechia",50.0596288,14.4464592733,577.989,3080.147,1,0
"Marseille,  France",Marseille, France,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France",43.2961743,5.3699525,600.252,3206.835,1,0
"Tübingen,  Germany",Tübingen, Germany,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany",48.5236164,9.0535531,615.958,3296.213,1,0
"Grenoble,  France",Grenoble, France,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",45.1875602,5.7357819,617.425,3304.559,1,0
"Besançon,  France",Besançon, France,"Besançon, Doubs, Bourgogne-Franche-Comté, Metropolitan France, 25000, France",47.2380222,6.0243622,648.784,3483.016,1,0
"Cologne,  Germany",Cologne, Germany,"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974,719.131,3883.335,1,0
"Palermo,  Italy",Palermo, Italy,"Palermo, Sicily, Italy",38.1112268,13.3524434,760.49,3328.589,2,0
"Lund,  Sweden",Lund, Sweden,"Lund, Lund Municipality, Skåne County, Sweden",55.7029296,13.1929449,789.202,4282.087,1,0
"Noordwijk,  Netherlands",Noordwijk, Netherlands,"Noordwijk, South Holland, Netherlands",52.2410856,4.4461969,798.503,4335.015,1,0
"Madrid,  Spain",Madrid, Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",40.4167047,-3.7035825,846.596,4608.358,1,0
"Hertfordshire,  United Kingdom",Hertfordshire, United Kingdom,"Hertfordshire, East of England, England, United Kingdom",51.8400523,-0.0978551922,876.699,4777.604,1,0
"Cambridge,  United Kingdom",Cambridge, United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537374,879.611,4793.974,1,0
"Uppsala,  Sweden",Uppsala, Sweden,"Uppsala, Uppsala kommun, Uppsala County, 753 20, Sweden",59.8586126,17.6387436,918.203,5010.939,1,0
"Exeter,  United Kingdom",Exeter, United Kingdom,"Exeter, Devon, South West England, England, United Kingdom",50.725562,-3.5269108,929.864,5076.496,1,0
"Saint Petersburg,  Russia",Saint Petersburg, Russia,"Saint Petersburg, Northwestern Federal District, 190000, Russia",59.938732,30.316229,931.806,5087.417,1,0
"Cardiff,  United Kingdom",Cardiff, United Kingdom,"Cardiff, Wales, CF, United Kingdom",51.4816546,-3.1791934,935.238,5106.713,1,0
"Sheffield,  United Kingdom",Sheffield, United Kingdom,"Sheffield, Yorkshire and the Humber, England, United Kingdom",53.3806626,-1.4702278,937.594,5119.96,1,0
