"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Newcastle upon Tyne,  United Kingdom","Newcastle upon Tyne"," United Kingdom","Newcastle upon Tyne, Tyne and Wear, North East England, England, United Kingdom","54.9738474","-1.6131572","0.0","0.0","0","6"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","7.827","261.78","0","1"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","10.236","342.331","0","1"
"Dorking,  United Kingdom","Dorking"," United Kingdom","Dorking, Mole Valley, Surrey, South East England, England, United Kingdom","51.2325184","-0.3306724","225.27","849.433","1","0"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","331.223","1407.621","1","0"
"Bielefeld,  Germany","Bielefeld"," Germany","Bielefeld, North Rhine-Westphalia, Germany","52.0191005","8.531007","347.408","1492.365","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","356.408","1539.49","1","0"
"Gothenburg,  Sweden","Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, 41106, Sweden","57.7072326","11.9670171","401.799","1777.151","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","419.362","1869.108","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Westminster, England, SW1A 2DX, United Kingdom","51.5073219","-0.1276474","429.96","1591.641","2","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","503.212","2566.396","1","0"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","508.027","2607.748","1","0"
"Espoo,  Finland","Espoo"," Finland","Espoo, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.2241869","24.6603626","619.169","3314.487","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","897.647","4895.373","1","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","1091.156","5983.293","1","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","1165.783","6216.086","2","0"
"Radboud,  Netherlands","Radboud"," Netherlands","Radboud, Schelfhorst, Almelo, Overijssel, Netherlands, 7608JK, Netherlands","52.3784106","6.6707204","1191.807","4933.672","4","0"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","1395.97","6002.643","4","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","1754.135","8043.711","4","0"
"Rochester,  United States","Rochester"," United States","Rochester, Monroe, New York, United States","43.157285","-77.615214","1777.399","10806.698","1","0"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","1787.411","10868.755","1","0"
"Saint Paul,  United States","Saint Paul"," United States","Saint Paul, Ramsey County, Minnesota, United States","44.9500208","-93.0949764","2021.152","12317.481","1","0"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","2060.222","10672.424","4","0"
"Statesboro,  United States","Statesboro"," United States","Statesboro, Bulloch County, Georgia, United States","32.4490141","-81.7832912","2133.907","13016.341","1","0"
"Calgary,  Canada","Calgary"," Canada","Calgary, Alberta, Canada","51.0460954","-114.065465","2189.046","13358.093","1","0"
"Kelowna,  Canada","Kelowna"," Canada","Kelowna, Regional District of Central Okanagan, British Columbia, Canada","49.8879177","-119.4959025","2295.822","14019.893","1","0"
"Kumamoto Prefecture,  Japan","Kumamoto Prefecture"," Japan","Kumamoto Prefecture, Japan","32.6450475","130.6341345","3022.412","18523.312","1","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","4849.04","29635.13","2","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","5475.914","33730.16","1","0"
"Kensington,  Australia","Kensington"," Australia","Kensington, Sydney, Randwick City Council, New South Wales, 2033, Australia","-33.9117191","151.2195058","5477.666","33741.018","1","0"
"Canberra,  Australia","Canberra"," Australia","Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","-35.2975906","149.1012676","5482.442","33770.621","1","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","5691.544","34856.989","2","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","7198.621","43778.571","4","0"
"Kaleden,  Canada","Kaleden"," Canada","Kaleden, Area I (Skaha West/Kaleden/Apex), Regional District of Okanagan-Similkameen, British Columbia, V0H 1K0, Canada","49.3932656","-119.5988914","9247.164","56475.476","4","0"
