"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","0.0","0.0","0","83"
"Université de Montréal,  Canada","Université de Montréal"," Canada","Université de Montréal, Boulevard Édouard-Montpetit, Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, H3T 1X5, Canada","45.504956750000005","-73.61453887024297","0.055","1.84","0","1"
"Laval,  Canada","Laval"," Canada","Laval, Deux-Montagnes, Montreal (06), Quebec, Canada","45.60558895","-73.73441730569056","0.924","30.888","0","1"
"Thetford Mines,  Canada","Thetford Mines"," Canada","Thetford Mines, Les Appalaches, Chaudiere-Appalaches, Quebec, Canada","46.091329","-71.30127","11.411","381.627","0","1"
"Notre-Dame-des-Bois,  Canada","Notre-Dame-des-Bois"," Canada","Notre-Dame-des-Bois, Le Granit, Estrie, Quebec, Canada","45.394593","-71.073303","11.855","396.486","0","1"
"Sherbrooke,  Canada","Sherbrooke"," Canada","Sherbrooke, Estrie, Quebec, Canada","45.403271","-71.889038","24.161","808.067","0","3"
"Ottawa,  Canada","Ottawa"," Canada","Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","45.4211435","-75.6900574","38.851","1299.358","0","4"
"Quebec City,  Canada","Quebec City"," Canada","Quebec City, Québec (Agglomération), Capitale-Nationale, Quebec, Canada","46.8259601","-71.2352226","42.181","1410.739","0","3"
"Kingston,  Canada","Kingston"," Canada","Kingston, Eastern Ontario, Ontario, K7L 2Z3, Canada","44.230687","-76.481323","127.49","4263.871","0","8"
"Peterborough,  Canada","Peterborough"," Canada","Peterborough, Central Ontario, Ontario, Canada","44.3048009","-78.3199496","213.421","787.699","1","0"
"Mississauga,  Canada","Mississauga"," Canada","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","43.5896231","-79.6443879","262.14","1045.912","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","265.968","1065.956","1","0"
