"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","0.0","0.0","0","31"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","1.653","55.288","0","2"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, United States","33.6856969","-117.8259819","10.617","355.078","0","3"
"Riverside,  United States","Riverside"," United States","Riverside, Riverside County, California, United States","33.9533546","-117.3961623","38.884","1300.462","0","9"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","244.32","948.692","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, United States","40.0149856","-105.270545","510.227","2626.636","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","576.726","3072.957","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","822.437","3326.316","3","0"
"Batavia,  United States","Batavia"," United States","Batavia, Kane County, Illinois, 60510, United States","41.8500284","-88.3125738","999.713","5469.198","1","0"
"Charlottesville,  United States","Charlottesville"," United States","Charlottesville, Virginia, United States","38.029306","-78.4766781","1225.897","7126.933","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","1243.496","7359.746","1","0"
"University of Maryland,  United States","University of Maryland"," United States","University of Maryland, College Park, University Boulevard East, Berwyn, College Park, Prince George's County, Maryland, 20740, United States","38.99203005","-76.94610290199051","1244.541","7373.565","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","1299.742","7846.173","1","0"
"East Lansing,  United States","East Lansing"," United States","East Lansing, Ingham County, Michigan, United States","42.7320307","-84.4721678","2231.44","12242.789","2","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","2472.643","13924.635","2","0"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","2565.684","15482.85","2","0"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","3457.003","18981.728","3","0"
"Central Bank of Malta,  Malta","Central Bank of Malta"," Malta","Central Bank of Malta, Triq il-Papa Piju V, Valletta, South Eastern Region, VLT 1060, Malta","35.8953562","14.509817395288255","3521.069","21613.995","1","0"
"Greenbelt,  United States","Greenbelt"," United States","Greenbelt, Good Luck Road, New Carrollton, Prince George's County, Maryland, 20706, United States","38.9937333","-76.883065797021","3736.078","22153.182","3","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","12485.031","74259.816","10","0"
