"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"South Hadley,  United States","South Hadley"," United States","South Hadley, Hampshire County, Massachusetts, 01075, United States","42.2495463","-72.582258","0.0","0.0","0","1"
"Amherst,  United States","Amherst"," United States","Amherst, Hampshire County, Massachusetts, United States","42.3685658","-72.505714","1.753","58.62","0","2"
"Middletown,  United States","Middletown"," United States","Middletown, Middlesex County, Connecticut, United States","41.54961415","-72.65157756750801","4.667","156.08","0","1"
"Providence,  United States","Providence"," United States","Providence, Providence County, Rhode Island, United States","41.8239891","-71.4128343","6.431","215.093","0","1"
"Needham,  United States","Needham"," United States","Needham, Norfolk County, Massachusetts, United States","42.2806488","-71.2364844","6.626","221.59","0","1"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","15.061","503.711","0","2"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","51.161","1711.061","0","7"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","74.632","2496.067","0","6"
"University of Maryland,  United States","University of Maryland"," United States","University of Maryland, College Park, University Boulevard East, Berwyn, College Park, Prince George's County, Maryland, 20740, United States","38.99203005","-76.94610290199051","259.652","1032.884","1","0"
"London,  Canada","London"," Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","42.9836747","-81.2496068","334.96","1427.187","1","0"
"West Lafayette,  United States","West Lafayette"," United States","West Lafayette, Tippecanoe County, Indiana, United States","40.4258686","-86.9080655","486.539","2423.2","1","0"
"Evanston,  United States","Evanston"," United States","Evanston, Evanston Township, Cook County, Illinois, United States","42.0447388","-87.6930459","494.165","2488.698","1","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, United States","40.1117174","-88.207301","513.437","2654.207","1","0"
"Greenbelt,  United States","Greenbelt"," United States","Greenbelt, Good Luck Road, New Carrollton, Prince George's County, Maryland, 20706, United States","38.9937333","-76.883065797021","516.314","2050.117","2","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","730.791","2834.769","3","0"
"Flagstaff,  United States","Flagstaff"," United States","Flagstaff, Coconino County, Arizona, United States","35.1987522","-111.6518229","1230.856","6893.894","1","0"
"Orlando,  United States","Orlando"," United States","Orlando, Orange County, Florida, United States","28.5421109","-81.3790304","1280.917","6871.277","2","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","1290.084","7786.31","1","0"
"San Marcos,  United States","San Marcos"," United States","San Marcos, San Diego County, California, United States","33.1433723","-117.1661449","1325.474","8005.657","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","1387.151","8387.934","1","0"
"Mountain View,  United States","Mountain View"," United States","Mountain View, Santa Clara County, California, United States","37.3893889","-122.0832101","1389.878","8404.836","1","0"
