"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","0.0","0.0","0","23"
"La Cañada Flintridge,  United States","La Cañada Flintridge"," United States","La Cañada Flintridge, California, United States","34.1998302","-118.2005236","1.857","62.1","0","4"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, United States","33.6856969","-117.8259819","7.078","236.718","0","2"
"Riverside,  United States","Riverside"," United States","Riverside, Riverside County, California, United States","33.9533546","-117.3961623","12.961","433.487","0","3"
"Davis,  United States","Davis"," United States","Davis, Yolo County, California, United States","38.545379","-121.7445835","286.074","1171.228","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","329.958","1400.997","1","0"
"Norman,  United States","Norman"," United States","Norman, Cleveland County, Oklahoma, United States","35.2225717","-97.4394816","702.203","3787.005","1","0"
"Atlanta,  United States","Atlanta"," United States","Atlanta, Fulton County, Georgia, United States","33.7489924","-84.3902644","1129.509","6198.918","1","0"
"Toledo,  United States","Toledo"," United States","Toledo, Lucas County, Ohio, United States","41.6529143","-83.5378173","1138.933","6251.9","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","1153.452","6145.913","2","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","1226.438","6838.573","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","1243.496","7359.746","1","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, United States","40.1117174","-88.207301","2985.25","16329.501","3","0"
"Hanover,  Germany","Hanover"," Germany","Hanover, Region Hannover, Lower Saxony, Germany","52.3744779","9.7385532","2986.096","18298.223","1","0"
"Concepcion,  Chile","Concepcion"," Chile","Concepcion, Provincia de Concepción, Biobío Region, Chile","-36.8270795","-73.0502399","2992.623","18338.68","1","0"
"Rio de Janeiro,  Brazil","Rio de Janeiro"," Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","-22.9110137","-43.2093727","3305.028","20274.972","1","0"
"Naples,  Italy","Naples"," Italy","Naples, Napoli, Campania, Italy","40.8359336","14.2487826","3376.451","20717.652","1","0"
"Birmingham,  United Kingdom","Birmingham"," United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4796992","-1.9026911","5604.303","34316.262","2","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","9117.19","56089.203","2","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","11800.678","72511.858","3","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","12200.552","74780.627","4","0"
