"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Lancaster,  United Kingdom","Lancaster"," United Kingdom","Lancaster, Lancashire, North West England, England, United Kingdom","54.0484068","-2.7990345","0.0","0.0","0","41"
"Kendal,  United Kingdom","Kendal"," United Kingdom","Kendal, South Lakeland, Cumbria, North West England, England, United Kingdom","54.3289795","-2.747183","1.877","62.76","0","1"
"Clitheroe,  United Kingdom","Clitheroe"," United Kingdom","Clitheroe, Ribble Valley, Lancashire, North West England, England, United Kingdom","53.8717465","-2.3926783","1.977","66.109","0","1"
"Stockport,  United Kingdom","Stockport"," United Kingdom","Stockport, Greater Manchester, North West England, England, United Kingdom","53.407901","-2.160243","4.945","165.387","0","1"
"Cheshire,  United Kingdom","Cheshire"," United Kingdom","Cheshire, England, United Kingdom","53.2141028","-2.471770086071205","5.696","190.494","0","1"
"North Shields,  United Kingdom","North Shields"," United Kingdom","North Shields, North Tyneside, Tyne and Wear, North East England, England, NE29 6QF, United Kingdom","55.0087655","-1.4471035","8.245","275.768","0","1"
"Warwick,  United Kingdom","Warwick"," United Kingdom","Warwick, Warwickshire, West Midlands, England, United Kingdom","52.2814519","-1.5815742","12.712","425.142","0","1"
"Newcastle-under-Lyme,  United Kingdom","Newcastle-under-Lyme"," United Kingdom","Newcastle-under-Lyme, Staffordshire, West Midlands, England, United Kingdom","53.0117627","-2.2273919","14.508","485.211","0","2"
"Bristol,  United Kingdom","Bristol"," United Kingdom","Bristol, City of Bristol, South West England, England, United Kingdom","51.4538022","-2.5972985","17.272","577.653","0","1"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","25.953","868.004","0","5"
"York,  United Kingdom","York"," United Kingdom","York, Yorkshire and the Humber, England, YO1 8SG, United Kingdom","53.9590555","-1.0815361","26.953","901.437","0","4"
"Sheffield,  United Kingdom","Sheffield"," United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","53.3806626","-1.4702278","27.439","917.69","0","4"
"Hull,  United Kingdom","Hull"," United Kingdom","Hull, Kingston upon Hull, Yorkshire and the Humber, England, HU1 3RA, United Kingdom","53.7435722","-0.3394758","29.542","988.034","0","3"
"Swindon,  United Kingdom","Swindon"," United Kingdom","Swindon, South West England, England, SN1 1JZ, United Kingdom","51.5613683","-1.7856853","34.063","1139.217","0","2"
"Preston,  United Kingdom","Preston"," United Kingdom","Preston, Lancashire, North West England, England, United Kingdom","53.7593363","-2.6992717","39.23","1312.035","0","20"
"Harwell,  United Kingdom","Harwell"," United Kingdom","Harwell, Vale of White Horse, Oxfordshire, South East England, England, United Kingdom","51.5999743","-1.2909164","52.113","1742.896","0","3"
"County Durham,  United Kingdom","County Durham"," United Kingdom","County Durham, North East England, England, United Kingdom","54.666667","-1.75","69.375","2320.22","0","12"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","69.836","2335.657","0","16"
"Aberystwyth,  United Kingdom","Aberystwyth"," United Kingdom","Aberystwyth, Ceredigion, Wales, SY23 1LH, United Kingdom","52.4143113","-4.0816846","72.03","2409.022","0","6"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","86.365","2888.446","0","6"
"Belfast,  United Kingdom","Belfast"," United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","54.5964411","-5.9302761","88.74","2967.881","0","7"
"Bath,  United Kingdom","Bath"," United Kingdom","Bath, Bath and North East Somerset, South West England, England, United Kingdom","51.3813864","-2.3596963","89.111","2980.308","0","5"
"Coventry,  United Kingdom","Coventry"," United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4081812","-1.510477","96.416","3224.616","0","8"
"Nottingham,  United Kingdom","Nottingham"," United Kingdom","Nottingham, East Midlands, England, United Kingdom","52.9534193","-1.1496461","97.755","3269.414","0","10"
"Liverpool,  United Kingdom","Liverpool"," United Kingdom","Liverpool, North West England, England, United Kingdom","53.4071991","-2.99168","99.602","3331.165","0","23"
"Newcastle upon Tyne,  United Kingdom","Newcastle upon Tyne"," United Kingdom","Newcastle upon Tyne, North East England, England, United Kingdom","54.9738474","-1.6131572","107.373","3591.063","0","14"
"Birmingham,  United Kingdom","Birmingham"," United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4796992","-1.9026911","110.232","3686.689","0","10"
"Milton Keynes,  United Kingdom","Milton Keynes"," United Kingdom","Milton Keynes, South East England, England, MK9 3AF, United Kingdom","52.0429797","-0.7589607","125.036","4181.822","0","8"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","164.726","5509.228","0","10"
"Cardiff,  United Kingdom","Cardiff"," United Kingdom","Cardiff, Wales, CF, United Kingdom","51.4816546","-3.1791934","171.359","5731.058","0","10"
"Chilton,  United Kingdom","Chilton"," United Kingdom","Chilton, Babergh, Suffolk, East of England, England, United Kingdom","52.0524074","0.7544289","186.994","650.003","1","0"
"Basingstoke,  United Kingdom","Basingstoke"," United Kingdom","Basingstoke, Basingstoke and Deane, Hampshire, South East England, England, United Kingdom","51.262826","-1.0861976","189.128","661.126","1","0"
"Salisbury,  United Kingdom","Salisbury"," United Kingdom","Salisbury, Wiltshire, South West England, England, United Kingdom","51.0690613","-1.7954134","192.043","676.31","1","0"
"Hampshire,  United Kingdom","Hampshire"," United Kingdom","Hampshire, England, United Kingdom","51.04483545","-1.2434093597173146","196.641","700.267","1","0"
"Glasgow,  United Kingdom","Glasgow"," United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SD, United Kingdom","55.8609825","-4.2488787","212.2","7096.987","0","16"
"Kent,  United Kingdom","Kent"," United Kingdom","Kent, England, United Kingdom","51.20707485","0.7210361813401444","213.94","790.402","1","0"
"Leicester,  United Kingdom","Leicester"," United Kingdom","Leicester, Leicestershire, East Midlands, England, LE1 5YA, United Kingdom","52.6361398","-1.1330789","229.707","7682.508","0","20"
"St Andrews,  United Kingdom","St Andrews"," United Kingdom","St Andrews, Fife, Scotland, KY16 9PA, United Kingdom","56.3403902","-2.7955844","259.088","8665.151","0","17"
"Utrecht,  Netherlands","Utrecht"," Netherlands","Utrecht, Netherlands","52.0949753","5.109708","280.444","1141.747","1","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","318.838","10663.468","0","25"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","321.477","1356.594","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","356.893","11936.237","0","21"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","405.913","1798.692","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","422.626","1886.2","1","0"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","457.685","2175.399","1","0"
"Galway Bay,  Ireland","Galway Bay"," Ireland","Galway Bay, County Galway, Connacht, Ireland","53.1439907","-9.469486214585425","470.984","1805.387","2","0"
"Santander,  Spain","Santander"," Spain","Santander, Cantabria, Spain","43.4620412","-3.8099719","479.051","2358.9","1","0"
"Oberpfaffenhofen,  Germany","Oberpfaffenhofen"," Germany","Oberpfaffenhofen, Weßling, Wörthsee, Landkreis Starnberg, Bavaria, 82234, Germany","48.0732582","11.2649062","479.892","2366.119","1","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","483.021","2392.988","1","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","530.435","2790.759","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","540.938","2179.04","2","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","548.373","2911.613","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","569.98","3034.567","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","793.928","3177.049","3","0"
"Leuven,  Belgium","Leuven"," Belgium","Leuven, Flemish Brabant, Flanders, Belgium","50.879202","4.7011675","895.16","3707.085","3","0"
"Hounslow,  United Kingdom","Hounslow"," United Kingdom","Hounslow, London, Greater London, England, TW3 1BL, United Kingdom","51.4686132","-0.3613471","945.337","3304.038","5","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","964.411","4771.978","2","0"
"Hertfordshire,  United Kingdom","Hertfordshire"," United Kingdom","Hertfordshire, East of England, England, United Kingdom","51.840052299999996","-0.09785519224523963","1075.907","3660.061","6","0"
"Portsmouth,  United Kingdom","Portsmouth"," United Kingdom","Portsmouth, South East England, England, United Kingdom","50.8036831","-1.075614","1662.444","6067.511","8","0"
"Ottawa,  Canada","Ottawa"," Canada","Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","45.4211435","-75.6900574","1675.249","10173.569","1","0"
"Brighton,  United Kingdom","Brighton"," United Kingdom","Brighton, Brighton and Hove, South East England, England, United Kingdom","50.8214626","-0.1400561","1730.811","6423.724","8","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8950368","-77.0365427","1855.543","11291.034","1","0"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","1949.115","11870.999","1","0"
