"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","0.0","0.0","0","11"
"Noordwijk,  Netherlands","Noordwijk"," Netherlands","Noordwijk, South Holland, Netherlands","52.2410856","4.4461969","2.019","67.517","0","1"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","2.231","74.61","0","1"
"Utrecht,  Netherlands","Utrecht"," Netherlands","Utrecht, Netherlands","52.0949753","5.109708","4.092","136.86","0","2"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","19.371","647.865","0","1"
"Leicester,  United Kingdom","Leicester"," United Kingdom","Leicester, Leicestershire, East Midlands, England, LE1 5YA, United Kingdom","52.6361398","-1.1330789","24.449","817.685","0","1"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","51.438","1720.328","0","2"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","76.429","2556.14","0","3"
"Southampton,  United Kingdom","Southampton"," United Kingdom","Southampton, South East England, England, United Kingdom","50.9025349","-1.404189","166.54","5569.9","0","6"
"County Durham,  United Kingdom","County Durham"," United Kingdom","County Durham, North East England, England, United Kingdom","54.666667","-1.75","256.276","1015.209","1","0"
"Lund,  Sweden","Lund"," Sweden","Lund, Lund Municipality, Skåne County, Sweden","55.7029296","13.1929449","312.842","1311.384","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","315.635","1326.006","1","0"
"Onsala,  Sweden","Onsala"," Sweden","Onsala, Kungsbacka kommun, Halland County, 43932, Sweden","57.4272188","12.0302702","338.613","1446.313","1","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","368.471","1602.646","1","0"
"Turku,  Finland","Turku"," Finland","Turku, Turun seutukunta, Southwest Finland, South-Western Finland, Mainland Finland, Finland","60.4517531","22.2670522","528.741","2777.315","1","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","907.981","4953.473","1","0"
"Palermo,  Italy","Palermo"," Italy","Palermo, Sicily, Italy","38.1112268","13.3524434","1279.463","6863.001","2","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","2012.867","12266.132","1","0"
"University of Maryland,  United States","University of Maryland"," United States","University of Maryland, College Park, University Boulevard East, Berwyn, College Park, Prince George's County, Maryland, 20740, United States","38.99203005","-76.94610290199051","2026.999","12353.721","1","0"
"Ann Arbor,  United States","Ann Arbor"," United States","Ann Arbor, Washtenaw County, Michigan, United States","42.2681569","-83.7312291","2081.721","12692.895","1","0"
"East Lansing,  United States","East Lansing"," United States","East Lansing, Ingham County, Michigan, United States","42.7320307","-84.4721678","2084.539","12710.359","1","0"
"Evanston,  United States","Evanston"," United States","Evanston, Evanston Township, Cook County, Illinois, United States","42.0447388","-87.6930459","2162.98","13196.536","1","0"
"Charleston,  United States","Charleston"," United States","Charleston, Charleston County, South Carolina, United States","32.7876012","-79.9402728","2245.302","13706.768","1","0"
"Edmonton,  Canada","Edmonton"," Canada","Edmonton, Edmonton (city), Alberta, Canada","53.535411","-113.507996","2270.33","13861.892","1","0"
"Tenerife,  Spain","Tenerife"," Spain","Tenerife, Canary Islands, Spain","28.2935785","-16.621447121144122","2339.622","12850.995","2","0"
"Hilo,  United States","Hilo"," United States","Hilo, Hawaiʻi County, Hawaii, United States","19.7073734","-155.0815803","3831.428","23537.604","1","0"
"Abu Dhabi,  United Arab Emirates","Abu Dhabi"," United Arab Emirates","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","24.4538352","54.3774014","5102.136","30994.173","3","0"
"Reno,  United States","Reno"," United States","Reno, Washoe County, Nevada, United States","39.5261206","-119.8126581","5546.926","33960.644","2","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","8741.336","53549.998","3","0"
