"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","0.0","0.0","0","3"
"Saclay,  France","Saclay"," France","Saclay, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91400, France","48.7305162","2.172576","2.296","76.793","0","2"
"Guyancourt,  France","Guyancourt"," France","Guyancourt, Versailles, Yvelines, Ile-de-France, Metropolitan France, 78280, France","48.7709414","2.0706084","2.711","90.672","0","2"
"Darmstadt,  Germany","Darmstadt"," Germany","Darmstadt, Hesse, Germany","49.872775","8.651177","242.582","939.635","1","0"
"Exeter,  United Kingdom","Exeter"," United Kingdom","Exeter, Devon, South West England, England, United Kingdom","50.725562","-3.5269108","242.724","940.376","1","0"
"Frankfurt,  Germany","Frankfurt"," Germany","Frankfurt, Hesse, Germany","50.1106444","8.6820917","244.942","955.864","1","0"
"Sheffield,  United Kingdom","Sheffield"," United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","53.3806626","-1.4702278","279.802","1138.389","1","0"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","296.233","1224.42","1","0"
"Lancaster,  United Kingdom","Lancaster"," United Kingdom","Lancaster, Lancashire, North West England, England, United Kingdom","54.0484068","-2.7990345","321.477","1356.594","1","0"
"Innsbruck,  Austria","Innsbruck"," Austria","Innsbruck, Tyrol, Austria","47.2654296","11.3927685","327.608","1388.697","1","0"
"Trento,  Italy","Trento"," Italy","Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italy","46.0664228","11.1257601","340.603","1456.735","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","347.012","1490.289","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","387.349","1701.493","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","570.779","2335.285","2","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","579.146","3086.73","1","0"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","595.358","2463.982","2","0"
"Helsinki,  Finland","Helsinki"," Finland","Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.1674881","24.9427473","707.499","3817.14","1","0"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","721.287","3123.328","2","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","794.275","3505.485","2","0"
"Florence,  Italy","Florence"," Italy","Florence, Metropolitan City of Florence, Tuscany, Italy","43.7698712","11.2555757","801.981","3545.834","2","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","911.374","4972.546","1","0"
"Thuwal,  Saudi Arabia","Thuwal"," Saudi Arabia","Thuwal, Jiddah, Makkah Region, 23955-6900, Saudi Arabia","22.2833454","39.1128145","1445.723","8750.963","1","0"
"Durham,  United States","Durham"," United States","Durham, Strafford County, New Hampshire, 03824, United States","43.134564","-70.927048","1800.234","10948.23","1","0"
"Etna,  United States","Etna"," United States","Etna, Hanover, Grafton County, New Hampshire, 03750, United States","43.6928489","-72.2217561","1817.186","11053.298","1","0"
"Lowell,  United States","Lowell"," United States","Lowell, Middlesex County, Massachusetts, United States","42.6334247","-71.3161718","1818.76","11063.054","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","1917.396","11674.402","1","0"
"Newark,  United States","Newark"," United States","Newark, New Castle County, Delaware, United States","39.6852191","-75.7508289","1977.769","12048.596","1","0"
"Raleigh,  United States","Raleigh"," United States","Raleigh, Wake County, North Carolina, United States","35.7803977","-78.6390989","2129.501","12989.031","1","0"
"University of Notre Dame du Lac,  United States","University of Notre Dame du Lac"," United States","University of Notre Dame du Lac, Warrick Street, Maple Lane, Saint Joseph County, Indiana, 46556, United States","41.704567749999995","-86.23822026017265","2155.448","13149.852","1","0"
"West Lafayette,  United States","West Lafayette"," United States","West Lafayette, Tippecanoe County, Indiana, United States","40.4258686","-86.9080655","2198.979","13419.656","1","0"
"Minneapolis,  United States","Minneapolis"," United States","Minneapolis, Hennepin County, Minnesota, United States","44.9772995","-93.2654692","2218.033","13537.758","1","0"
