"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Volos Municipality,  Greece","Volos Municipality"," Greece","Volos Municipality, Regional Unit of Magnesia, Thessaly, Thessaly and Central Greece, Greece","39.3624833","22.9401864","0.0","0.0","0","2"
"Ioannina,  Greece","Ioannina"," Greece","Ioannina, Ioannina Municipality, Ioannina Regional Unit, Epirus, Epirus and Western Macedonia, 45333, Greece","39.6639818","20.8522784","21.793","728.865","0","2"
"Municipality of Patras,  Greece","Municipality of Patras"," Greece","Municipality of Patras, Achaea Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece","38.246242","21.7350847","38.799","1297.617","0","4"
"Xanthi,  Greece","Xanthi"," Greece","Xanthi, Xanthi Municipality, Xanthi Regional Unit, Eastern Macedonia and Thrace, Macedonia and Thrace, 67100, Greece","41.1380289","24.8862688","61.567","2059.108","0","4"
"Thessaloniki,  Greece","Thessaloniki"," Greece","Thessaloniki, Thessaloniki Municipal Unit, Municipality of Thessaloniki, Thessaloniki Regional Unit, Central Macedonia, Macedonia and Thrace, 54626, Greece","40.6403167","22.9352716","203.927","6820.292","0","24"
"Athens,  Greece","Athens"," Greece","Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece","37.9839412","23.7283052","562.133","18800.443","0","56"
"Zielona Góra,  Poland","Zielona Góra"," Poland","Zielona Góra, Lubusz Voivodeship, 65-067, Poland","51.9383777","15.5050408","567.833","3022.352","1","0"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","573.601","3055.173","1","0"
"Kharkiv city rada,  Ukraine","Kharkiv city rada"," Ukraine","Kharkiv city rada, Kharkiv Raion, Kharkiv Oblast, Ukraine","49.99221885","36.272354296005254","591.672","3158.01","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","593.924","3170.826","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","611.608","3271.461","1","0"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","629.265","3371.939","1","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","685.477","3691.824","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","719.918","3887.813","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","739.787","4000.881","1","0"
"Greenwich,  United Kingdom","Greenwich"," United Kingdom","Greenwich, Royal Borough of Greenwich, England, SE10 9HF, United Kingdom","51.4820845","-0.0045417","818.818","4450.621","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","821.924","4468.295","1","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","826.145","4492.317","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","833.682","4535.203","1","0"
"Uppsala,  Sweden","Uppsala"," Sweden","Uppsala, Uppsala kommun, Uppsala County, 753 20, Sweden","59.8586126","17.6387436","848.345","4618.193","1","0"
"St Andrews,  United Kingdom","St Andrews"," United Kingdom","St Andrews, Fife, Scotland, KY16 9PA, United Kingdom","56.3403902","-2.7955844","974.228","5325.918","1","0"
"Mashhad,  Iran","Mashhad"," Iran","Mashhad, بخش مرکزی شهرستان مشهد, Mashhad County, Razavi Khorasan, Iran","36.2974945","59.6059232","1170.985","6432.096","1","0"
"Abu Dhabi,  United Arab Emirates","Abu Dhabi"," United Arab Emirates","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","24.4538352","54.3774014","1219.178","6747.676","1","0"
"Kayseri,  Turkey","Kayseri"," Turkey","Kayseri, Central Anatolia Region, Turkey","38.6582232","35.5546374","1375.942","6550.997","3","0"
"Leuven,  Belgium","Leuven"," Belgium","Leuven, Flemish Brabant, Flanders, Belgium","50.879202","4.7011675","1416.596","7643.375","2","0"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","1973.257","10602.15","3","0"
"Bengaluru,  India","Bengaluru"," India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","12.9791198","77.5912997","1995.332","12157.449","1","0"
"Luleå,  Sweden","Luleå"," Sweden","Luleå, Luleå kommun, Norrbotten County, 971 28, Sweden","65.5831187","22.1459535","2128.525","11664.194","2","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","2237.276","8774.512","9","0"
"Greenbelt,  United States","Greenbelt"," United States","Greenbelt, Good Luck Road, New Carrollton, Prince George's County, Maryland, 20706, United States","38.9937333","-76.883065797021","2644.125","16178.682","1","0"
"London,  Canada","London"," Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","42.9836747","-81.2496068","2650.141","16215.971","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","2804.694","17173.889","1","0"
"Lafayette,  United States","Lafayette"," United States","Lafayette, Tippecanoe County, Indiana, United States","40.4167022","-86.8752869","2824.67","17297.7","1","0"
"San Antonio,  United States","San Antonio"," United States","San Antonio, Bexar County, Texas, United States","29.4246002","-98.4951405","3344.595","20520.21","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","3493.077","21440.504","1","0"
"Palo Alto,  United States","Palo Alto"," United States","Palo Alto, Santa Clara County, California, United States","37.4443293","-122.1598465","3505.92","21520.103","1","0"
"Stanford,  United States","Stanford"," United States","Stanford, Palo Alto, Santa Clara County, California, United States","37.426540700000004","-122.17029258409187","3506.624","21524.467","1","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","6551.093","40184.49","2","0"
