location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Cambridge,  United States",Cambridge, United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,0,0,0,79
"Hull,  United States",Hull, United States,"Hull, Plymouth County, Massachusetts, 02045, United States",42.3020436,-70.9078243,1.087,36.347,0,1
"Boston,  United States",Boston, United States,"Boston, Suffolk County, Massachusetts, United States",42.3602534,-71.0582912,1.516,50.687,0,6
"Lowell,  United States",Lowell, United States,"Lowell, Middlesex County, Massachusetts, United States",42.6334247,-71.3161718,2.004,67.023,0,1
"Wellesley,  United States",Wellesley, United States,"Wellesley, Norfolk County, Massachusetts, United States",42.2964859,-71.2925571,5.286,176.784,0,5
"Hanover,  United States",Hanover, United States,"Hanover, Grafton County, New Hampshire, United States",43.703622,-72.288666,10.54,352.508,0,1
"New Haven,  United States",New Haven, United States,"New Haven, New Haven County, Connecticut, United States",41.29843435,-72.9310234271,11.534,385.743,0,1
"Danbury,  United States",Danbury, United States,"Danbury, Fairfield County, Connecticut, United States",41.39508,-73.475290614,13.419,448.784,0,1
"Voorheesville,  United States",Voorheesville, United States,"Voorheesville, Town of New Scotland, Albany County, New York, United States",42.653967,-73.9287366,13.96,466.895,0,1
"Yorktown Heights,  United States",Yorktown Heights, United States,"Yorktown Heights, Town of Yorktown, Westchester, New York, United States",41.2695965,-73.7752704009,15.133,506.122,0,1
"Middletown,  United States",Middletown, United States,"Middletown, Middlesex County, Connecticut, United States",41.54961415,-72.6515775675,18.821,629.452,0,2
"Morristown,  United States",Morristown, United States,"Morristown, Morris County, New Jersey, 07960, United States",40.7970384,-74.4809492,189.301,662.028,1,0
"Ithaca,  United States",Ithaca, United States,"Ithaca, Ithaca Town, Tompkins County, New York, United States",42.4396039,-76.4968019,232.141,885.232,1,0
"Bloomsburg,  United States",Bloomsburg, United States,"Bloomsburg, Columbia County, Pennsylvania, United States",41.0044958,-76.4537302,242.424,938.814,1,0
"Alexandria,  United States",Alexandria, United States,"Alexandria, Virginia, United States",38.8051095,-77.0470229,306.645,1278.935,1,0
"Fairfax,  United States",Fairfax, United States,"Fairfax, Fairfax (city), Virginia, United States",38.8462236,-77.3063733,312.151,1307.761,1,0
"Toronto,  Canada",Toronto, Canada,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347,325.028,1375.183,1,0
"Williamsburg,  United States",Williamsburg, United States,"Williamsburg, Williamsburg (city), Virginia, United States",37.2708788,-76.7074042,345.781,1483.848,1,0
"New York,  United States",New York, United States,"New York, United States",40.7127281,-74.0060152,357.863,1215.991,2,0
"Princeton,  United States",Princeton, United States,"Princeton, Mercer County, New Jersey, United States",40.3492744,-74.6592958,410.353,1489.482,2,0
"Montreal,  Canada",Montreal, Canada,"Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada",45.4972159,-73.6103642,432.243,1603.534,2,0
"Chapel Hill,  United States",Chapel Hill, United States,"Chapel Hill, Orange County, North Carolina, United States",35.9131542,-79.05578,435.457,1984.506,1,0
"Bethlehem,  United States",Bethlehem, United States,"Bethlehem, Northampton County, Pennsylvania, United States",40.6178915,-75.3786521,436.107,1623.67,2,0
"Columbus,  United States",Columbus, United States,"Columbus, Franklin County, Ohio, United States",39.9622601,-83.0007065,444.296,2060.414,1,0
"Athen Church Road,  United States",Athen, United States,"Athen Church Road, Lanier, Bryan County, Georgia, United States",32.137907,-81.53602,550.963,2926.348,1,0
"Nashville, Tennessee,  United States",Nashville, United States,"The Joseph, a Luxury Collection Hotel, Nashville, 401, Korean Veterans Boulevard, The Gulch East, Nashville, Davidson County, Tennessee, 37203, United States",36.1565461,-86.774741614,568.321,3025.128,1,0
"Fort Myers,  United States",Fort Myers, United States,"Fort Myers, Lee County, Florida, United States",26.640628,-81.8723084,741.264,4009.287,1,0
"Ann Arbor,  United States",Ann Arbor, United States,"Ann Arbor, Washtenaw County, Michigan, United States",42.2681569,-83.7312291,891.816,4148.517,2,0
"University of Maryland,  United States",University of Maryland, United States,"University of Maryland, College Park, University Boulevard East, Berwyn, College Park, Prince George's County, Maryland, 20740, United States",38.99203005,-76.946102902,897.009,3716.765,3,0
"Washington,  United States",Washington, United States,"Washington, District of Columbia, United States",38.8949924,-77.0365581,911.787,3794.14,3,0
"Canberra,  United States",Canberra, United States,"Canberra, Houston, Harris County, Texas, 77061, United States",29.641919,-95.289916,945.086,5162.08,1,0
