"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Albuquerque,  United States","Albuquerque"," United States","Albuquerque, Bernalillo County, New Mexico, United States","35.0841034","-106.650985","0.0","0.0","0","13"
"Jemez Springs,  United States","Jemez Springs"," United States","Jemez Springs, Sandoval County, New Mexico, 87924, United States","35.76851","-106.6921555","4.556","152.388","0","1"
"Socorro,  United States","Socorro"," United States","Socorro, Socorro County, New Mexico, United States","34.0572858","-106.8930799","34.776","1163.087","0","5"
"Kirtland,  United States","Kirtland"," United States","Kirtland, San Juan County, New Mexico, 87417, United States","36.7424605","-108.35530867398217","57.387","1919.288","0","4"
"Lubbock,  United States","Lubbock"," United States","Lubbock, Lubbock County, Texas, United States","33.5635206","-101.879336","242.504","939.227","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","257.637","1022.335","1","0"
"Prescott,  United States","Prescott"," United States","Prescott, Yavapai County, Arizona, United States","34.5399962","-112.4687616","266.544","1068.973","1","0"
"Murfreesboro,  United States","Murfreesboro"," United States","Murfreesboro, Rutherford County, Tennessee, United States","35.8460396","-86.3921096","681.089","3666.853","1","0"
"Green Bank Telescope,  United States","Green Bank Telescope"," United States","Green Bank Telescope, Slavin Hollow Road, Pocahontas County, West Virginia, 24944, United States","38.4330645","-79.83986281512446","883.75","4817.244","1","0"
"Old Westbury,  United States","Old Westbury"," United States","Old Westbury, North Hempstead, Nassau County, New York, 11568, United States","40.7887113","-73.5995717","1075.883","5897.429","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","2251.896","10563.294","5","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","2911.239","15913.407","3","0"
"Hillsdale County,  United States","Hillsdale County"," United States","Hillsdale County, Michigan, United States","41.8779105","-84.5984396","3036.579","16444.16","4","0"
"Nankoku,  Japan","Nankoku"," Japan","Nankoku, Kochi Prefecture, Japan","33.5755463","133.6413009","3304.223","20269.981","1","0"
