"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","0.0","0.0","0","16"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","16.605","555.342","0","1"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","26.991","902.71","0","1"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","27.02","903.696","0","1"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","28.231","944.176","0","1"
"Jena,  Germany","Jena"," Germany","Jena, Thuringia, Germany","50.9281717","11.5879359","46.08","1541.136","0","4"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","49.395","1651.992","0","2"
"Bamberg,  Germany","Bamberg"," Germany","Bamberg, Bavaria, Germany","49.8916044","10.8868478","132.898","4444.737","0","7"
"Innsbruck,  Austria","Innsbruck"," Austria","Innsbruck, Tyrol, Austria","47.2654296","11.3927685","285.218","1166.745","1","0"
"Malomsok,  Hungary","Malomsok"," Hungary","Malomsok, Pápai járás, Veszprém, Central Transdanubia, Transdanubia, 8533, Hungary","47.4522052","17.3946156","303.597","1262.978","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","326.927","1385.128","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","397.637","1755.36","1","0"
"Hertfordshire,  United Kingdom","Hertfordshire"," United Kingdom","Hertfordshire, East of England, England, United Kingdom","51.840052299999996","-0.09785519224523963","405.856","1798.389","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","409.156","1815.668","1","0"
"Hatfield,  United Kingdom","Hatfield"," United Kingdom","Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, United Kingdom","51.7634675","-0.2258741","409.705","1818.546","1","0"
"Sheffield,  United Kingdom","Sheffield"," United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","53.3806626","-1.4702278","432.391","1958.176","1","0"
"Coventry,  United Kingdom","Coventry"," United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4081812","-1.510477","434.164","1973.402","1","0"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","506.392","2593.704","1","0"
"Castleknock,  Ireland","Castleknock"," Ireland","Castleknock, Fingal, County Dublin, Leinster, D15V9KN, Ireland","53.3729581","-6.3624744","507.937","2606.969","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","547.898","2215.486","2","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","570.854","2335.682","2","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","611.543","3271.087","1","0"
"Guildford,  United Kingdom","Guildford"," United Kingdom","Guildford, Surrey, South East England, England, United Kingdom","51.2356068","-0.5732063","846.325","3778.011","2","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","864.969","3917.953","2","0"
"Armagh,  United Kingdom","Armagh"," United Kingdom","Armagh, County Armagh, Northern Ireland, BT61 7DJ, United Kingdom","54.3481977","-6.6540432","1024.034","5284.02","2","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","1230.267","7184.739","1","0"
"Villanueva de la Cañada,  Spain","Villanueva de la Cañada"," Spain","Villanueva de la Cañada, Cuenca del Guadarrama, Community of Madrid, 28691, Spain","40.4472106","-4.002795","1377.823","7422.735","2","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","1991.56","12134.07","1","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","2212.121","13501.115","1","0"
"Ann Arbor,  United States","Ann Arbor"," United States","Ann Arbor, Washtenaw County, Michigan, United States","42.2681569","-83.7312291","2234.976","13642.769","1","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","2559.558","15654.534","1","0"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","2637.923","16140.243","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","2707.071","16568.819","1","0"
"Ningbo,  China","Ningbo"," China","Ningbo, Zhejiang, China","29.8622194","121.6203873","2794.291","17109.416","1","0"
"Santa Cruz,  United States","Santa Cruz"," United States","Santa Cruz, Santa Cruz County, California, 95061, United States","36.9743626","-122.0294673","2992.326","18336.838","1","0"
