"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","0.0","0.0","0","7"
"Armagh,  United Kingdom","Armagh"," United Kingdom","Armagh, County Armagh, Northern Ireland, BT61 7DJ, United Kingdom","54.3481977","-6.6540432","6.816","227.971","0","1"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","15.934","532.916","0","1"
"Glasgow,  United Kingdom","Glasgow"," United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SD, United Kingdom","55.8609825","-4.2488787","180.386","615.577","1","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","196.762","700.897","1","0"
"Milton Keynes,  United Kingdom","Milton Keynes"," United Kingdom","Milton Keynes, South East England, England, MK9 3AF, United Kingdom","52.0429797","-0.7589607","215.036","796.111","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","234.578","897.93","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","240.089","926.644","1","0"
"Orléans,  France","Orléans"," France","Orléans, Loiret, Centre-Loire Valley, Metropolitan France, France","47.9027336","1.9086066","381.327","1669.96","1","0"
"Dwingeloo,  Netherlands","Dwingeloo"," Netherlands","Dwingeloo, Westerveld, Drenthe, Netherlands","52.8333065","6.3669419","384.792","1688.104","1","0"
"Bordeaux,  France","Bordeaux"," France","Bordeaux, New Aquitaine, Metropolitan France, France","44.841225","-0.5800364","444.656","2063.508","1","0"
"Hertfordshire,  United Kingdom","Hertfordshire"," United Kingdom","Hertfordshire, East of England, England, United Kingdom","51.840052299999996","-0.09785519224523963","468.9","1794.529","2","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","525.457","2751.257","1","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","552.407","2934.567","1","0"
"Poznań,  Poland","Poznań"," Poland","Poznań, Poznań County, Greater Poland Voivodeship, Poland","52.4006632","16.91973259178088","582.309","3104.728","1","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","603.458","3225.083","1","0"
"Ventspils,  Latvia","Ventspils"," Latvia","Ventspils, Courland, Latvia","57.3903918","21.5635991","669.589","3601.408","1","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","681.81","3670.955","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","1093.308","5803.657","2","0"
"Nijmegen,  Netherlands","Nijmegen"," Netherlands","Nijmegen, Gelderland, Netherlands","51.8474946","5.8637771","1524.77","6677.026","4","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","2042.085","11178.221","2","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","2523.551","15431.359","1","0"
