location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Avignon, France",Avignon,France,"Avignon, France",43.948247761,4.8049588373,0,0,0,0
"Barcelona,  Spain",Barcelona, Spain,"Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",41.3828939,2.1774322,21.36,714.396,0,1
"Marseilles,  France",Marseilles, France,"Marseilles, Marseilles-lès-Aubigny, Bourges, Cher, Centre-Loire Valley, Metropolitan France, 18320, France",47.0706778,3.0029271,22.39,748.833,0,1
"Toulouse,  France",Toulouse, France,"Toulouse, Haute-Garonne, Occitania, Metropolitan France, France",43.6044622,1.4442469,48.902,1635.525,0,3
"Bordeaux,  France",Bordeaux, France,"Bordeaux, Gironde, New Aquitaine, Metropolitan France, France",44.841225,-0.5800364,52.526,1756.71,0,2
"Grenoble,  France",Grenoble, France,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",45.1875602,5.7357819,121.396,4060.073,0,13
"Saclay,  France",Saclay, France,"Saclay, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91400, France",48.7305162,2.172576,279.612,1137.392,1,0
"Leiden,  Germany",Leiden, Germany,"Leiden, Gestratz, Argental (VGem), Landkreis Lindau, Bavaria, 88167, Germany",47.6577604,10.0120264,282.679,1153.453,1,0
"Heidelberg,  Germany",Heidelberg, Germany,"Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724,320.415,1351.032,1,0
"Rennes,  France",Rennes, France,"Rennes, Ille-et-Vilaine, Brittany, Metropolitan France, France",48.1113387,-1.6800198,322.66,1362.789,1,0
"Garching bei München,  Germany",Garching bei München, Germany,"Garching bei München, Landkreis München, Bavaria, 85748, Germany",48.2513878,11.6509662,334.275,1423.6,1,0
"Valladolid,  Spain",Valladolid, Spain,"Valladolid, Castile and León, Spain",41.6521328,-4.728562,374.907,1636.347,1,0
"Delft,  Netherlands",Delft, Netherlands,"Delft, South Holland, Netherlands",51.9994572,4.3627245385,404.538,1791.493,1,0
"Jena,  Germany",Jena, Germany,"Jena, Thuringia, Germany",50.9281717,11.5879359,416.771,1855.539,1,0
"Granada,  Spain",Granada, Spain,"Granada, Comarca de la Vega de Granada, Granada, Andalusia, Spain",37.1734995,-3.5995337,445.226,2068.405,1,0
"Nottingham,  United Kingdom",Nottingham, United Kingdom,"Nottingham, Nottinghamshire, East Midlands, England, United Kingdom",52.9534193,-1.1496461,458.78,2184.808,1,0
"Catania,  Italy",Catania, Italy,"Catania, Sicily, Italy",37.5022355,15.08738,465.908,2246.019,1,0
"Évora,  Portugal",Évora, Portugal,"Évora, Alentejo Region, Portugal",38.5707742,-7.9092808,487.934,2435.186,1,0
"Belfast,  United Kingdom",Belfast, United Kingdom,"Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom",54.5964411,-5.9302761,535.05,2827.373,1,0
"Copenhagen,  Denmark",Copenhagen, Denmark,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark",55.6867243,12.5700724,535.874,2833.915,1,0
"Cergy,  France",Cergy, France,"Cergy, Pontoise, Val-d'Oise, Ile-de-France, Metropolitan France, France",49.0527528,2.0388736,587.422,2422.429,2,0
"Gothenburg,  Sweden",Gothenburg, Sweden,"Gothenburg, Göteborgs Stad, Västra Götaland County, 41106, Sweden",57.7072326,11.9670171,601.942,3216.455,1,0
"Stockholm,  Sweden",Stockholm, Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",59.3251172,18.0710935,715.465,3862.475,1,0
"Bonn,  Germany",Bonn, Germany,"Bonn, North Rhine-Westphalia, Germany",50.735851,7.10066,716.134,3096.35,2,0
"Utrecht,  Netherlands",Utrecht, Netherlands,"Utrecht, Netherlands",52.0949753,5.109708,816.944,3624.177,2,0
"Perugia,  Italy",Perugia, Italy,"Perugia, Umbria, Italy",43.1070321,12.4029962099,896.903,3716.213,3,0
"Leuven,  Belgium",Leuven, Belgium,"Leuven, Flemish Brabant, Flanders, Belgium",50.879202,4.7011675,1070.224,4623.7,3,0
"Madrid,  Spain",Madrid, Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",40.4167047,-3.7035825,1476.582,6424.721,4,0
"Amsterdam,  Netherlands",Amsterdam, Netherlands,"Amsterdam, North Holland, Netherlands",52.3727598,4.8936041,1680.69,7493.403,4,0
"Saint Petersburg,  Russia",Saint Petersburg, Russia,"Saint Petersburg, Northwestern Federal District, 190000, Russia",59.938732,30.316229,1806.742,9855.108,2,0
"Cambridge,  United States",Cambridge, United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,1947.304,11859.771,1,0
"Wellesley,  United States",Wellesley, United States,"Wellesley, Norfolk County, Massachusetts, United States",42.2964859,-71.2925571,1953.008,11895.128,1,0
"Leiden,  Netherlands",Leiden, Netherlands,"Leiden, Zoeterwoude, South Holland, Netherlands",52.1518157,4.4811088666,2054.503,9124.019,5,0
"Ithaca,  United States",Ithaca, United States,"Ithaca, Ithaca Town, Tompkins County, New York, United States",42.4396039,-76.4968019,2069.12,12614.793,1,0
"Alexandria,  United States",Alexandria, United States,"Alexandria, Virginia, United States",38.8051095,-77.0470229,2152.247,13130.011,1,0
"Charlottesville,  United States",Charlottesville, United States,"Charlottesville, Virginia, United States",38.029306,-78.4766781,2201.134,13433.017,1,0
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,2545.548,10388.586,9,0
"Cologne,  Germany",Cologne, Germany,"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974,2559.082,11112.693,7,0
"Thiruvananthapuram,  India",Thiruvananthapuram, India,"Thiruvananthapuram, Kerala, 695001, India",8.5241122,76.9360573,2590.523,15846.456,1,0
"Baton Rouge,  United States",Baton Rouge, United States,"Baton Rouge, East Baton Rouge Parish, Louisiana, United States",30.4459596,-91.18738,2664.941,16307.699,1,0
"Aarhus,  Denmark",Aarhus, Denmark,"Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark",56.1496278,10.2134046,2669.867,14094.159,5,0
