"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","0.0","0.0","0","22"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","15.127","505.919","0","1"
"Zielona Góra,  Poland","Zielona Góra"," Poland","Zielona Góra, Lubusz Voivodeship, 65-067, Poland","51.9383777","15.5050408","22.559","754.486","0","1"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","268.757","1080.56","1","0"
"Lund,  Sweden","Lund"," Sweden","Lund, Lund Municipality, Skåne County, Sweden","55.7029296","13.1929449","306.785","1279.665","1","0"
"Jena,  Germany","Jena"," Germany","Jena, Thuringia, Germany","50.9281717","11.5879359","316.88","1332.522","1","0"
"Innsbruck,  Austria","Innsbruck"," Austria","Innsbruck, Tyrol, Austria","47.2654296","11.3927685","399.716","1766.245","1","0"
"Darmstadt,  Germany","Darmstadt"," Germany","Darmstadt, Hesse, Germany","49.872775","8.651177","406.659","1802.597","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","459.026","2186.919","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","466.151","2248.11","1","0"
"Pisa,  Italy","Pisa"," Italy","Pisa, Tuscany, Italy","43.7159395","10.4018624","490.884","2460.521","1","0"
"L'Aquila,  Italy","L'Aquila"," Italy","L'Aquila, Abruzzo, Italy","42.1368853","13.610341022538911","496.051","2504.895","1","0"
"Annecy,  France","Annecy"," France","Annecy, Upper Savoy, Auvergne-Rhône-Alpes, Metropolitan France, France","45.8992348","6.1288847","504.515","2577.587","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","523.097","2732.532","1","0"
"Nice,  France","Nice"," France","Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France","43.7009358","7.2683912","529.273","2781.539","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","535.829","2833.554","1","0"
"Sheffield,  United Kingdom","Sheffield"," United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","53.3806626","-1.4702278","567.403","3019.903","1","0"
"Izmir,  Turkey","Izmir"," Turkey","Izmir, Konak, Izmir, Aegean Region, 35180, Turkey","38.4147331","27.1434119","601.906","3216.251","1","0"
"Cardiff,  United Kingdom","Cardiff"," United Kingdom","Cardiff, Wales, CF, United Kingdom","51.4816546","-3.1791934","618.517","3310.777","1","0"
"Santiago de Compostela,  Spain","Santiago de Compostela"," Spain","Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain","42.8804219","-8.5458608","890.235","4853.704","1","0"
"Nijmegen,  Netherlands","Nijmegen"," Netherlands","Nijmegen, Gelderland, Netherlands","51.8474946","5.8637771","890.702","4138.951","2","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","1021.9","5265.7","2","0"
"Portsmouth,  United Kingdom","Portsmouth"," United Kingdom","Portsmouth, South East England, England, United Kingdom","50.8036831","-1.075614","1149.017","6120.677","2","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","1935.446","11786.278","1","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","2315.041","14139.011","1","0"
"Evanston,  United States","Evanston"," United States","Evanston, Evanston Township, Cook County, Illinois, United States","42.0447388","-87.6930459","2453.785","14998.953","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","2572.94","15737.477","1","0"
"Ulsan,  South Korea","Ulsan"," South Korea","Ulsan, South Korea","35.5391697","129.3119136","2630.338","16093.228","1","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","2704.274","16551.486","1","0"
"Gainesville,  United States","Gainesville"," United States","Gainesville, Alachua County, Florida, United States","29.6519684","-82.3249846","2704.579","16553.374","1","0"
"Pullman,  United States","Pullman"," United States","Pullman, Whitman County, Washington, United States","46.7304268","-117.173895","2716.56","16627.632","1","0"
"Edinburg,  United States","Edinburg"," United States","Edinburg, Hidalgo County, Texas, United States","26.3013982","-98.1624501","3092.981","18960.698","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","6278.085","38492.377","2","0"
