"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","0.0","0.0","0","14"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","14.434","482.73","0","1"
"Aarhus,  Denmark","Aarhus"," Denmark","Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark","56.1496278","10.2134046","27.26","911.707","0","1"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","28.231","944.176","0","1"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","56.153","1878.041","0","4"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","268.757","1080.56","1","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","379.602","1660.928","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","387.349","1701.493","1","0"
"Sofia,  Bulgaria","Sofia"," Bulgaria","Sofia, Sofia City, Sofia-City, Bulgaria","42.6978634","23.3221789","512.454","2645.765","1","0"
"Tübingen,  Germany","Tübingen"," Germany","Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany","48.5236164","9.0535531","518.841","2063.348","2","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","554.96","2949.095","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4979937","19.0403594","653.877","2770.375","2","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","1230.267","7184.739","1","0"
"Catania,  Italy","Catania"," Italy","Catania, Sicily, Italy","37.5022355","15.08738","1864.799","9984.956","3","0"
"Hanover,  United States","Hanover"," United States","Hanover, Grafton County, New Hampshire, United States","43.703622","-72.288666","1983.028","12081.193","1","0"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","2053.641","12518.852","1","0"
"Evanston,  United States","Evanston"," United States","Evanston, Evanston Township, Cook County, Illinois, United States","42.0447388","-87.6930459","2312.528","14123.441","1","0"
"Bloomington,  United States","Bloomington"," United States","Bloomington, Monroe County, Indiana, United States","39.1670396","-86.5342881","2368.462","14470.117","1","0"
"Exeter,  United Kingdom","Exeter"," United Kingdom","Exeter, Devon, South West England, England, United Kingdom","50.725562","-3.5269108","2371.3","11588.754","5","0"
"Natal,  Brazil","Natal"," Brazil","Natal, Região Geográfica Imediata de Natal, Região Geográfica Intermediária de Natal, Rio Grande do Norte, Northeast Region, Brazil","-5.805398","-35.2080905","2584.96","15811.975","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, United States","40.0149856","-105.270545","2663.182","16296.8","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","2965.802","18172.444","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","3032.127","18583.525","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","4178.477","25478.972","2","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","5974.679","36402.21","3","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","6667.341","40904.993","2","0"
