location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Firenze,  Italy",Firenze, Italy,"Osservatorio astrofisico di Arcetri, Via Guglielmo Righini, Pian dei Giullari, Quartiere 3, Florence, Metropolitan City of Florence, Tuscany, 50125, Italy",43.75018505,11.2541735579,0,0,0,12
"Bologna,  Italy",Bologna, Italy,"Bologna, Emilia-Romagna, Italy",44.4937577,11.3430308,9.663,323.179,0,2
"Rome,  Italy",Rome, Italy,"Rome, Roma Capitale, Lazio, Italy",41.8933203,12.4829321,13.839,462.835,0,1
"Pisa,  Italy",Pisa, Italy,"Pisa, Tuscany, Italy",43.7159395,10.4018624,16.467,550.741,0,4
"Nice,  France",Nice, France,"Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France",43.7009358,7.2683912,19.16,640.805,0,1
"Ljubljana,  Slovenia",Ljubljana, Slovenia,"Ljubljana, Upravna Enota Ljubljana, 1000, Slovenia",46.0499803,14.5068602,21.544,720.539,0,1
"Triest,  Italy",Triest, Italy,"Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy",45.6504806,13.7931263,34.647,1158.773,0,2
"Padua,  Italy",Padua, Italy,"Padua, Padova, Veneto, Italy",45.4077172,11.8734455,56.384,1885.768,0,5
"Garching bei München,  Germany",Garching bei München, Germany,"Garching bei München, Landkreis München, Bavaria, 85748, Germany",48.2513878,11.6509662,119.422,3994.042,0,4
"Tübingen,  Germany",Tübingen, Germany,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany",48.5236164,9.0535531,274.411,1110.164,1,0
"Catania,  Italy",Catania, Italy,"Catania, Sicily, Italy",37.5022355,15.08738,355.762,1536.106,1,0
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,400.991,1772.917,1,0
"Uccle - Ukkel,  Belgium",Uccle - Ukkel, Belgium,"Uccle - Ukkel, Brussels-Capital, 1180, Belgium",50.8035441,4.3338445,421.227,1878.873,1,0
"Bordeaux,  France",Bordeaux, France,"Bordeaux, Gironde, New Aquitaine, Metropolitan France, France",44.841225,-0.5800364,424.669,1896.893,1,0
"Noordwijk,  Netherlands",Noordwijk, Netherlands,"Noordwijk, South Holland, Netherlands",52.2410856,4.4461969,453.198,2136.868,1,0
