"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","0.0","0.0","0","23"
"Delaware,  United States","Delaware"," United States","Delaware, Ohio, United States","40.2317686","-82.9651045","1.801","60.241","0","1"
"Athens,  United States","Athens"," United States","Athens, Athens County, Ohio, 45701, United States","39.3289242","-82.1012479","18.721","626.137","0","3"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","62.472","2089.359","0","4"
"University of Notre Dame du Lac,  United States","University of Notre Dame du Lac"," United States","University of Notre Dame du Lac, Warrick Street, Maple Lane, Saint Joseph County, Indiana, 46556, United States","41.704567749999995","-86.23822026017265","190.528","668.42","1","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","233.043","889.935","1","0"
"Oak Ridge,  United States","Oak Ridge"," United States","Oak Ridge, Anderson County, Tennessee, United States","36.0103562","-84.2696449","236.23","906.541","1","0"
"Rochester,  United States","Rochester"," United States","Rochester, Monroe, New York, United States","43.157285","-77.615214","280.733","1143.264","1","0"
"Clemson,  United States","Clemson"," United States","Clemson, Pickens County, South Carolina, 29631, United States","34.6850749","-82.8364111","286.595","1173.953","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","304.521","1267.814","1","0"
"Huntsville,  United States","Huntsville"," United States","Huntsville, Madison County, Alabama, United States","34.729847","-86.5859011","315.398","1324.766","1","0"
"Milwaukee,  United States","Milwaukee"," United States","Milwaukee, Milwaukee County, Wisconsin, United States","43.0349931","-87.922497","532.301","2133.823","2","0"
"East Lansing,  United States","East Lansing"," United States","East Lansing, Ingham County, Michigan, United States","42.7320307","-84.4721678","758.045","2652.484","4","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","967.399","5287.522","1","0"
"Phoenix,  United States","Phoenix"," United States","Phoenix, Maricopa County, Arizona, United States","33.4484367","-112.0741417","979.507","5355.594","1","0"
"Lafayette,  United States","Lafayette"," United States","Lafayette, Tippecanoe County, Indiana, United States","40.4167022","-86.8752869","1140.265","3995.384","6","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","1152.334","6327.243","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","1161.146","4428.467","5","0"
"Santa Barbara,  United States","Santa Barbara"," United States","Santa Barbara, Santa Barbara County, California, United States","34.4221319","-119.7026673","1195.519","6570.032","1","0"
"Minneapolis,  United States","Minneapolis"," United States","Minneapolis, Hennepin County, Minnesota, United States","44.9772995","-93.2654692","1757.095","8069.134","4","0"
"Belgrade,  Serbia","Belgrade"," Serbia","Belgrade, Stari Grad Urban Municipality, City of Belgrade, Central Serbia, 11000, Serbia","44.8178131","20.4568974","2580.026","15781.398","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","3658.216","20251.569","3","0"
