"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","0.0","0.0","0","11"
"Goleta,  United States","Goleta"," United States","Goleta, Santa Barbara County, California, United States","34.4358295","-119.8276389","9.443","315.821","0","1"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","244.32","948.692","1","0"
"Serena,  United States","Serena"," United States","Serena, LaSalle County, Illinois, 60549, United States","41.4864628","-88.7312291","985.417","5388.824","1","0"
"Batavia,  United States","Batavia"," United States","Batavia, Kane County, Illinois, 60510, United States","41.8500284","-88.3125738","999.713","5469.198","1","0"
"Evanston,  United States","Evanston"," United States","Evanston, Evanston Township, Cook County, Illinois, United States","42.0447388","-87.6930459","1018.865","5576.867","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","1019.925","5582.83","1","0"
"Country Inn & Suites by Radisson,  United States","Country Inn & Suites by Radisson"," United States","Country Inn & Suites by Radisson, Nashville, 210, Rudy Circle, Nashville, Davidson County, Tennessee, 37214, United States","36.2206081","-86.69563733154433","1042.498","5709.736","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","1153.452","6145.913","2","0"
"Lofts Oasis of Gainsville,  United States","Lofts Oasis of Gainsville"," United States","Lofts Oasis of Gainsville, Gainesville, Alachua County, Florida, United States","29.61941755","-82.36011793561752","1223.125","6797.094","1","0"
"Rochester,  United States","Rochester"," United States","Rochester, Monroe, New York, United States","43.157285","-77.615214","1234.544","7241.319","1","0"
"Ottawa,  Canada","Ottawa"," Canada","Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","45.4211435","-75.6900574","1259.815","7575.625","1","0"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","1270.056","7662.178","1","0"
"New Brunswick,  United States","New Brunswick"," United States","New Brunswick, Middlesex County, New Jersey, United States","40.4862174","-74.4518173","1288.164","7774.412","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","1319.83","5603.986","4","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","1373.843","8305.452","1","0"
"Bogota,  Colombia","Bogota"," Colombia","Bogota, Bogota Capital District, Bogotá Distrito Capital, Región Andina, 11001, Colombia","4.6533326","-74.083652","1839.912","11194.155","1","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","2701.887","16536.693","1","0"
"Liverpool,  United Kingdom","Liverpool"," United Kingdom","Liverpool, North West England, England, United Kingdom","53.4071991","-2.99168","2762.733","16913.814","1","0"
"La Serena,  Chile","La Serena"," Chile","La Serena, Provincia de Elqui, Coquimbo Region, Chile","-29.902631","-71.2520253","2827.247","17313.674","1","0"
"Southampton,  United Kingdom","Southampton"," United Kingdom","Southampton, South East England, England, United Kingdom","50.9025349","-1.404189","2847.473","17439.035","1","0"
"Cordoba,  Argentina","Cordoba"," Argentina","Cordoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina","-31.4173391","-64.183319","3009.768","18444.944","1","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","3018.677","18500.162","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","3050.138","18695.157","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","3127.148","19172.466","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","3139.042","19246.189","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","3182.329","19514.482","1","0"
"Autonomous City of Buenos Aires,  Argentina","Autonomous City of Buenos Aires"," Argentina","Autonomous City of Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina","-34.6075682","-58.4370894","3212.152","19699.321","1","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","3226.117","19785.877","1","0"
"Rio de Janeiro,  Brazil","Rio de Janeiro"," Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","-22.9110137","-43.2093727","3305.028","20274.972","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","3317.198","20350.403","1","0"
"Auckland,  New Zealand","Auckland"," New Zealand","Auckland, Waitematā, Auckland, 1010, New Zealand","-36.852095","174.7631803","3425.447","21021.328","1","0"
"Tel Aviv-Yafo,  Israel","Tel Aviv-Yafo"," Israel","Tel Aviv-Yafo, Tel Aviv Subdistrict, Tel Aviv District, Israel","32.0852997","34.7818064","3946.179","24248.834","1","0"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","4545.884","27965.819","1","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","5210.868","32087.399","1","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","5876.677","36004.445","2","0"
