"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Saint Petersburg,  Russia","Saint Petersburg"," Russia","Saint Petersburg, Northwestern Federal District, 190000, Russia","59.938732","30.316229","0.0","0.0","0","13"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","326.227","1381.462","1","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","593.184","3166.612","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","658.233","3536.788","1","0"
"Yekaterinburg,  Russia","Yekaterinburg"," Russia","Yekaterinburg, Yekaterinburg Municipality, Sverdlovsk Oblast, Ural Federal District, 620151, Russia","56.839104","60.60825","663.102","3564.495","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","671.697","3613.407","1","0"
"Florence,  Italy","Florence"," Italy","Florence, Metropolitan City of Florence, Tuscany, Italy","43.7698712","11.2555757","812.277","4413.398","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","821.159","4463.941","1","0"
"Armagh,  United Kingdom","Armagh"," United Kingdom","Armagh, County Armagh, Northern Ireland, BT61 7DJ, United Kingdom","54.3481977","-6.6540432","838.691","4563.713","1","0"
"Byurakan,  Armenia","Byurakan"," Armenia","Byurakan, Ashtarak region, Aragatsotn Province, Armenia","40.338002","44.2714773","875.108","4768.655","1","0"
"Irkutsk,  Russia","Irkutsk"," Russia","Irkutsk, городской округ Иркутск, Irkutsk Oblast, Siberian Federal District, Russia","52.289597","104.280586","1458.49","8830.096","1","0"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","1703.428","9274.269","2","0"
"Exeter,  United Kingdom","Exeter"," United Kingdom","Exeter, Devon, South West England, England, United Kingdom","50.725562","-3.5269108","1717.834","9355.26","2","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","1760.048","9388.85","3","0"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","1857.818","11305.138","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","2133.459","8884.185","7","0"
"Sofia,  Bulgaria","Sofia"," Bulgaria","Sofia, Sofia City, Sofia-City, Bulgaria","42.6978634","23.3221789","2192.68","11850.811","3","0"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","2250.088","12177.504","3","0"
"Tehran,  Iran","Tehran"," Iran","Tehran, بخش مرکزی شهرستان تهران, Tehran County, Iran","35.6892523","51.3896004","2253.401","12366.255","2","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","2255.803","13771.856","1","0"
"Carlisle,  United States","Carlisle"," United States","Carlisle, Cumberland County, Pennsylvania, 17013, United States","40.201499","-77.1890783","2318.288","14159.137","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","2323.496","12760.334","2","0"
"Crimea,  Ukraine","Crimea"," Ukraine","Crimea, Moskovskaya Street, Yalta, 298600, Ukraine","44.4974557","34.1705001","3881.568","20834.716","6","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","13428.656","82602.091","3","0"
