"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","0.0","0.0","0","68"
"University of Notre Dame du Lac,  United States","University of Notre Dame du Lac"," United States","University of Notre Dame du Lac, Douglas Road, Notre Dame, Saint Joseph County, Indiana, 46556, United States","41.704567749999995","-86.23822026017265","6.966","232.971","0","1"
"Lemont,  United States","Lemont"," United States","Lemont, Lemont Township, Cook County, Illinois, 60439-4329, United States","41.6737149","-88.0016263","13.814","461.991","0","6"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, United States","43.074761","-89.3837613","23.497","785.848","0","2"
"Batavia,  United States","Batavia"," United States","Batavia, Batavia Township, Kane County, Illinois, United States","41.8500284","-88.3125738","81.889","2738.775","0","24"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, 61801-9998, United States","40.1117174","-88.207301","84.615","2829.934","0","7"
"Louisville,  United States","Louisville"," United States","Louisville, Jefferson County, Kentucky, 40202-2923, United States","38.2542376","-85.759407","228.369","865.582","1","0"
"Cleveland,  United States","Cleveland"," United States","Cleveland, Cuyahoga County, Ohio, 44113, United States","41.4996562","-81.6936813","251.137","988.301","1","0"
"Nashville,  United States","Nashville"," United States","Nashville, Davidson County, Tennessee, United States","36.1622767","-86.7742984","306.661","1279.02","1","0"
"Dalton,  United States","Dalton"," United States","Dalton, Whitfield County, Georgia, 30720, United States","34.7691867","-84.9702475","376.864","1646.592","1","0"
"Rochester,  United States","Rochester"," United States","Rochester, Monroe County, New York, United States","43.157285","-77.615214","380.232","1664.228","1","0"
"Ithaca,  United States","Ithaca"," United States","Ithaca, Ithaca Town, Tompkins County, New York, 14850, United States","42.4396039","-76.4968019","413.314","1837.439","1","0"
"University of Maryland,  United States","University of Maryland"," United States","University of Maryland, College Park, Baltimore Avenue, Old Town, College Park, Prince George's County, Maryland, 20742, United States","38.99203005","-76.94610290199051","427.518","1916.328","1","0"
"Durham,  United States","Durham"," United States","Durham, Durham County, North Carolina, 27701, United States","35.996653","-78.9018053","436.632","1994.596","1","0"
"Swarthmore,  United States","Swarthmore"," United States","Swarthmore, Delaware County, Pennsylvania, 19081, United States","39.90193485","-75.35023625565486","449.808","2107.752","1","0"
"Columbus,  United States","Columbus"," United States","Columbus, Franklin County, Ohio, United States","39.9622601","-83.0007065","464.458","1771.387","2","0"
"Dallas,  United States","Dallas"," United States","Dallas, Dallas County, Texas, United States","32.7762719","-96.7968559","505.978","2590.144","1","0"
"Providence,  United States","Providence"," United States","Providence, Providence County, Rhode Island, United States","41.8239891","-71.4128343","516.678","2681.595","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, 80306, United States","40.0149856","-105.270545","561.708","2987.495","1","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","569.474","3031.688","1","0"
"Albuquerque,  United States","Albuquerque"," United States","Albuquerque, Bernalillo County, New Mexico, 87102, United States","35.0841034","-106.650985","674.606","3629.962","1","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","753.857","3293.862","2","0"
"Raleigh,  United States","Raleigh"," United States","Raleigh, Wake County, North Carolina, United States","35.7803977","-78.6390989","888.971","4124.083","2","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","941.704","3950.783","3","0"
"Stony Brook,  United States","Stony Brook"," United States","Stony Brook, Suffolk County, New York, United States","40.9087015","-73.13960360056436","973.089","4846.502","2","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","995.052","5442.992","1","0"
"Hanover,  United States","Hanover"," United States","Hanover, Grafton County, New Hampshire, United States","43.703622","-72.288666","998.376","5063.672","2","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, 92101, United States","32.7174202","-117.1627728","1018.387","5574.179","1","0"
"Altadena,  United States","Altadena"," United States","Altadena, Los Angeles County, California, 91001, United States","34.1863161","-118.1352329","1018.963","5577.418","1","0"
"Torrance,  United States","Torrance"," United States","Torrance, Los Angeles County, California, 90503, United States","33.8358492","-118.3406288","1031.29","5646.721","1","0"
"Ann Arbor,  United States","Ann Arbor"," United States","Ann Arbor, Washtenaw County, Michigan, United States","42.2681569","-83.7312291","1306.986","4539.762","7","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","1320.295","5606.419","4","0"
"New Brunswick,  United States","New Brunswick"," United States","New Brunswick, Middlesex County, New Jersey, 08901, United States","40.4862174","-74.4518173","1390.062","6672.265","3","0"
"Waltham,  United States","Waltham"," United States","Waltham, Middlesex County, Massachusetts, United States","42.3756401","-71.2358004","1557.469","8103.784","3","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, 85701, United States","32.2228765","-110.9748477","1706.686","9292.584","2","0"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","1812.071","8541.279","4","0"
"Lancaster,  United Kingdom","Lancaster"," United Kingdom","Lancaster, Lancashire, North West England, England, United Kingdom","54.0484068","-2.7990345","1991.637","12134.551","1","0"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","2010.872","12253.768","1","0"
"Nottingham,  United Kingdom","Nottingham"," United Kingdom","Nottingham, Nottinghamshire, East Midlands, England, United Kingdom","52.9534193","-1.1496461","2040.264","12435.942","1","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","2057.393","12542.105","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.2055314","0.1186637","2077.047","12663.921","1","0"
"Davis,  United States","Davis"," United States","Davis, Yolo County, California, 95616, United States","38.545379","-121.744583","2118.274","11606.56","2","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","2162.115","13191.175","1","0"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","2172.655","11912.295","2","0"
"Orléans,  France","Orléans"," France","Orléans, Loiret, Centre-Loire Valley, Metropolitan France, France","47.9027336","1.9086066","2188.173","13352.682","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","2203.695","13448.891","1","0"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","2226.543","13590.501","1","0"
"Clermont-Ferrand,  France","Clermont-Ferrand"," France","Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7774551","3.0819427","2252.633","13752.205","1","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","2259.227","13793.078","1","0"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","2308.335","14097.447","1","0"
"Lausanne,  Switzerland","Lausanne"," Switzerland","Lausanne, District de Lausanne, Vaud, Switzerland","46.5218269","6.6327025","2311.931","14119.737","1","0"
"Szczecin,  Poland","Szczecin"," Poland","Szczecin, West Pomeranian Voivodeship, Poland","53.4301818","14.5509623","2320.658","14173.828","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","2363.121","14437.016","1","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","2390.492","14606.657","1","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","2450.57","14979.026","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","2457.359","15021.101","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, I. kerület, Central Hungary, Hungary","47.4979937","19.0403594","2532.685","15487.977","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, Los Angeles County, California, United States","34.1476452","-118.1444779","3059.776","16748.49","3","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, Los Angeles County, California, United States","34.0536909","-118.242766","3073.447","16825.351","3","0"
"Nishinomiya,  Japan","Nishinomiya"," Japan","Nishinomiya, Hyogo Prefecture, 662-8567, Japan","34.7386033","135.3394138","3401.752","20874.47","1","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","3425.323","21020.558","1","0"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.34833555","-74.6684230570877","3679.788","17560.45","8","0"
"Shanghai,  China","Shanghai"," China","Shanghai, Huangpu District, Shanghai, 200001, China","31.2322758","121.4692071","3698.564","22714.116","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","3766.066","18301.415","8","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, 21203, United States","39.2908816","-76.610759","3878.043","17507.837","9","0"
"Taoyuan City,  Taiwan","Taoyuan City"," Taiwan","Taoyuan City, Taiwan","24.9929995","121.3010003","3908.168","24013.242","1","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","3913.614","23837.347","2","0"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, 92614, United States","33.6856969","-117.8259819","4076.274","22312.05","4","0"
"Southampton,  United Kingdom","Southampton"," United Kingdom","Southampton, South East England, England, SO14 2BY, United Kingdom","50.9025349","-1.404189","4136.671","25219.855","2","0"
