"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","0.0","0.0","0","2"
"Siena,  Italy","Siena"," Italy","Siena, Tuscany, Italy","43.1672254","11.467181161339118","9.825","328.584","0","1"
"Florence,  Italy","Florence"," Italy","Florence, Metropolitan City of Florence, Tuscany, Italy","43.7698712","11.2555757","13.839","462.835","0","1"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","25.762","861.604","0","1"
"L'Aquila,  Italy","L'Aquila"," Italy","L'Aquila, Abruzzo, Italy","42.1368853","13.610341022538911","81.206","2715.919","0","14"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","328.506","1393.395","1","0"
"Montpellier,  France","Montpellier"," France","Montpellier, Hérault, Occitania, Metropolitan France, France","43.6112422","3.8767337","340.392","1455.627","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","400.739","1771.6","1","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","413.984","1840.951","1","0"
"Wuppertal,  Germany","Wuppertal"," Germany","Wuppertal, North Rhine-Westphalia, Germany","51.264018","7.1780374","464.587","2234.681","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","476.664","2338.393","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","522.278","2726.03","1","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","575.775","3067.543","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","787.455","3143.156","3","0"
"Trondheim,  Norway","Trondheim"," Norway","Trondheim, Trøndelag, Norway","63.4305658","10.3951929","880.209","4797.337","1","0"
"Aachen,  Germany","Aachen"," Germany","Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany","50.776351","6.083862","922.113","4408.711","2","0"
"Zeuthen,  Germany","Zeuthen"," Germany","Zeuthen, Dahme-Spreewald, Brandenburg, 15738, Germany","52.3508259","13.6293881","951.845","4664.055","2","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","1385.395","6632.182","3","0"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, Belgium","50.8465573","4.351697","1432.426","7036.089","3","0"
"Durham,  United States","Durham"," United States","Durham, Strafford County, New Hampshire, 03824, United States","43.134564","-70.927048","2141.547","13063.695","1","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","2256.968","13779.076","1","0"
"Newark,  United States","Newark"," United States","Newark, New Castle County, Delaware, United States","39.6852191","-75.7508289","2317.172","14152.218","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","2617.048","14259.443","3","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","2655.806","16251.081","1","0"
"Huntsville,  United States","Huntsville"," United States","Huntsville, Madison County, Alabama, United States","34.729847","-86.5859011","2671.12","16345.995","1","0"
"Melbourne,  United States","Melbourne"," United States","Melbourne, Brevard County, Florida, United States","28.106471","-80.6371513","2682.147","16414.341","1","0"
"Salt Lake City,  United States","Salt Lake City"," United States","Salt Lake City, Salt Lake County, Utah, United States","40.7596198","-111.8867975","3020.66","18512.455","1","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","3215.22","19718.337","1","0"
"Stanford,  United States","Stanford"," United States","Stanford, Palo Alto, Santa Clara County, California, United States","37.426540700000004","-122.17029258409187","3282.934","20138.03","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","3317.198","20350.403","1","0"
"Manly,  Australia","Manly"," Australia","Manly, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2095, Australia","-33.7971937","151.2879845","5301.697","32650.358","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","7621.983","46612.232","3","0"
