"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Catania,  Italy","Catania"," Italy","Catania, Sicily, Italy","37.5022355","15.08738","0.0","0.0","0","8"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","780.961","4235.189","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","980.378","4909.098","2","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","1342.023","6259.704","3","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","1530.351","6706.245","4","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","2599.249","15900.539","1","0"
"Calgary,  Canada","Calgary"," Canada","Calgary, Alberta, Canada","51.0460954","-114.065465","2935.845","17986.766","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","3019.106","18502.822","1","0"
"Kaleden,  Canada","Kaleden"," Canada","Kaleden, Area I (Skaha West/Kaleden/Apex), Regional District of Okanagan-Similkameen, British Columbia, V0H 1K0, Canada","49.3932656","-119.5988914","3059.071","18750.527","1","0"
"Socorro,  United States","Socorro"," United States","Socorro, Socorro County, New Mexico, United States","34.0572858","-106.8930799","3277.834","20106.422","1","0"
"Epping, Australia","Epping","Australia","Epping, Sydney, City of Parramatta Council, New South Wales, 2121, Australia","-33.7719","151.0745","5213.585","32104.24","1","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","5086.247","31314.999","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","10437.102","64270.037","2","0"
