"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","0.0","0.0","0","14"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","14.202","474.987","0","1"
"Dwingeloo,  Netherlands","Dwingeloo"," Netherlands","Dwingeloo, Westerveld, Drenthe, Netherlands","52.8333065","6.3669419","14.27","477.243","0","1"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","16.655","557.037","0","1"
"Bielefeld,  Germany","Bielefeld"," Germany","Bielefeld, North Rhine-Westphalia, Germany","52.0191005","8.531007","62.367","2085.85","0","6"
"South Croydon,  United Kingdom","South Croydon"," United Kingdom","South Croydon, Blunt Road, Croydon, London Borough of Croydon, England, CR2 7PA, United Kingdom","51.3629173","-0.0933556","256.229","1014.962","1","0"
"Gothenburg,  Sweden","Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, 41106, Sweden","57.7072326","11.9670171","381.996","1673.462","1","0"
"Pushchino,  Russia","Pushchino"," Russia","Pushchino, Moscow Oblast, Central Federal District, Russia","54.8347213","37.6139685","769.252","4168.558","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","770.152","4173.681","1","0"
"Manchester,  United Kingdom","Manchester"," United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","53.4794892","-2.2451148","996.976","4240.182","3","0"
"Mississauga,  Canada","Mississauga"," Canada","Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada","43.5896231","-79.6443879","2041.512","12443.674","1","0"
"Morgantown,  United States","Morgantown"," United States","Morgantown, Monongalia County, West Virginia, United States","39.6296809","-79.9559437","2141.627","13064.191","1","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","2704.366","16552.058","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","2990.238","18323.894","1","0"
"La Jolla,  United States","La Jolla"," United States","La Jolla, San Diego, San Diego County, California, 92037, United States","32.83259","-117.2716839","3016.751","18488.224","1","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","3018.534","18499.278","1","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","4454.562","27190.152","2","0"
"Varanasi,  India","Varanasi"," India","Varanasi, Sadar, Varanasi, Uttar Pradesh, 221007, India","25.3356491","83.0076292","4511.634","27543.881","2","0"
"Oberlin,  United States","Oberlin"," United States","Oberlin, Lorain County, Ohio, 44074, United States","41.2939386","-82.2173786","6441.176","39293.569","3","0"
"Beijing,  China","Beijing"," China","Beijing, Dongcheng District, Beijing, 100010, China","39.906217","116.3912757","7673.886","46933.924","3","0"
"Hawthorn,  Australia","Hawthorn"," Australia","Hawthorn, Melbourne, City of Boroondara, Victoria, 3122, Australia","-37.8286805","145.03443346506867","10672.129","65726.741","2","0"
"Manly,  Australia","Manly"," Australia","Manly, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2095, Australia","-33.7971937","151.2879845","10760.241","66272.86","2","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","26453.277","161232.404","13","0"
