"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","0.0","0.0","0","16"
"Achi,  Japan","Achi"," Japan","Achi, Shimoina District, Nagano Prefecture, Japan","35.4441022","137.747532","10.998","367.818","0","1"
"Hyōgo,  Japan","Hyōgo"," Japan","Hyōgo, National Highway Route 2, Matsubaradori 5-chome, Hyogo Ward, Kobe, Hyogo Prefecture, 652ー0809, Japan","34.6678618","135.1641163","25.87","865.202","0","1"
"Wakayama,  Japan","Wakayama"," Japan","Wakayama, Wakayama Prefecture, 640-8511, Japan","34.234617","135.1782181","26.755","894.833","0","1"
"Kyoto,  Japan","Kyoto"," Japan","Kyoto, Kyoto Prefecture, Japan","35.021041","135.7556075","44.308","1481.881","0","2"
"Sapporo,  Japan","Sapporo"," Japan","Sapporo, Ishikari Subprefecture, Hokkaido Prefecture, Japan","43.061936","141.3542924","380.129","1663.69","1","0"
"Kyushu,  Japan","Kyushu"," Japan","Kyushu, Japan","32.4820755","131.10090516153372","395.77","1745.582","1","0"
"Bundang-gu,  South Korea","Bundang-gu"," South Korea","Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea","37.3825999","127.1188","470.843","2288.402","1","0"
"Busan,  South Korea","Busan"," South Korea","Busan, South Korea","35.1799528","129.0752365","860.156","3876.622","2","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","927.936","4458.724","2","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","1054.333","5776.27","1","0"
"Mandaluyong,  Philippines","Mandaluyong"," Philippines","Mandaluyong, Eastern Manila District, Metro Manila, Philippines","14.5776485","121.0337001","1093.423","5996.038","1","0"
"Bangkok,  Thailand","Bangkok"," Thailand","Bangkok, Phra Borom Maha Ratchawang Subdistrict, Phra Nakhon District, Bangkok, 10200, Thailand","13.7544238","100.4930399","1521.155","9218.496","1","0"
"Beijing,  China","Beijing"," China","Beijing, Dongcheng District, Beijing, 100010, China","39.906217","116.3912757","1549.411","8399.18","2","0"
"Kuala Lumpur,  Malaysia","Kuala Lumpur"," Malaysia","Kuala Lumpur, Malaysia","3.1516964","101.6942371","1752.036","10649.495","1","0"
"Petaling Jaya,  Malaysia","Petaling Jaya"," Malaysia","Petaling Jaya, Petaling, Selangor, Malaysia","3.0991752","101.6450232","1754.616","10665.49","1","0"
"Nilai,  Malaysia","Nilai"," Malaysia","Nilai, Jalan Terminal Nilai, Kampung Momo, Nilai, Seremban, Negeri Sembilan, 71800, Malaysia","2.8022628","101.7995057","1758.766","10691.209","1","0"
"Dahlan,  Indonesia","Dahlan"," Indonesia","Dahlan, 85, Jalan Ekonomi, Dsn. Tolo Nggeru, West Nusa Tenggara, Indonesia","-8.48181725","118.54905185689495","1773.228","10780.846","1","0"
"New Delhi,  India","New Delhi"," India","New Delhi, Delhi, India","28.6138954","77.2090057","1919.442","11687.081","1","0"
"Hawaii,  United States","Hawaii"," United States","Hawaii, United States","19.58726775","-155.42688965312746","2135.96","13029.064","1","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","2187.342","13347.535","1","0"
"Manila,  Philippines","Manila"," Philippines","Manila, Capital District, Metro Manila, Philippines","14.5907332","120.9809674","2188.324","12000.386","2","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","2671.093","16345.83","1","0"
"San Jose,  United States","San Jose"," United States","San Jose, Santa Clara County, California, 95113, United States","37.3361905","-121.890583","2722.419","16663.95","1","0"
"Johannisburg,  Germany","Johannisburg"," Germany","Johannisburg, Bülow, Königsfeld, Rehna, Nordwestmecklenburg, Mecklenburg-Vorpommern, 19217, Germany","53.7822114","11.0370071","2911.128","17833.574","1","0"
"National Library of the Czech Republic,  Czechia","National Library of the Czech Republic"," Czechia","National Library of the Czech Republic, 190, Révové nádvoří, Old Town, Prague, 11000, Czechia","50.0864234","14.4156772","2962.063","18149.266","1","0"
"Tempe,  United States","Tempe"," United States","Tempe, Maricopa County, Arizona, United States","33.4255056","-111.9400091","3039.719","18630.578","1","0"
"St. Cloud,  United States","St. Cloud"," United States","St. Cloud, Stearns County, Minnesota, United States","45.5616075","-94.1642004","3095.175","18974.299","1","0"
"Tirana,  Albania","Tirana"," Albania","Tirana, Tirana Municipally, Tirana County, Central Albania, 1001-1028, Albania","41.3279485","19.8185512","3096.9","18984.988","1","0"
