"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","0.0","0.0","0","24"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","6.653","222.516","0","1"
"New Brunswick,  United States","New Brunswick"," United States","New Brunswick, Middlesex County, New Jersey, United States","40.4862174","-74.4518173","8.125","271.728","0","3"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","12.275","410.533","0","3"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","16.29","544.83","0","1"
"Milwaukee,  United States","Milwaukee"," United States","Milwaukee, Milwaukee County, Wisconsin, United States","43.0349931","-87.922497","479.025","2358.669","1","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, United States","40.1117174","-88.207301","484.508","2405.759","1","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","545.334","2202.06","2","0"
"Tampa,  United States","Tampa"," United States","Tampa, Hillsborough County, Florida, United States","27.9477595","-82.458444","604.598","3231.567","1","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","715.725","2431.983","4","0"
"Los Alamos,  United States","Los Alamos"," United States","Los Alamos, Los Alamos County, New Mexico, United States","35.893533500000004","-106.28970107056452","1041.084","5701.788","1","0"
"Gainesville,  United States","Gainesville"," United States","Gainesville, Alachua County, Florida, United States","29.6519684","-82.3249846","1087.075","5768.188","2","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","1294.624","7814.449","1","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","1303.782","7871.21","1","0"
"Coventry,  United Kingdom","Coventry"," United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4081812","-1.510477","1792.363","10899.447","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","2046.167","12472.529","1","0"
"Ilmenau,  Germany","Ilmenau"," Germany","Ilmenau, Ilm-Kreis, Thuringia, Germany","50.6867695","10.9142385","2072.81","12637.663","1","0"
"Rio de Janeiro,  Brazil","Rio de Janeiro"," Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","-22.9110137","-43.2093727","2537.184","15515.859","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","3834.792","23348.803","2","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","4112.225","25277.989","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","4184.902","25518.795","2","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","4559.273","23358.323","9","0"
"Canberra,  Australia","Canberra"," Australia","Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","-35.2975906","149.1012676","5270.64","32457.87","1","0"
"Jerusalem,  Israel","Jerusalem"," Israel","Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel","31.79592425","35.21198075969497","5983.469","36666.342","2","0"
