"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Tempe,  United States","Tempe"," United States","Tempe, Maricopa County, Arizona, United States","33.4255056","-111.9400091","0.0","0.0","0","17"
"Mountain View,  United States","Mountain View"," United States","Mountain View, Santa Clara County, California, United States","37.3893889","-122.0832101","441.616","2037.402","1","0"
"Edinburg,  United States","Edinburg"," United States","Edinburg, Hidalgo County, Texas, United States","26.3013982","-98.1624501","579.602","3089.321","1","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","605.984","3239.454","1","0"
"Guanajuato,  Mexico","Guanajuato"," Mexico","Guanajuato, Mexico","20.9876996","-101.0","652.945","3506.694","1","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","899.25","4212.363","2","0"
"Brookhaven,  United States","Brookhaven"," United States","Brookhaven, DeKalb County, Georgia, United States","33.8584368","-84.340203","933.227","5095.404","1","0"
"Dayton,  United States","Dayton"," United States","Dayton, Montgomery County, Ohio, United States","39.7589478","-84.1916069","938.973","5127.711","1","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","1068.261","5854.576","1","0"
"Charlottesville,  United States","Charlottesville"," United States","Charlottesville, Virginia, United States","38.029306","-78.4766781","1110.832","6093.915","1","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","1134.026","4631.136","4","0"
"Lancaster,  United States","Lancaster"," United States","Lancaster, Lancaster County, Pennsylvania, United States","40.03813","-76.3056686","1178.347","6473.486","1","0"
"Ithaca,  United States","Ithaca"," United States","Ithaca, Ithaca Town, Tompkins County, New York, United States","42.4396039","-76.4968019","1179.212","6478.35","1","0"
"Socorro,  United States","Socorro"," United States","Socorro, Socorro County, New Mexico, United States","34.0572858","-106.8930799","1216.847","4718.689","5","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","1243.534","7360.24","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, United States","40.0149856","-105.270545","1267.652","5657.406","3","0"
"Albuquerque,  United States","Albuquerque"," United States","Albuquerque, Bernalillo County, New Mexico, United States","35.0841034","-106.650985","1304.715","5198.221","5","0"
"Anchorage,  United States","Anchorage"," United States","Anchorage, Alaska, 99501-2118, United States","61.2163129","-149.894852","1357.915","8206.727","1","0"
"San Juan,  United States","San Juan"," United States","San Juan, Puerto Rico, United States","18.465299","-66.116666","1592.356","9659.796","1","0"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","2440.25","14101.143","2","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","2488.225","14735.8","2","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","2834.21","17356.835","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","2835.99","17367.862","1","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","2843.511","17414.478","1","0"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","2895.744","17738.223","1","0"
"Bielefeld,  Germany","Bielefeld"," Germany","Bielefeld, North Rhine-Westphalia, Germany","52.0191005","8.531007","2904.111","17790.078","1","0"
"Constantine,  Algeria","Constantine"," Algeria","Constantine, Constantine District, Constantine, Algeria","36.364519","6.60826","3251.942","19945.945","1","0"
"Bucaramanga,  Colombia","Bucaramanga"," Colombia","Bucaramanga, Metropolitana, Santander, Colombia","7.1114611","-73.1172869","3260.032","19786.43","2","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","3311.428","18163.297","3","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","3348.41","18009.691","5","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","3525.564","21641.858","1","0"
"Wellington,  New Zealand","Wellington"," New Zealand","Wellington, Wellington City, Wellington, 6011, New Zealand","-41.2887953","174.7772114","3641.646","22361.337","1","0"
"Uyo,  Nigeria","Uyo"," Nigeria","Uyo, Akwa Ibom, Nigeria","5.0322447","7.924791","4032.713","24785.177","1","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","4085.531","25112.539","1","0"
"Kensington,  Australia","Kensington"," Australia","Kensington, Sydney, Randwick City Council, New South Wales, 2033, Australia","-33.9117191","151.2195058","4086.34","25117.554","1","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","4087.004","25121.669","1","0"
"Waterloo,  Canada","Waterloo"," Canada","Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, Canada","43.4652699","-80.5222961","4281.406","23465.32","4","0"
"Providence,  United States","Providence"," United States","Providence, Providence County, Rhode Island, United States","41.8239891","-71.4128343","4957.751","29224.219","4","0"
"Bentley,  Australia","Bentley"," Australia","Bentley, City Of Canning, Western Australia, 6102, Australia","-32.0088562","115.9139727","5059.794","31151.04","1","0"
"Crawley,  Australia","Crawley"," Australia","Crawley, City of Perth, Western Australia, Australia","-31.9786452","115.8172143","5062.345","31166.852","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","5776.479","31719.465","5","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","6207.027","35129.851","5","0"
"Cracow,  Poland","Cracow"," Poland","Cracow, 18, Main Square, Old Town, Stare Miasto, Old Town, Krakow, Lesser Poland Voivodeship, 31-005, Poland","50.0606742","19.9371393","6260.037","38380.52","2","0"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","6282.059","38517.009","2","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","6823.501","41872.875","2","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","8275.744","50664.254","3","0"
"Dwingeloo,  Netherlands","Dwingeloo"," Netherlands","Dwingeloo, Westerveld, Drenthe, Netherlands","52.8333065","6.3669419","8548.268","52353.363","3","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","9235.887","56824.885","2","0"
"Kumamoto Prefecture,  Japan","Kumamoto Prefecture"," Japan","Kumamoto Prefecture, Japan","32.6450475","130.6341345","9953.032","61060.11","3","0"
"Durban,  South Africa","Durban"," South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","-29.861825","31.009909","10718.757","66015.742","2","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","12927.342","79494.941","3","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","75912.421","467361.756","15","0"
