"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","0.0","0.0","0","3"
"Newark,  United States","Newark"," United States","Newark, New Castle County, Delaware, United States","39.6852191","-75.7508289","11.189","374.228","0","1"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","15.487","517.961","0","2"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","179.763","612.331","1","0"
"Fairfax,  United States","Fairfax"," United States","Fairfax, Fairfax (city), Virginia, United States","38.8462236","-77.3063733","196.637","700.247","1","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","255.736","1012.38","1","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","265.968","1065.956","1","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","536.794","1823.987","3","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","560.831","1949.229","3","0"
"Starkville,  United States","Starkville"," United States","Starkville, Oktibbeha County, Mississippi, United States","33.4503998","-88.8183872","577.655","3078.243","1","0"
"Northfield,  United States","Northfield"," United States","Northfield, Rice County, Minnesota, United States","44.4582041","-93.161159","605.509","3236.753","1","0"
"Austin,  United States","Austin"," United States","Austin, Travis County, Texas, United States","30.2711286","-97.7436995","891.856","4862.814","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","941.517","4575.354","2","0"
"Flagstaff,  United States","Flagstaff"," United States","Flagstaff, Coconino County, Arizona, United States","35.1987522","-111.6518229","1211.835","6661.76","1","0"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, 92101, United States","32.7174202","-117.1627728","1294.624","7814.449","1","0"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","1762.41","10713.796","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","2012.002","12260.773","1","0"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","2039.984","12434.205","1","0"
"Lund,  Sweden","Lund"," Sweden","Lund, Lund Municipality, Skåne County, Sweden","55.7029296","13.1929449","2041.828","12445.631","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, 85701, United States","32.2228765","-110.9748477","2449.988","13640.983","2","0"
"Manoa,  United States","Manoa"," United States","Manoa, Honolulu, Honolulu County, Hawaii, 96848, United States","21.3093848","-157.8118169","2608.132","15955.596","1","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","3533.945","21693.804","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","3834.792","23348.803","2","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","4092.334","24945.057","2","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","11697.68","70615.558","9","0"
