"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","0.0","0.0","0","52"
"Bern,  Switzerland","Bern"," Switzerland","Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland","46.9482713","7.4514512","232.786","7785.492","0","30"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","405.218","13552.433","0","60"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","415.473","13895.408","0","31"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","481.724","2381.852","1","0"
"Sofia,  Bulgaria","Sofia"," Bulgaria","Sofia, Sofia City, Sofia-City, Bulgaria","42.6978634","23.3221789","535.314","2829.466","1","0"
"Oslo,  Norway","Oslo"," Norway","Oslo, 0026, Norway","59.9133301","10.7389701","582.995","3108.633","1","0"
"Liège,  Belgium","Liège"," Belgium","Liège, Wallonia, 4000, Belgium","50.6451381","5.5734203","593.078","19835.398","0","20"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","725.144","24252.293","0","30"
"Bratislava,  Slovakia","Bratislava"," Slovakia","Bratislava, Region of Bratislava, Slovakia","48.1516988","17.1093063","778.458","3422.671","2","0"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","786.613","26308.115","0","40"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","804.051","26891.321","0","30"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","942.293","4582.026","2","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","1108.058","37058.802","0","40"
"Bucharest,  Romania","Bucharest"," Romania","Bucharest, Romania","44.4361414","26.1027202","1175.892","6273.613","2","0"
"Vilnius,  Lithuania","Vilnius"," Lithuania","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","54.6870458","25.2829111","1228.061","6570.489","2","0"
"Athens,  Greece","Athens"," Greece","Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece","37.9839412","23.7283052","1274.516","6834.849","2","0"
"Dakar,  Senegal","Dakar"," Senegal","Dakar, 2084, Senegal","14.693425","-17.447938","1368.37","8271.528","1","0"
"Belgrade,  Serbia","Belgrade"," Serbia","Belgrade, City of Belgrade, Central Serbia, 11000, Serbia","44.8178131","20.4568974","1398.492","6744.66","3","0"
"Tallinn,  Estonia","Tallinn"," Estonia","Tallinn, Harju maakond, Estonia","59.4372155","24.7453688","1421.134","7669.2","2","0"
"Ankara,  Turkey","Ankara"," Turkey","Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey","39.9207893","32.8540412","1666.82","9067.313","2","0"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","2200.176","13427.075","1","0"
"Graz,  Austria","Graz"," Austria","Graz, Styria, Austria","47.0708678","15.4382786","2349.897","10017.427","7","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","2575.625","86141.311","0","105"
"Gaborone,  Botswana","Gaborone"," Botswana","Gaborone, South-East District, 09267, Botswana","-24.6581357","25.9088474","2656.435","16254.978","1","0"
"Colombo,  Sri Lanka","Colombo"," Sri Lanka","Colombo, Main Street, Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka","6.9387469","79.8541134","2679.794","16399.759","1","0"
"Mbabane,  Eswatini","Mbabane"," Eswatini","Mbabane, Inkhundla Mbabane, Hhohho, H100, Eswatini","-26.325745","31.144663","2760.317","16898.842","1","0"
"Bogota,  Colombia","Bogota"," Colombia","Bogota, Bogota Capital District, 11001, Colombia","4.6533326","-74.083652","2900.189","17765.773","1","0"
"Nijmegen,  Netherlands","Nijmegen"," Netherlands","Nijmegen, Gelderland, Netherlands","51.8474946","5.8637771","3023.089","12562.313","10","0"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","3057.233","15724.373","6","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","3107.615","19051.402","1","0"
"Dubai,  United Arab Emirates","Dubai"," United Arab Emirates","Dubai, 39205, United Arab Emirates","25.2653471","55.2924914","3236.064","19637.875","2","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","3242.249","15558.066","7","0"
"Kyiv,  Ukraine","Kyiv"," Ukraine","Kyiv, 1001, Ukraine","50.4500336","30.5241361","3441.386","18538.785","5","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","3496.15","17738.594","7","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","3914.193","17818.297","9","0"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","3950.928","21020.433","7","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","4206.018","17449.502","14","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","4431.051","19280.988","12","0"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, Belgium","50.8465573","4.351697","4522.136","18124.793","17","0"
"Recife,  Brazil","Recife"," Brazil","Recife, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Northeast Region, Brazil","-8.0584933","-34.8848193","4763.206","29103.128","2","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","5232.618","22498.03","15","0"
"Vancouver,  Canada","Vancouver"," Canada","Vancouver, District of North Vancouver, British Columbia, Canada","49.2608724","-123.1139529","5440.343","33300.041","2","0"
"Granada,  Spain","Granada"," Spain","Granada, Comarca de la Vega de Granada, Granada, Andalusia, Spain","37.183054","-3.6021928","5544.341","28307.698","11","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","5812.396","35396.378","3","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","6291.17","38363.824","3","0"
"Turku,  Finland","Turku"," Finland","Turku, Turun seutukunta, Southwest Finland, South-Western Finland, Mainland Finland, Finland","60.4517531","22.2670522","6343.751","34219.181","9","0"
"Helsinki,  Finland","Helsinki"," Finland","Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.1674881","24.9427473","6594.468","35645.925","9","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","6704.947","28247.24","21","0"
"San Juan,  United States","San Juan"," United States","San Juan, Puerto Rico, United States","18.465299","-66.116666","7057.441","43113.188","3","0"
"Buenos Aires,  Uruguay","Buenos Aires"," Uruguay","Buenos Aires, Maldonado, 20000, Uruguay","-34.890092","-54.7943708","7091.766","43535.59","2","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","7188.894","30454.504","22","0"
"Oulu,  Finland","Oulu"," Finland","Oulu, Oulun seutukunta, North Ostrobothnia, Regional State Administrative Agency for Northern Finland, Mainland Finland, Finland","65.0118734","25.4716809","7912.957","43125.845","9","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","7975.495","40410.484","16","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","8354.063","51149.678","3","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","9009.847","39335.552","24","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","9163.501","39813.447","25","0"
"Macau,  China","Macau"," China","Macau, China","22.1757605","113.5514142","9290.918","56956.316","3","0"
"Saint Petersburg,  Russia","Saint Petersburg"," Russia","Saint Petersburg, Northwestern Federal District, 190000, Russia","59.938732","30.316229","9716.361","52784.567","12","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","9855.173","41801.849","30","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","10430.81","44815.814","30","0"
"Johannesburg,  South Africa","Johannesburg"," South Africa","Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","-26.205","28.049722","10911.362","66790.21","4","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","11064.762","51144.218","25","0"
"Naples,  Italy","Naples"," Italy","Naples, Napoli, Campania, Italy","40.8359336","14.2487826","11200.529","49499.213","28","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","11904.823","52533.567","30","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","12491.728","76585.342","4","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","12753.678","78208.916","4","0"
"Jerusalem,  Israel","Jerusalem"," Israel","Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel","31.79592425","35.21198075969497","12929.745","70876.796","12","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","13019.823","69702.511","21","0"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","14051.281","58872.839","45","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","14192.421","77370.598","16","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","15264.816","93772.995","4","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","16339.082","100640.964","3","0"
"Brasília,  Brazil","Brasília"," Brazil","Brasília, Plano Piloto, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Federal District, Central-West Region, 70.701-010, Brazil","-15.7934036","-47.8823172","17161.038","105106.504","6","0"
"Sjanghai,  China","Sjanghai"," China","Sjanghai, Huangpu District, Shanghai, 200001, China","31.2322758","121.4692071","18080.897","110807.808","6","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","18141.152","111600.572","4","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","24129.939","147670.919","9","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","24533.704","150383.116","8","0"
"Kyoto,  Japan","Kyoto"," Japan","Kyoto, Kyoto Prefecture, Japan","35.021041","135.7556075","28389.63","174072.563","9","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","35220.79","215783.256","12","0"
"Sendai,  Japan","Sendai"," Japan","Sendai, Miyagi Prefecture, Japan","38.2677554","140.8691498","40691.354","249480.26","13","0"
"Osaka Prefecture,  Japan","Osaka Prefecture"," Japan","Osaka Prefecture, Japan","34.6198813","135.490357","47435.777","290863.008","15","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","47921.585","293874.055","15","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","73766.666","449240.32","38","0"
"Atlanta,  United States","Atlanta"," United States","Atlanta, Fulton County, Georgia, United States","33.7489924","-84.3902644","80089.755","489479.203","33","0"
"Albuquerque,  United States","Albuquerque"," United States","Albuquerque, Bernalillo County, New Mexico, United States","35.0841034","-106.650985","85763.22","525272.396","30","0"
"Austin,  United States","Austin"," United States","Austin, Travis County, Texas, United States","30.2711286","-97.7436995","126286.258","773290.127","45","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8950368","-77.0365427","171659.67","1047177.511","80","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","182358.437","1113698.314","79","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","220733.287","1351336.667","80","0"
"San Francisco,  United States","San Francisco"," United States","San Francisco, California, United States","37.7790262","-122.419906","336030.228","2059659.596","110","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, Los Angeles County, California, United States","34.0536909","-118.242766","371742.636","2278909.22","120","0"
