"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","0.0","0.0","0","9"
"Aveiro,  Portugal","Aveiro"," Portugal","Aveiro, Centro, Portugal","40.640496","-8.6537841","3.391","113.417","0","1"
"Vigo,  Spain","Vigo"," Spain","Vigo, Pontevedra, Galicia, 36202, Spain","42.2376602","-8.7247205","7.258","242.745","0","1"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Portugal","38.7077507","-9.1365919","16.456","550.361","0","1"
"Coimbra,  Portugal","Coimbra"," Portugal","Coimbra, Centro, Portugal","40.2111931","-8.4294632","18.917","632.665","0","3"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","494.314","2489.974","1","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","508.297","2610.061","1","0"
"Hertfordshire,  United Kingdom","Hertfordshire"," United Kingdom","Hertfordshire, East of England, England, United Kingdom","51.840052299999996","-0.09785519224523963","519.884","2707.033","1","0"
"City of Edinburgh,  United Kingdom","City of Edinburgh"," United Kingdom","City of Edinburgh, Scotland, United Kingdom","55.9533456","-3.1883749","631.567","3385.041","1","0"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","694.304","3742.055","1","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","779.604","4227.468","1","0"
"Kongens Lyngby,  Denmark","Kongens Lyngby"," Denmark","Kongens Lyngby, Lyngby-Taarbæk Municipality, Capital Region of Denmark, 2800, Denmark","55.7718649","12.5051413","821.735","4467.218","1","0"
"Skopje,  North Macedonia","Skopje"," North Macedonia","Skopje, Municipality of Centar, City of Skopje, Skopje Region, North Macedonia","41.9960924","21.4316495","912.006","4976.098","1","0"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","1019.078","5241.458","2","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","1061.105","5583.376","2","0"
"Ankara,  Turkey","Ankara"," Turkey","Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey","39.9207893","32.8540412","1235.086","6946.849","1","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","1537.718","8332.639","2","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","1587.02","8338.268","3","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","1848.651","11248.316","1","0"
"Tel Aviv-Yafo,  Israel","Tel Aviv-Yafo"," Israel","Tel Aviv-Yafo, Tel Aviv Subdistrict, Tel Aviv District, Israel","32.0852997","34.7818064","2622.17","15832.951","2","0"
