location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Melbourne,  Australia",Melbourne, Australia,"Melbourne, City of Melbourne, Victoria, Australia",-37.8142176,144.9631608,0,0,0,18
"Adelaide,  Australia",Adelaide, Australia,"Adelaide, Adelaide City Council, South Australia, Australia",-34.9281805,138.5999312,312.066,1307.318,1,0
"Canberra,  Australia",Canberra, Australia,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",-35.2975906,149.1012676,480.325,1854.06,2,0
"Sydney,  Australia",Sydney, Australia,"Sydney, New South Wales, Australia",-33.8548157,151.2164539,2683.874,11439.47,8,0
"Hefei City,  China",Hefei City, China,"Hefei City, Anhui, China",31.8228094,117.2218033,2699.323,16520.801,1,0
"Santiago,  Chile",Santiago, Chile,"Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile",-33.4377756,-70.6504502,3673.079,22556.155,1,0
"College Station,  United States",College Station, United States,"College Station, Brazos County, Texas, United States",30.5955289,-96.3071042,4687.992,28846.605,1,0
"Shanghai,  China",Shanghai, China,"Shanghai, Huangpu District, Shanghai, 200001, China",31.2322758,121.4692071,5266.468,32222.357,2,0
"Ürümqi County,  China",Ürümqi County, China,"Ürümqi County, Ürümqi, Xinjiang, 830000, China",43.419754,87.319461,6997.263,42949.858,2,0
"Perth,  Australia",Perth, Australia,"Perth, City of Perth, Western Australia, 6000, Australia",-31.9527121,115.8604796,9950.368,54429.05,10,0
"Nanjing,  China",Nanjing, China,"Nanjing, Nanjing City, Jiangsu, 210008, China",32.0609736,118.7916458,37652.447,230435.407,14,0
"Beijing,  China",Beijing, China,"Beijing, Dongcheng District, Beijing, 100010, China",39.906217,116.3912757,65486.568,401274.567,22,0
