"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Brisbane City,  Australia","Brisbane City"," Australia","Brisbane City, Queensland, Australia","-27.4689682","153.0234991","0.0","0.0","0","25"
"Bathurst,  Australia","Bathurst"," Australia","Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia","-33.4166378","149.5804943","344.664","1478.0","1","0"
"Hobart,  Australia","Hobart"," Australia","Hobart, City of Hobart, Tasmania, Australia","-42.8825088","147.3281233","1331.111","7156.91","2","0"
"Waimea,  United States","Waimea"," United States","Waimea, Kauaʻi County, Hawaii, United States","21.96365","-159.67413843779505","2449.543","14972.66","1","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","2482.036","15174.053","1","0"
"Wuhan,  China","Wuhan"," China","Wuhan, Jiang'an District, Hubei, China","30.5951051","114.2999353","2503.63","15307.888","1","0"
"Adelaide,  Australia","Adelaide"," Australia","Adelaide, Adelaide City Council, South Australia, Australia","-34.9281805","138.5999312","4793.928","25608.661","8","0"
"Waterloo,  Canada","Waterloo"," Canada","Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, Canada","43.4652699","-80.5222961","4857.023","29894.265","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","5232.212","32219.692","1","0"
"Pisa,  Italy","Pisa"," Italy","Pisa, Tuscany, Italy","43.7159395","10.4018624","5269.985","32453.809","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","5366.474","33051.848","1","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","8739.178","53746.274","2","0"
"Canberra,  Australia","Canberra"," Australia","Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","-35.2975906","149.1012676","10598.495","47326.901","25","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","23564.784","100845.477","69","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","34135.595","178680.004","65","0"
"Perth,  Australia","Perth"," Australia","Perth, City of Perth, Western Australia, 6000, Australia","-31.9527121","115.8604796","35737.337","209145.731","29","0"
