"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","45.7578137","4.8320114","0.0","0.0","0","0"
"Tunis City,  Tunisia","Tunis City"," Tunisia","Tunis City, RL 470 طم, النحلي, معتمدية قلعة الأندلس, Ariana, 2094, Tunisia","36.900302999999994","10.123000613722084","455.62","2157.667","1","0"
"Bucharest,  Romania","Bucharest"," Romania","Bucharest, Romania","44.4361414","26.1027202","624.039","3342.202","1","0"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","923.371","30881.983","0","46"
"Reykjavik,  Iceland","Reykjavik"," Iceland","Reykjavik, Capital Region, 101, Iceland","64.145981","-21.9422367","960.672","5249.702","1","0"
"Zagreb,  Croatia","Zagreb"," Croatia","Zagreb, City of Zagreb, 10106, Croatia","45.8131847","15.9771774","1176.701","5181.202","3","0"
"Baku,  Azerbaijan","Baku"," Azerbaijan","Baku, Baku City, Baku, Azerbaijan","40.3754434","49.8326748","1239.723","7309.832","1","0"
"Ljubljana,  Slovenia","Ljubljana"," Slovenia","Ljubljana, Upravna Enota Ljubljana, Slovenia","46.0499803","14.5068602","1393.708","5990.798","4","0"
"Nur-Sultan,  Kazakhstan","Nur-Sultan"," Kazakhstan","Nur-Sultan, Kazakhstan","51.1282205","71.4306682","1575.79","9557.121","1","0"
"Old Muscat,  Oman","Old Muscat"," Oman","Old Muscat, Muscat, 940, Oman","23.61515","58.5912467","1767.771","10747.024","1","0"
"Kabul,  Afghanistan","Kabul"," Afghanistan","Kabul, Kabul Province, 10013, Afghanistan","34.5260109","69.1776838","1795.15","10916.719","1","0"
"Oslo,  Norway","Oslo"," Norway","Oslo, 0026, Norway","59.9133301","10.7389701","1820.029","9730.185","3","0"
"Belgrade,  Serbia","Belgrade"," Serbia","Belgrade, Stari Grad Urban Municipality, City of Belgrade, Central Serbia, 11000, Serbia","44.8178131","20.4568974","1958.489","9798.73","4","0"
"Bratislava,  Slovakia","Bratislava"," Slovakia","Bratislava, District of Bratislava I, Region of Bratislava, Bratislava, Slovakia","48.1516988","17.1093063","2148.932","9679.027","5","0"
"San Juan,  United States","San Juan"," United States","San Juan, Puerto Rico, 00901, United States","18.465299","-66.116666","2319.789","14168.444","1","0"
"Maputo,  Mozambique","Maputo"," Mozambique","Maputo, Cidade de Maputo, 1999, Mozambique","-25.966213","32.56745","2761.61","16906.857","1","0"
"Bogota,  Colombia","Bogota"," Colombia","Bogota, Bogota Capital District - Municipality, 11001, Colombia","4.6533326","-74.083652","2866.315","17555.818","1","0"
"Vilnius,  Lithuania","Vilnius"," Lithuania","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","54.6870458","25.2829111","3260.895","17511.671","5","0"
"Lima,  Peru","Lima"," Peru","Lima, Province of Lima, Lima Metropolitan Area, Lima, LIMA 15046, Peru","-12.0621065","-77.0365256","3372.525","20693.318","1","0"
"Yerevan,  Armenia","Yerevan"," Armenia","Yerevan, 0010, Armenia","40.1776245","44.5126174","3552.45","19518.34","3","0"
"Vienna,  Austria","Vienna"," Austria","Vienna, Austria","48.2083537","16.3725042","3709.908","16485.035","9","0"
"Jakarta Special Capital Region,  Indonesia","Jakarta Special Capital Region"," Indonesia","Jakarta Special Capital Region, Indonesia","-6.1753942","106.827183","3721.694","22857.471","1","0"
"Kampala,  Uganda","Kampala"," Uganda","Kampala, Central Region, Uganda","0.3177137","32.5813539","3769.147","22941.935","2","0"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","3910.971","17211.155","10","0"
"Athens,  Greece","Athens"," Greece","Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10431, Greece","37.9839412","23.7283052","3976.344","21374.055","6","0"
"Sofia,  Bulgaria","Sofia"," Bulgaria","Sofia, Sofia City, Sofia-City, Bulgaria","42.6978634","23.3221789","4534.752","24133.779","8","0"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, County Dublin, Leinster, Ireland","53.3497645","-6.2602732","4746.557","23211.483","10","0"
"Tehran,  Iran","Tehran"," Iran","Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran","35.6892523","51.3896004","5322.097","32147.841","4","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","5950.437","32189.954","8","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, I. kerület, Central Hungary, Hungary","47.4979937","19.0403594","6909.845","33013.807","15","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","7149.911","239127.458","0","305"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","7850.739","39339.067","16","0"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Portugal","38.7077507","-9.1365919","7931.158","41660.05","15","0"
"Ukraine,  Ukraine","Ukraine"," Ukraine","Ukraine, 4, Heroiv Nebesnoi Sotni Alley, Бегічевська Гора, Pecherskyi district, Kyiv, 01001, Ukraine","50.4485578","30.52716228586082","8008.223","43273.132","11","0"
"Abu Dhabi,  United Arab Emirates","Abu Dhabi"," United Arab Emirates","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","24.4538352","54.3774014","8219.928","49898.996","5","0"
"Helsinki,  Finland","Helsinki"," Finland","Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland","60.1674881","24.9427473","8429.684","45671.526","11","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","8780.556","53793.088","3","0"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, 1000, Belgium","50.8465573","4.351697","9763.123","39686.78","35","0"
"Jerusalem,  Israel","Jerusalem"," Israel","Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel","31.79592425","35.21198075969497","9942.691","54537.151","9","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","9993.834","52354.407","19","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, 11008, Taiwan","25.0375198","121.5636796","12897.417","79099.81","4","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","14845.502","90964.428","5","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, 06060, Mexico","19.4326296","-99.1331785","15496.841","95001.436","5","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, 01001-000, Brazil","-23.5506507","-46.6333824","18191.631","111494.14","6","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","18220.922","97837.236","28","0"
"Winnipeg,  Canada","Winnipeg"," Canada","Winnipeg, Manitoba, Canada","49.8955367","-97.1384584","18340.831","111999.58","8","0"
"New Delhi,  India","New Delhi"," India","New Delhi, Delhi, India","28.6138954","77.2090057","23301.459","142116.682","11","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","28716.868","156759.136","31","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","29159.518","129485.586","71","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","29184.89","125045.727","85","0"
"Beijing,  China","Beijing"," China","Beijing, Dongcheng District, Beijing, 100010, China","39.906217","116.3912757","32593.699","199500.502","12","0"
