"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bengaluru,  India","Bengaluru"," India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","12.9791198","77.5912997","0.0","0.0","0","7"
"Chennai,  India","Chennai"," India","Chennai, Chennai District, Tamil Nadu, India","13.0836939","80.270186","17.368","580.878","0","1"
"Maharashtra,  India","Maharashtra"," India","Maharashtra, India","18.9068356","75.6741579","326.037","1380.471","1","0"
"Bhubaneswar,  India","Bhubaneswar"," India","Bhubaneswar, Master Canteen Chowk, Ward 41, South East Zone, Bhubaneswar Municipal Corporation, Bhubaneswar (M.Corp.), Khordha, Odisha, 751006, India","20.2667774","85.8435592","482.703","2390.263","1","0"
"Varanasi,  India","Varanasi"," India","Varanasi, Sadar, Varanasi, Uttar Pradesh, 221007, India","25.3356491","83.0076292","559.17","2973.055","1","0"
"Kanpur,  India","Kanpur"," India","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India","26.4609135","80.3217588","573.022","3051.878","1","0"
"Shantiniketan,  India","Shantiniketan"," India","Shantiniketan, Bolpur, Bolpur Sriniketan, Birbhum, West Bengal, 731235, India","23.682708","87.6880296","597.692","3192.27","1","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","685.934","2938.226","2","0"
"Siliguri,  India","Siliguri"," India","Siliguri, Matigara, Darjeeling, West Bengal, India","26.7164127","88.4309916","704.451","3799.795","1","0"
"Ahmedabad,  India","Ahmedabad"," India","Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India","23.0216238","72.5797068","984.29","4942.697","2","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","1079.443","5917.443","1","0"
"Kolkata,  India","Kolkata"," India","Kolkata, Howrah, Thakurpukur Maheshtala, Howrah, West Bengal, 711101, India","22.5414185","88.35769124388872","1168.298","6230.398","2","0"
"Beersheba,  Israel","Beersheba"," Israel","Beersheba, Beersheba Subdistrict, South District, Israel","31.2457442","34.7925181","1587.42","9629.203","1","0"
"New Delhi,  India","New Delhi"," India","New Delhi, Delhi, India","28.6138954","77.2090057","1943.666","10433.762","3","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","2377.732","14527.572","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","2414.037","14752.594","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","2566.319","15696.439","1","0"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","2694.614","11822.321","7","0"
"New York,  United States","New York"," United States","New York, United States","40.7127281","-74.0060152","4347.173","26734.202","1","0"
"Durban,  South Africa","Durban"," South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","-29.861825","31.009909","4519.028","27589.709","2","0"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","4554.521","27809.701","2","0"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","4718.189","29033.766","1","0"
"Stanford,  United States","Stanford"," United States","Stanford, Palo Alto, Santa Clara County, California, United States","37.426540700000004","-122.17029258409187","9129.936","56168.204","2","0"
