location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Saas Fee, Switzerland",Saas-Fee,Switzerland,"Saas-Fee, Switzerland",46.1095011323039,7.92955183103418,0,0,0,0
"Turin,  Italy",Turin, Italy,"Turin, Torino, Piemont, Italy",45.0677551,7.6824892,7.004,234.247,0,1
"Zurich,  Switzerland",Zurich, Switzerland,"Zurich, District Zurich, Zurich, Switzerland",47.3744489,8.5410422,17.763,594.065,0,2
"Munich,  Germany",Munich, Germany,"Munich, Bavaria, Germany",48.1371079,11.5753822,21.327,713.261,0,1
"Geneva,  Switzerland",Geneva, Switzerland,"Geneva, Grand Genève, Geneva, Switzerland",46.2017559,6.1466014,41.071,1373.601,0,5
"Bordeaux,  France",Bordeaux, France,"Bordeaux, Gironde, New Aquitaine, Metropolitan France, France",44.841225,-0.5800364,321.198,1355.13,1,0
"Barcelona,  Spain",Barcelona, Spain,"Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",41.3828939,2.1774322,329.381,1397.978,1,0
"Leiden,  Netherlands",Leiden, Netherlands,"Leiden, Zoeterwoude, South Holland, Netherlands",52.1518157,4.48110886662043,336.295,1434.178,1,0
"Naples,  Italy",Naples, Italy,"Naples, Napoli, Campania, 80100, Italy",40.8359336,14.2487826,359.051,1553.328,1,0
"London,  United Kingdom",London, United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,383.492,1681.296,1,0
"Cambridge,  United Kingdom",Cambridge, United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.139153737368744,399.177,1763.423,1,0
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,520.728,2073.225,2,0
"Oxford,  United Kingdom",Oxford, United Kingdom,"Oxford, Oxfordshire, South East England, England, United Kingdom",51.7520131,-1.2578499,825.611,3669.557,2,0
"New York,  United States",New York, United States,"New York, United States",40.7127281,-74.0060152,2081.048,12688.723,1,0
"Baltimore,  United States",Baltimore, United States,"Baltimore, Maryland, United States",39.2908816,-76.610759,2168.949,13233.534,1,0
"Lund,  Sweden",Lund, Sweden,"Lund, Lund Municipality, Skåne County, Sweden",55.7029296,13.1929449,2335.711,11283.11,5,0
"Flagstaff,  United States",Flagstaff, United States,"Flagstaff, Coconino County, Arizona, United States",35.1987522,-111.6518229,2983.161,18280.031,1,0
"Santiago,  Chile",Santiago, Chile,"Santiago, Provincia de Santiago, Santiago Metropolitan Region, 8320000, Chile",-33.4377756,-70.6504502,3851.874,23664.329,1,0
"Hyderabad,  India",Hyderabad, India,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, 500 002, India",17.360589,78.4740613,4674.077,28550.709,2,0
"Bengaluru,  India",Bengaluru, India,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",12.9791198,77.5912997,4849.387,29637.281,2,0
"Canberra,  Australia",Canberra, Australia,"Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia",-35.2975906,149.1012676,10760.79,66276.265,2,0
"Wuhan,  China",Wuhan, China,"Wuhan, Hubei, 430021, China",30.5951051,114.2999353,11408.911,69874.022,4,0
