"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","0.0","0.0","0","12"
"Quartier de la Sorbonne,  France","Quartier de la Sorbonne"," France","Quartier de la Sorbonne, 5th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75005, France","48.84912335","2.3453251499821075","0.114","3.817","0","2"
"Student,  France","Student"," France","Student, Rue Jean-Baptiste Clément, La Butte Rouge, Châtenay-Malabry, Antony, Hauts-de-Seine, Ile-de-France, Metropolitan France, 91370, France","48.7628648","2.2719401486282296","0.715","23.897","0","1"
"Palaiseau,  France","Palaiseau"," France","Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91120, France","48.7144587","2.2453842","3.161","105.735","0","3"
"Nijmegen,  Netherlands","Nijmegen"," Netherlands","Nijmegen, Gelderland, Netherlands","51.8474946","5.8637771","24.845","830.928","0","1"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","25.719","860.164","0","1"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","27.833","930.876","0","1"
"Leicester,  United Kingdom","Leicester"," United Kingdom","Leicester, Leicestershire, East Midlands, England, LE1 5YA, United Kingdom","52.6361398","-1.1330789","29.087","972.814","0","1"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","29.182","975.978","0","1"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","57.627","1927.318","0","2"
"Pisa,  Italy","Pisa"," Italy","Pisa, Tuscany, Italy","43.7159395","10.4018624","383.791","1682.86","1","0"
"Palma,  Spain","Palma"," Spain","Palma, Balearic Islands, Spain","39.5695818","2.6500745","444.935","2065.907","1","0"
"Madrid,  Spain","Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","449.576","2105.757","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","461.798","2210.727","1","0"
"L'Aquila,  Italy","L'Aquila"," Italy","L'Aquila, Abruzzo, Italy","42.1368853","13.610341022538911","472.296","2300.88","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","523.097","2732.532","1","0"
"Otwock,  Poland","Otwock"," Poland","Otwock, gmina Wiązowna, Otwock County, Masovian Voivodeship, Poland","52.1161661","21.293454716820303","527.52","2767.622","1","0"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","579.146","3086.73","1","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","829.123","4509.261","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","1139.605","4986.97","3","0"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","1958.868","9801.988","4","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","2023.813","11075.496","2","0"
"Bozeman,  United States","Bozeman"," United States","Bozeman, Gallatin County, Montana, United States","45.6794293","-111.044047","2514.279","15373.893","1","0"
"Portland,  United States","Portland"," United States","Portland, Multnomah County, Oregon, United States","45.5202471","-122.6741949","2695.23","16495.43","1","0"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","2831.702","17341.289","1","0"
"Student Union Lane,  United States","Student Union Lane"," United States","Student Union Lane, El Sereno, Los Angeles, California, 90032, United States","34.0677969","-118.1693421","2963.837","18160.263","1","0"
"Sjanghai,  China","Sjanghai"," China","Sjanghai, Huangpu District, Shanghai, 200001, China","31.2322758","121.4692071","3022.616","18524.575","1","0"
"Busan,  South Korea","Busan"," South Korea","Busan, South Korea","35.1799528","129.0752365","3031.718","18580.989","1","0"
"Thessaloniki,  Greece","Thessaloniki"," Greece","Thessaloniki, Thessaloniki Municipal Unit, Municipality of Thessaloniki, Thessaloniki Regional Unit, Central Macedonia, Macedonia and Thrace, 54626, Greece","40.6403167","22.9352716","3445.246","18560.751","5","0"
