"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Salerno,  Italy","Salerno"," Italy","Salerno, Campania, Italy","40.419441649999996","15.310756230322482","0.0","0.0","0","4"
"San Giorgio del Sannio,  Italy","San Giorgio del Sannio"," Italy","San Giorgio del Sannio, Benevento, Campania, Italy","41.0619659","14.8538405","4.853","162.312","0","1"
"Naples,  Italy","Naples"," Italy","Naples, Napoli, Campania, Italy","40.8359336","14.2487826","12.065","403.519","0","2"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","17.217","575.824","0","1"
"Palermo,  Italy","Palermo"," Italy","Palermo, Sicily, Italy","38.1112268","13.3524434","18.362","614.119","0","1"
"Catania,  Italy","Catania"," Italy","Catania, Sicily, Italy","37.5022355","15.08738","19.432","649.906","0","1"
"Florence,  Italy","Florence"," Italy","Florence, Metropolitan City of Florence, Tuscany, Italy","43.7698712","11.2555757","253.607","1001.236","1","0"
"Graz,  Austria","Graz"," Austria","Graz, Styria, Austria","47.0708678","15.4382786","344.923","1479.353","1","0"
"Nice,  France","Nice"," France","Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France","43.7009358","7.2683912","351.584","1514.231","1","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","422.616","1886.143","1","0"
"Bern,  Switzerland","Bern"," Switzerland","Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland","46.9482713","7.4514512","428.301","1923.045","1","0"
"Brno,  Czechia","Brno"," Czechia","Brno, okres Brno-město, Jihomoravský kraj, Southeast, Czechia","49.1922443","16.6113382","432.797","1961.665","1","0"
"Jena,  Germany","Jena"," Germany","Jena, Thuringia, Germany","50.9281717","11.5879359","484.623","2406.752","1","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","519.777","2706.185","1","0"
"Namur,  Belgium","Namur"," Belgium","Namur, Wallonia, 5000, Belgium","50.4665284","4.8661892","526.538","2759.835","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","528.151","2772.633","1","0"
"Groningen,  Netherlands","Groningen"," Netherlands","Groningen, Netherlands","53.2190652","6.5680077","587.915","3136.631","1","0"
"Lund,  Sweden","Lund"," Sweden","Lund, Lund Municipality, Skåne County, Sweden","55.7029296","13.1929449","636.486","3413.033","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","650.368","3492.026","1","0"
"Leicester,  United Kingdom","Leicester"," United Kingdom","Leicester, Leicestershire, East Midlands, England, LE1 5YA, United Kingdom","52.6361398","-1.1330789","684.402","3685.704","1","0"
"Birmingham,  United Kingdom","Birmingham"," United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","52.4796992","-1.9026911","694.503","3743.185","1","0"
"Beirut,  Lebanon","Beirut"," Lebanon","Beirut, Beirut Governorate, Lebanon","33.8959203","35.47843","712.663","3846.528","1","0"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","721.873","3898.94","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","826.035","3671.778","2","0"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","845.8","3775.264","2","0"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","891.359","4144.596","2","0"
"Göttingen,  Germany","Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","1015.556","5211.217","2","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","1034.589","5372.978","2","0"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","1046.588","4499.942","3","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","1054.79","5533.265","2","0"
"San Cristóbal de La Laguna,  Spain","San Cristóbal de La Laguna"," Spain","San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain","28.4857715","-16.3159422","1153.365","6333.039","1","0"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","1297.999","5881.62","3","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","1329.32","7146.722","2","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","1636.782","7263.505","4","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","1856.66","8088.141","5","0"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","2097.543","8696.129","7","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","2333.246","11261.936","5","0"
"Suzhou City,  China","Suzhou City"," China","Suzhou City, Jiangsu, China","31.3016935","120.5810725","2921.216","17896.098","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","3186.873","17090.442","5","0"
"SOKENDAI,  Japan","SOKENDAI"," Japan","SOKENDAI, Kanda Keisatsu Dōri, 2-chome, Hitotsubashi, Kanda, Chiyoda, Tokyo, 100-0003, Japan","35.6925179","139.7580176","3204.421","19651.408","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","3335.971","20466.753","1","0"
"Brisbane City,  Australia","Brisbane City"," Australia","Brisbane City, Queensland, Australia","-27.4689682","153.0234991","5165.313","31805.048","1","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","7833.115","48130.481","2","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","9614.154","58959.738","3","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","10069.106","61779.539","3","0"
