"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","0.0","0.0","0","1"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","11.853","396.429","0","1"
"Ithaca,  United States","Ithaca"," United States","Ithaca, Ithaca Town, Tompkins County, New York, United States","42.4396039","-76.4968019","12.872","430.507","0","1"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","14.769","493.942","0","1"
"Charlottesville,  United States","Charlottesville"," United States","Charlottesville, Virginia, United States","38.029306","-78.4766781","18.656","623.95","0","1"
"London,  Canada","London"," Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","42.9836747","-81.2496068","22.204","742.61","0","1"
"Greenbelt,  United States","Greenbelt"," United States","Greenbelt, Good Luck Road, New Carrollton, Prince George's County, Maryland, 20706, United States","38.9937333","-76.883065797021","51.891","1735.469","0","4"
"Hanover,  United States","Hanover"," United States","Hanover, Grafton County, New Hampshire, United States","43.703622","-72.288666","276.708","1122.188","1","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","287.199","1177.117","1","0"
"Montreal,  Canada","Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","45.4972159","-73.6103642","301.581","1252.423","1","0"
"Lexington,  United States","Lexington"," United States","Lexington, Fayette County, Kentucky, United States","38.0464066","-84.4970393","309.315","1292.916","1","0"
"Milwaukee,  United States","Milwaukee"," United States","Milwaukee, Milwaukee County, Wisconsin, United States","43.0349931","-87.922497","394.066","1736.663","1","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, United States","40.1117174","-88.207301","397.814","1756.284","1","0"
"Gainesville,  United States","Gainesville"," United States","Gainesville, Alachua County, Florida, United States","29.6519684","-82.3249846","507.854","2606.26","1","0"
"Chapel Hill,  United States","Chapel Hill"," United States","Chapel Hill, Orange County, North Carolina, United States","35.9131542","-79.05578","546.97","2210.627","2","0"
"Memphis,  United States","Memphis"," United States","Memphis, Shelby County, Tennessee, United States","35.1490215","-90.0516285","985.173","4950.28","2","0"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","1238.02","7287.307","1","0"
"Houston,  United States","Houston"," United States","Houston, Harris County, Texas, United States","29.7589382","-95.3676974","1480.135","8004.955","2","0"
"Canary Islands,  Spain","Canary Islands"," Spain","Canary Islands, Spain","28.2935785","-16.621447121144122","1860.857","11323.971","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","1910.531","11631.851","1","0"
"Cantabria,  Spain","Cantabria"," Spain","Cantabria, Spain","43.1595664","-4.0878382","1937.036","11796.129","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","2114.294","12894.781","1","0"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","2262.516","13813.461","1","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","2315.041","14139.011","1","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","2466.098","14443.08","2","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","4043.093","24849.512","1","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","4198.196","25601.192","2","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","5310.391","32704.247","1","0"
"Nagoya,  Japan","Nagoya"," Japan","Nagoya, Aichi Prefecture, Japan","35.1851045","136.8998438","7069.88","43399.94","2","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","15265.817","93988.849","3","0"
