"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Cracow,  Poland","Cracow"," Poland","Cracow, 18, Main Square, Old Town, Stare Miasto, Old Town, Krakow, Lesser Poland Voivodeship, 31-005, Poland","50.0606742","19.9371393","0.0","0.0","0","44"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","17.485","584.771","0","1"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","45.333","1516.164","0","3"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","366.623","1592.972","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","371.951","1620.868","1","0"
"Bonn,  Germany","Bonn"," Germany","Bonn, North Rhine-Westphalia, Germany","50.735851","7.10066","410.67","1823.598","1","0"
"Aachen,  Germany","Aachen"," Germany","Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany","50.776351","6.083862","433.368","1966.566","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","454.547","2148.452","1","0"
"Brussels,  Belgium","Brussels"," Belgium","Brussels, City of Brussels, Brussels-Capital, Belgium","50.8436709","4.3674366933879565","461.414","2207.424","1","0"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","462.333","2215.317","1","0"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","516.047","2676.587","1","0"
"Athens,  Greece","Athens"," Greece","Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece","37.9839412","23.7283052","525.597","2752.369","1","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","561.315","2985.26","1","0"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","572.243","3047.444","1","0"
"Frankfurt,  Germany","Frankfurt"," Germany","Frankfurt, Hesse, Germany","50.1106444","8.6820917","1106.505","4813.661","3","0"
"Stanford Avenue,  United States","Stanford Avenue"," United States","Stanford Avenue, Pleasantdale, West Orange, Essex County, New Jersey, 07052, United States","40.808486","-74.267243","2267.778","13846.079","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","2487.283","15206.569","1","0"
"Potchefstroom,  South Africa","Potchefstroom"," South Africa","Potchefstroom, Tlokwe Local Municipality, Potchefstroom, North West, 2520, South Africa","-26.7150922","27.1013887","2798.055","17132.745","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","2798.882","17137.869","1","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","4675.862","28561.773","2","0"
"Sydney,  Australia","Sydney"," Australia","Sydney, New South Wales, Australia","-33.8548157","151.2164539","5098.625","31391.719","1","0"
