"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Pasadena,  United States","Pasadena"," United States","Pasadena, California, United States","34.1476452","-118.1444779","0.0","0.0","0","37"
"Glendora,  United States","Glendora"," United States","Glendora, California, United States","34.1361187","-117.865339","1.538","51.443","0","1"
"Rancho Cucamonga,  United States","Rancho Cucamonga"," United States","Rancho Cucamonga, San Bernardino County, California, United States","34.1033192","-117.5751735","6.295","210.539","0","2"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","9.919","331.727","0","12"
"Irvine,  United States","Irvine"," United States","Irvine, Orange County, California, United States","33.6856969","-117.8259819","10.617","355.078","0","3"
"Riverside,  United States","Riverside"," United States","Riverside, Riverside County, California, United States","33.9533546","-117.3961623","30.243","1011.47","0","7"
"San Diego,  United States","San Diego"," United States","San Diego, San Diego County, California, United States","32.7174202","-117.1627728","99.298","1099.649","3","0"
"Las Vegas,  United States","Las Vegas"," United States","Las Vegas, Clark County, Nevada, United States","36.1672559","-115.148516","197.73","705.943","1","0"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","244.32","948.692","1","0"
"1,  United States","1"," United States","1, South Bend, Fremont County, Colorado, 81212, United States","38.622348","-105.518825","491.63","2466.925","1","0"
"Mountain View,  United States","Mountain View"," United States","Mountain View, Santa Clara County, California, United States","37.3893889","-122.0832101","511.385","2024.307","2","0"
"Denver,  United States","Denver"," United States","Denver, Denver County, Colorado, United States","39.7392364","-104.9848623","512.382","2645.15","1","0"
"Flagstaff,  United States","Flagstaff"," United States","Flagstaff, Coconino County, Arizona, United States","35.1987522","-111.6518229","586.969","2420.055","2","0"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","822.437","3326.316","3","0"
"Tempe,  United States","Tempe"," United States","Tempe, Maricopa County, Arizona, United States","33.4255056","-111.9400091","850.519","3473.352","3","0"
"Grand Forks,  United States","Grand Forks"," United States","Grand Forks, Grand Forks County, North Dakota, United States","47.9078244","-97.0592028","853.942","4649.663","1","0"
"Reno,  United States","Reno"," United States","Reno, Washoe County, Nevada, United States","39.5261206","-119.8126581","893.244","3697.051","3","0"
"St. Louis,  United States","St. Louis"," United States","St. Louis, City of Saint Louis, Madison County, Illinois, United States","38.6529545","-90.24111656024635","929.343","5073.572","1","0"
"Mississippi State,  United States","Mississippi State"," United States","Mississippi State, MS Post Office, Herbert Street, College Vista, Oktibbeha County, Mississippi, 39762, United States","33.4549304","-88.7859584","988.985","5408.883","1","0"
"Nashville,  United States","Nashville"," United States","Nashville, Davidson County, Tennessee, United States","36.1622767","-86.7742984","1040.187","5696.744","1","0"
"Atlanta,  United States","Atlanta"," United States","Atlanta, Fulton County, Georgia, United States","33.7489924","-84.3902644","1129.509","6198.918","1","0"
"Ann Arbor,  United States","Ann Arbor"," United States","Ann Arbor, Washtenaw County, Michigan, United States","42.2681569","-83.7312291","1135.258","6231.241","1","0"
"Chapel Hill,  United States","Chapel Hill"," United States","Chapel Hill, Orange County, North Carolina, United States","35.9131542","-79.05578","1222.466","7081.536","1","0"
"Alachua County,  United States","Alachua County"," United States","Alachua County, Florida, United States","29.675568","-82.3640109","1222.762","6792.552","1","0"
"State College,  United States","State College"," United States","State College, Centre County, Pennsylvania, United States","40.7944504","-77.8616386","1231.158","7196.52","1","0"
"Rochester,  United States","Rochester"," United States","Rochester, Monroe, New York, United States","43.157285","-77.615214","1234.544","7241.319","1","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","1236.322","6962.317","1","0"
