"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","0.0","0.0","0","24"
"São José dos Campos,  Brazil","São José dos Campos"," Brazil","São José dos Campos, Região Imediata de São José dos Campos, Região Metropolitana do Vale do Paraíba e Litoral Norte, Região Geográfica Intermediária de São José dos Campos, São Paulo, Southeast Region, Brazil","-23.1860383","-45.8866816","10.325","345.323","0","2"
"Florianópolis,  Brazil","Florianópolis"," Brazil","Florianópolis, Região Geográfica Imediata de Florianópolis, Região Geográfica Intermediária de Florianópolis, Santa Catarina, South Region, Brazil","-27.5973002","-48.5496098","87.775","2935.619","0","3"
"Rio de Janeiro,  Brazil","Rio de Janeiro"," Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","-22.9110137","-43.2093727","213.492","7140.201","0","10"
"Ilhéus,  Brazil","Ilhéus"," Brazil","Ilhéus, Região Geográfica Imediata de Ilhéus – Itabuna, Região Geográfica Intermediária de Ilhéus-Itabuna, Bahia, Northeast Region, Brazil","-14.792599","-39.0453843","497.267","2515.341","1","0"
"Pereyra,  Argentina","Pereyra"," Argentina","Pereyra, Gualeguaychu, Distrito Costa Uruguay Norte, Departamento Gualeguaychú, Entre Ríos Province, Argentina","-33.0854139","-58.2661475","582.793","3107.48","1","0"
"La Plata,  Argentina","La Plata"," Argentina","La Plata, Partido de La Plata, Buenos Aires, Argentina","-34.9206797","-57.9537638","624.434","3344.448","1","0"
"Cordoba,  Argentina","Cordoba"," Argentina","Cordoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina","-31.4173391","-64.183319","717.196","3872.324","1","0"
"La Serena,  Chile","La Serena"," Chile","La Serena, Provincia de Elqui, Coquimbo Region, Chile","-29.902631","-71.2520253","930.182","5078.287","1","0"
"Camobi,  Brazil","Camobi"," Brazil","Camobi, Sede, Santa Maria, Região Geográfica Imediata de Santa Maria, Região Geográfica Intermediária de Santa Maria, Rio Grande do Sul, South Region, Brazil","-29.7019648","-53.7216446","1731.809","7851.976","4","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","2080.941","12688.06","1","0"
"Mexico City,  Mexico","Mexico City"," Mexico","Mexico City, Mexico","19.4326296","-99.1331785","2432.024","14864.075","1","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","2502.612","15301.583","1","0"
"Philadelphia,  United States","Philadelphia"," United States","Philadelphia, Philadelphia County, Pennsylvania, United States","39.9527237","-75.1635262","2504.223","15311.568","1","0"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","2677.836","16387.624","1","0"
"Teruel,  Spain","Teruel"," Spain","Teruel, Aragon, Spain","40.6005259","-0.9229281754890265","2794.444","17110.363","1","0"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","2981.125","18267.415","1","0"
"Tucson,  United States","Tucson"," United States","Tucson, Pima County, Arizona, United States","32.2228765","-110.9748477","3010.106","18447.039","1","0"
"Tempe,  United States","Tempe"," United States","Tempe, Maricopa County, Arizona, United States","33.4255056","-111.9400091","3058.156","18744.854","1","0"
"Bath,  United Kingdom","Bath"," United Kingdom","Bath, Bath and North East Somerset, South West England, England, United Kingdom","51.3813864","-2.3596963","3062.377","18771.017","1","0"
"Brighton,  United Kingdom","Brighton"," United Kingdom","Brighton, Brighton and Hove, South East England, England, United Kingdom","50.8214626","-0.1400561","3079.98","18880.117","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","3091.318","18950.39","1","0"
"Lancaster,  United Kingdom","Lancaster"," United Kingdom","Lancaster, Lancashire, North West England, England, United Kingdom","54.0484068","-2.7990345","3129.834","19189.118","1","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","3212.269","19700.05","1","0"
"Oslo,  Norway","Oslo"," Norway","Oslo, Norway","59.9133301","10.7389701","3464.784","21265.138","1","0"
