"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","0.0","0.0","0","15"
"Aalborg,  Denmark","Aalborg"," Denmark","Aalborg, Aalborg Municipality, North Denmark Region, 9000, Denmark","57.0462626","9.9215263","13.298","444.742","0","1"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","17.308","578.876","0","1"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","58.658","1961.814","0","2"
"Stockholm,  Sweden","Stockholm"," Sweden","Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","59.3251172","18.0710935","261.34","1041.722","1","0"
"Cologne,  Germany","Cologne"," Germany","Cologne, North Rhine-Westphalia, Germany","50.938361","6.959974","309.077","1291.668","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","314.081","1317.871","1","0"
"Tübingen,  Germany","Tübingen"," Germany","Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany","48.5236164","9.0535531","380.054","1663.296","1","0"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","384.094","1684.449","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","406.038","1799.343","1","0"
"Leeds,  United Kingdom","Leeds"," United Kingdom","Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom","53.7974185","-1.5437941","416.94","1856.428","1","0"
"St Andrews,  United Kingdom","St Andrews"," United Kingdom","St Andrews, Fife, Scotland, KY16 9PA, United Kingdom","56.3403902","-2.7955844","426.98","1911.702","1","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","427.046","1912.271","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","490.782","2459.645","1","0"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","858.208","3859.892","2","0"
"Rehovot,  Israel","Rehovot"," Israel","Rehovot, Rehovot Subdistrict, Center District, Israel","31.8930644","34.80340932920801","1151.405","6322.015","1","0"
"London,  Canada","London"," Canada","London, Southwestern Ontario, Ontario, N6A 1G4, Canada","42.9836747","-81.2496068","2100.958","12812.12","1","0"
"Michigan,  United States","Michigan"," United States","Michigan, United States","43.6211955","-84.6824346","2142.947","13072.368","1","0"
"Beirut,  Lebanon","Beirut"," Lebanon","Beirut, Beirut Governorate, Lebanon","33.8959203","35.47843","2183.531","11973.442","2","0"
"Northwestern University,  United States","Northwestern University"," United States","Northwestern University, 633, Clark Street, Downtown, Evanston, Evanston Township, Cook County, Illinois, 60208, United States","42.0551164","-87.67581113482166","2236.61","13652.898","1","0"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","2529.87","15470.528","1","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","2776.522","11924.559","8","0"
"Morelia,  Mexico","Morelia"," Mexico","Morelia, Michoacán, 58000, Mexico","19.7027116","-101.1923818","3130.168","19191.183","1","0"
"La Plata,  Argentina","La Plata"," Argentina","La Plata, Partido de La Plata, Buenos Aires, Argentina","-34.9206797","-57.9537638","3929.942","24148.199","1","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","4714.161","28799.148","2","0"
"Swinburne University of Technology (Hawthorn Campus),  Australia","Swinburne University of Technology (Hawthorn Campus)"," Australia","Swinburne University of Technology (Hawthorn Campus), John Street, Hawthorn, Hawthorn East, Melbourne, City of Boroondara, Victoria, 3122, Australia","-37.8206176","145.03862087720475","5194.105","31983.501","1","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","5768.127","35331.651","2","0"
