"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Santa Cruz County,  United States","Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","0.0","0.0","0","4"
"Stanford,  United States","Stanford"," United States","Stanford, Palo Alto, Santa Clara County, California, United States","37.426540700000004","-122.17029258409187","2.678","89.559","0","1"
"San Francisco,  United States","San Francisco"," United States","San Francisco, California, United States","37.7790262","-122.419906","10.702","357.933","0","2"
"University of California,  United States","University of California"," United States","University of California, Berkeley, Derby Street, Claremont, Berkeley, Alameda County, California, 94720-1076, United States","37.8753497","-122.23963364918777","16.928","566.159","0","3"
"Reno,  United States","Reno"," United States","Reno, Washoe County, Nevada, United States","39.5261206","-119.8126581","190.655","669.078","1","0"
"Victoria,  Canada","Victoria"," Canada","Victoria, Capital Regional District, British Columbia, Canada","48.4283182","-123.3649533","500.165","2540.226","1","0"
"Los Alamos,  United States","Los Alamos"," United States","Los Alamos, Los Alamos County, New Mexico, United States","35.893533500000004","-106.28970107056452","533.666","2816.392","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, United States","40.0149856","-105.270545","559.981","2977.667","1","0"
"Tempe,  United States","Tempe"," United States","Tempe, Maricopa County, Arizona, United States","33.4255056","-111.9400091","873.176","3988.439","2","0"
"Burnaby,  Canada","Burnaby"," Canada","Burnaby, District of North Vancouver, Metro Vancouver Regional District, British Columbia, Canada","49.2433804","-122.9725459","1042.098","5432.558","2","0"
"Memphis,  United States","Memphis"," United States","Memphis, Shelby County, Tennessee, United States","35.1490215","-90.0516285","1045.704","5727.758","1","0"
"Cornell,  United States","Cornell"," United States","Cornell, Livingston County, Illinois, United States","40.9900326","-88.7292337","1054.598","5777.762","1","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","1223.393","4752.795","5","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","1294.142","7811.463","1","0"
"Princeton,  United States","Princeton"," United States","Princeton, Mercer County, New Jersey, United States","40.3492744","-74.6592958","1348.712","8149.688","1","0"
"Starkville,  United States","Starkville"," United States","Starkville, Oktibbeha County, Mississippi, United States","33.4503998","-88.8183872","2204.83","12093.187","2","0"
"University of Notre Dame du Lac,  United States","University of Notre Dame du Lac"," United States","University of Notre Dame du Lac, Warrick Street, Maple Lane, Saint Joseph County, Indiana, 46556, United States","41.704567749999995","-86.23822026017265","2254.791","12374.072","2","0"
"Baltimore,  United States","Baltimore"," United States","Baltimore, Maryland, United States","39.2908816","-76.610759","2605.989","15732.661","2","0"
"County Durham,  United Kingdom","County Durham"," United Kingdom","County Durham, North East England, England, United Kingdom","54.666667","-1.75","2724.359","16675.974","1","0"
"Van der Delftstraat,  Belgium","Van der Delftstraat"," Belgium","Van der Delftstraat, Deurne, Antwerp, 2100, Belgium","51.2308863","4.4432598","2905.734","17800.136","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","2989.395","18318.669","1","0"
"Dresden,  Germany","Dresden"," Germany","Dresden, Saxony, Germany","51.0493286","13.7381437","3037.941","18619.558","1","0"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","3179.223","19495.226","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","3291.662","20192.126","1","0"
"Canberra,  Australia","Canberra"," Australia","Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","-35.2975906","149.1012676","3966.983","24377.778","1","0"
"Hilo,  United States","Hilo"," United States","Hilo, Hawaiʻi County, Hawaii, United States","19.7073734","-155.0815803","12524.399","74780.601","10","0"
