"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","0.0","0.0","0","9"
"Mainz,  Germany","Mainz"," Germany","Mainz, Rhineland-Palatinate, Germany","50.0012314","8.2762513","4.328","144.734","0","1"
"Tübingen,  Germany","Tübingen"," Germany","Tübingen, Landkreis Tübingen, Baden-Württemberg, Germany","48.5236164","9.0535531","6.094","203.827","0","1"
"Cologne,  Germany","Cologne"," Germany","Cologne, North Rhine-Westphalia, Germany","50.938361","6.959974","12.567","420.3","0","1"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","13.548","453.112","0","1"
"Bochum,  Germany","Bochum"," Germany","Bochum, North Rhine-Westphalia, Germany","51.4818111","7.2196635","15.129","505.998","0","1"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0596288","14.446459273258009","25.088","839.071","0","1"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","243.184","8133.261","0","9"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","255.309","1010.146","1","0"
"Poznań,  Poland","Poznań"," Poland","Poznań, Poznań County, Greater Poland Voivodeship, Poland","52.4006632","16.91973259178088","316.478","1330.418","1","0"
"Cambridge,  United Kingdom","Cambridge"," United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","52.197584649999996","0.13915373736874398","320.551","1351.743","1","0"
"Southampton,  United Kingdom","Southampton"," United Kingdom","Southampton, South East England, England, United Kingdom","50.9025349","-1.404189","344.184","1475.485","1","0"
"Copenhagen,  Denmark","Copenhagen"," Denmark","Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","55.6867243","12.5700724","347.065","1490.57","1","0"
"Teramo,  Italy","Teramo"," Italy","Teramo, Abruzzo, Italy","42.65811795","13.69787458752063","384.684","1687.537","1","0"
"Uppsala,  Sweden","Uppsala"," Sweden","Uppsala, Uppsala kommun, Uppsala County, 753 20, Sweden","59.8586126","17.6387436","505.736","2588.074","1","0"
"Porto,  Portugal","Porto"," Portugal","Porto, Área Metropolitana do Porto, North, Portugal","41.1494512","-8.6107884","609.605","3260.063","1","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","681.182","3667.382","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","729.27","3165.129","2","0"
"Rehovot,  Israel","Rehovot"," Israel","Rehovot, Rehovot Subdistrict, Center District, Israel","31.8930644","34.80340932920801","1063.268","5826.506","1","0"
"Mashhad,  Iran","Mashhad"," Iran","Mashhad, بخش مرکزی شهرستان مشهد, Mashhad County, Razavi Khorasan, Iran","36.2974945","59.6059232","1423.244","8611.642","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","1521.029","8237.669","2","0"
"Enugu,  Nigeria","Enugu"," Nigeria","Enugu, Nigeria","6.5536094","7.4143061","1572.014","9533.72","1","0"
"New Haven,  United States","New Haven"," United States","New Haven, New Haven County, Connecticut, United States","41.298434349999994","-72.93102342707913","2010.309","12250.276","1","0"
"Uttarakhand,  India","Uttarakhand"," India","Uttarakhand, India","30.0417376","79.089691","2018.348","12300.107","1","0"
"Ahmedabad,  India","Ahmedabad"," India","Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India","23.0216238","72.5797068","2039.746","12432.73","1","0"
"Madison,  United States","Madison"," United States","Madison, Dane County, Wisconsin, 53703, United States","43.074761","-89.3837613","2299.305","14041.484","1","0"
"Kolkata,  India","Kolkata"," India","Kolkata, Howrah, Thakurpukur Maheshtala, Howrah, West Bengal, 711101, India","22.5414185","88.35769124388872","2419.474","14786.29","1","0"
"Beijing,  China","Beijing"," China","Beijing, 100051, China","39.906217","116.3912757","2559.845","15656.315","1","0"
"Puebla,  Mexico","Puebla"," Mexico","Puebla, Mexico","18.833333","-98.0","3122.719","19145.016","1","0"
"Santiago,  Chile","Santiago"," Chile","Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile","-33.4377756","-70.6504502","3928.519","24139.379","1","0"
"Hilo,  United States","Hilo"," United States","Hilo, Hawaiʻi County, Hawaii, United States","19.7073734","-155.0815803","3958.998","24328.29","1","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","6378.595","39115.34","2","0"
