"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","0.0","0.0","0","9"
"Zielona Góra,  Poland","Zielona Góra"," Poland","Zielona Góra, Lubusz Voivodeship, 65-067, Poland","51.9383777","15.5050408","14.42","482.269","0","1"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","22.673","758.3","0","1"
"Brno,  Czechia","Brno"," Czechia","Brno, okres Brno-město, Jihomoravský kraj, Southeast, Czechia","49.1922443","16.6113382","26.731","894.012","0","1"
"Wrocław,  Poland","Wrocław"," Poland","Wrocław, Trzebnica County, Lower Silesian Voivodeship, Poland","51.1263106","16.97819633051261","28.382","949.215","0","2"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","33.097","1106.908","0","3"
"Kiel,  Germany","Kiel"," Germany","Kiel, Schleswig-Holstein, Germany","54.3227085","10.135555","282.275","1151.338","1","0"
"Saint Petersburg,  Russia","Saint Petersburg"," Russia","Saint Petersburg, Northwestern Federal District, 190000, Russia","59.938732","30.316229","449.137","2101.99","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","489.717","2450.497","1","0"
"Kharkiv,  Ukraine","Kharkiv"," Ukraine","Kharkiv, Харківська міська громада, Kharkiv Raion, Kharkiv Oblast, Ukraine","49.9902794","36.2303893","498.368","2524.797","1","0"
"Moscow,  Russia","Moscow"," Russia","Moscow, Central Federal District, Russia","55.7504461","37.6174943","498.818","2528.661","1","0"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","511.341","2636.208","1","0"
"Armagh,  United Kingdom","Armagh"," United Kingdom","Armagh, County Armagh, Northern Ireland, BT61 7DJ, United Kingdom","54.3481977","-6.6540432","620.336","3321.13","1","0"
"Garching bei München,  Germany","Garching bei München"," Germany","Garching bei München, Landkreis München, Bavaria, 85748, Germany","48.2513878","11.6509662","675.429","2883.222","2","0"
"Galway Bay,  Ireland","Galway Bay"," Ireland","Galway Bay, County Galway, Connacht, Ireland","53.1439907","-9.469486214585425","691.375","3725.386","1","0"
"Nizhniy Arkhyz,  Russia","Nizhniy Arkhyz"," Russia","Nizhniy Arkhyz, Архызское сельское поселение, Zelenchuksky District, Karachay-Cherkessia, North Caucasian Federal District, 369167, Russia","43.6769758","41.4574037","729.098","3940.055","1","0"
"Turku,  Finland","Turku"," Finland","Turku, Turun seutukunta, Southwest Finland, South-Western Finland, Mainland Finland, Finland","60.4517531","22.2670522","779.03","3425.663","2","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","1501.209","8124.881","2","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","2088.728","12736.322","1","0"
"El Segundo,  United States","El Segundo"," United States","El Segundo, California, 90245, United States","33.917028","-118.4156337","3097.39","18988.025","1","0"
