"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Kuala Lumpur,  Malaysia","Kuala Lumpur"," Malaysia","Kuala Lumpur, Malaysia","3.1516964","101.6942371","0.0","0.0","0","28"
"Bandar Baru Salak Tinggi,  Malaysia","Bandar Baru Salak Tinggi"," Malaysia","Bandar Baru Salak Tinggi, Sepang, Selangor, 43900, Malaysia","2.8123434","101.7372806","2.275","76.072","0","1"
"Terengganu,  Malaysia","Terengganu"," Malaysia","Terengganu, Malaysia","4.8630743","102.9949297","28.561","955.214","0","2"
"Lembang,  Indonesia","Lembang"," Indonesia","Lembang, West Java, 40391, Indonesia","-6.8111033","107.6171239","504.377","2576.403","1","0"
"Bandung,  Indonesia","Bandung"," Indonesia","Bandung, West Java, 40252, Indonesia","-6.9344694","107.6049539","1013.93","5197.249","2","0"
"Cooch Behar,  India","Cooch Behar"," India","Cooch Behar, Cooch Behar - I, Kochbihar, West Bengal, 736101, India","26.3223696","89.4592445","1054.264","5775.882","1","0"
"Udaipur,  India","Udaipur"," India","Udaipur, Rajasthan, 313001, India","24.578721","73.6862571","1270.216","7663.172","1","0"
"Chiang Mai,  Thailand","Chiang Mai"," Thailand","Chiang Mai, Saraphi District, Chiang Mai Province, 4452, Thailand","18.7882778","98.9868056","1313.013","7053.92","2","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","1522.289","9225.525","1","0"
"Mito,  Japan","Mito"," Japan","Mito, Ibaraki Prefecture, Japan","36.3657792","140.4713933","1782.837","10840.406","1","0"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","2353.195","12927.304","2","0"
"Daejeon,  South Korea","Daejeon"," South Korea","Daejeon, South Korea","36.3496","127.3848","2993.684","18135.602","2","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","7008.142","42597.981","4","0"
"Sjanghai,  China","Sjanghai"," China","Sjanghai, Huangpu District, Shanghai, 200001, China","31.2322758","121.4692071","7522.286","44969.517","6","0"
