"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Taipei,  Taiwan","Taipei"," Taiwan","Taipei, Taiwan","25.0375198","121.5636796","0.0","0.0","0","33"
"Cultural Affairs Bureau,  Taiwan","Cultural Affairs Bureau"," Taiwan","Cultural Affairs Bureau,Hsinchu City, Section 2, Dongda Road, Shuitian Village, North District, Hsinchu, Taiwan Province, 30051, Taiwan","24.81127","120.9693","3.887","130.005","0","1"
"Hsinchu,  Taiwan","Hsinchu"," Taiwan","Hsinchu, Taiwan Province, Taiwan","24.8066333","120.9686833","3.903","130.524","0","1"
"Hangzhou City,  China","Hangzhou City"," China","Hangzhou City, Zhejiang, China","30.2489634","120.2052342","289.551","1189.433","1","0"
"Shanghai,  China","Shanghai"," China","Shanghai, China","31.2252985","121.4890497","325.218","1376.179","1","0"
"Suzhou City,  China","Suzhou City"," China","Suzhou City, Jiangsu, China","31.3016935","120.5810725","330.975","1406.322","1","0"
"San Carlos,  Philippines","San Carlos"," Philippines","San Carlos, Pangasinan, Ilocos Region, 2420, Philippines","15.9089922","120.32479579725236","442.663","2046.389","1","0"
"Kyungpook Nat'l univ. Hospital,  South Korea","Kyungpook Nat'l univ. Hospital"," South Korea","Kyungpook Nat'l univ. Hospital, Dalgubeol-daero, Jung-gu, Daegu, 41951, South Korea","35.8631273","128.6031533","526.29","2757.863","1","0"
"Yantai City,  China","Yantai City"," China","Yantai City, Shandong, 264000, China","37.461928","121.4425255","526.957","2763.161","1","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","746.318","3254.388","2","0"
"Rikkyo Niiza Junior & Senior High School,  Japan","Rikkyo Niiza Junior & Senior High School"," Japan","Rikkyo Niiza Junior & Senior High School, Shiki-Kaido, 東北一丁目, Niiza, Saitama Prefecture, 352-0001, Japan","35.81554735","139.5666878085118","773.24","4191.249","1","0"
"Bangkok,  Thailand","Bangkok"," Thailand","Bangkok, Phra Borom Maha Ratchawang Subdistrict, Phra Nakhon District, Bangkok, 10200, Thailand","13.7544238","100.4930399","928.987","5071.57","1","0"
"Ulaanbaatar,  Mongolia","Ulaanbaatar"," Mongolia","Ulaanbaatar, Sukhbaatar Duureg, Ulaanbaatar, Mongolia","47.9184676","106.9177016","1040.855","5700.501","1","0"
"Serdang,  Malaysia","Serdang"," Malaysia","Serdang, Sungai Besi Expressway, Seri Kembangan, Subang Jaya, Petaling, Selangor, 43300, Malaysia","3.0232842499999997","101.71590381174192","1179.99","6482.723","1","0"
"Dehradun,  India","Dehradun"," India","Dehradun, Uttarakhand, 248001, India","30.3255646","78.0436813","1421.256","8599.32","1","0"
"Noida,  India","Noida"," India","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","28.5707841","77.3271074","1448.318","8767.05","1","0"
"Phagwara,  India","Phagwara"," India","Phagwara, Kapurthala Tahsil, Kapurthala, Punjab, 144400, India","31.2206734","75.7696463","1489.553","9022.625","1","0"
"Dinanagar,  India","Dinanagar"," India","Dinanagar, Gurdaspur Tahsil, Gurdaspur district, Punjab, 143531, India","32.1373638","75.47216","1497.149","9069.705","1","0"
"Srinagar,  India","Srinagar"," India","Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India","34.0747444","74.8204443","1515.314","9182.29","1","0"
"Koramangala,  India","Koramangala"," India","Koramangala, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560034, India","12.9340114","77.6222304","1579.088","9577.564","1","0"
"Navrangpura,  India","Navrangpura"," India","Navrangpura, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380014, India","23.0359998","72.5643429","1632.357","9907.728","1","0"
"Pune,  India","Pune"," India","Pune, Pune District, Maharashtra, India","18.521428","73.8544541","1632.66","9909.602","1","0"
"Hanoi,  Vietnam","Hanoi"," Vietnam","Hanoi, Vietnam","21.0294498","105.8544441","1867.721","10001.584","3","0"
"Manila,  Philippines","Manila"," Philippines","Manila, Capital District, Metro Manila, Philippines","14.5907332","120.9809674","1901.091","9305.788","4","0"
"Kazan,  Russia","Kazan"," Russia","Kazan, Tatarstan, Volga Federal District, Russia","55.7823547","49.1242266","2177.934","13289.22","1","0"
"Kuala Lumpur,  Malaysia","Kuala Lumpur"," Malaysia","Kuala Lumpur, Malaysia","3.1516964","101.6942371","2353.195","12927.304","2","0"
"Kyiv,  Ukraine","Kyiv"," Ukraine","Kyiv, Ukraine","50.4500336","30.5241361","2602.44","15920.317","1","0"
"Aligarh,  India","Aligarh"," India","Aligarh, Uttar Pradesh, India","27.87698975","78.13729027600994","2850.71","17249.447","2","0"
"New Delhi,  India","New Delhi"," India","New Delhi, Delhi, India","28.6138954","77.2090057","2903.745","17578.161","2","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","3073.122","18837.612","1","0"
